一万七千五百	一萬七千五百
华中师范大学	華中師範大學
华冈艺术学校	華岡藝術學校
华南师范大学	華南師範大學
华星秋月之章	華星秋月之章
华纳音乐集团	華納音樂集團
卖卦口没量斗	賣卦口沒量斗
南京师范大学	南京師範大學
南台科技大学	南臺科技大學
南无阿弥陀佛	南無阿彌陀佛
博文反应系列	博文反應系列
博鳌亚洲论坛	博鰲亞洲論壇
占便宜的是呆	佔便宜的是呆
卡尔文克莱因	卡爾文克萊因
卡布其诺咖啡	卡布其諾咖啡
卫星定位系统	衛星定位系統
卫星导航系统	衛星導航系統
即期外汇交易	即期外匯交易
历史总在重演	歷史總在重演
历朝通俗演义	歷朝通俗演義
原始公社制度	原始公社制度
原子爆破弹药	原子爆破彈藥
原子能发电站	原子能發電站
双后前兵开局	雙后前兵開局
反托拉斯法案	反托拉斯法案
反攻复国大业	反攻復國大業
反攻复国战争	反攻復國戰爭
发射机应答器	發射機應答器
发展研究中心	發展研究中心
发昏章第十一	發昏章第十一
发生学分类法	發生學分類法
口语字词识别	口語字詞識別
只不过几年前	只不過幾年前
只认钱不认人	只認錢不認人
可操作的艺术	可操作的藝術
可转换同位素	可轉換同位素
台东师范学院	臺東師範學院
台中师范学院	臺中師範學院
台中敎育大学	臺中敎育大學
台北医学大学	臺北醫學大學
台北科技大学	臺北科技大學
台南师范学院	臺南師範學院
台南科技大学	臺南科技大學
台湾学术网路	臺灣學術網路
台湾师范大学	臺灣師範大學
台湾敎育学院	臺灣敎育學院
台湾日日新报	臺灣日日新報
台湾海洋大学	臺灣海洋大學
台湾海洋学院	臺灣海洋學院
台湾电力公司	臺灣電力公司
台湾电视公司	臺灣電視公司
台湾科技大学	臺灣科技大學
台湾糖业公司	臺灣糖業公司
台湾肥料公司	臺灣肥料公司
台湾航业公司	臺灣航業公司
台湾铝业公司	臺灣鋁業公司
叶卡特琳娜堡	葉卡特琳娜堡
吃一顿挨一顿	吃一頓挨一頓
吃米不知米价	吃米不知米價
吃饱了饭撑的	吃飽了飯撐的
合肥工业大学	合肥工業大學
吉卜力工作室	吉卜力工作室
吉布地共和国	吉布地共和國
吉林师范大学	吉林師範大學
吊在面糊盆內	吊在麵糊盆內
吊桶落在井里	吊桶落在井裏
同性恋恐惧症	同性戀恐懼症
同步数位阶层	同步數位階層
同济医科大学	同濟醫科大學
吕太后的筵席	呂太后的筵席
君子不念旧恶	君子不念舊惡
听了风就是雨	聽了風就是雨
启发式敎学法	啓發式敎學法
启蒙专制君主	啓矇專制君主
吹胡子瞪眼睛	吹鬍子瞪眼睛
和布克赛尔县	和布克賽爾縣
哀莫大于心死	哀莫大於心死
哈巴罗夫斯克	哈巴羅夫斯克
哈比亚里马纳	哈比亞里馬納
哈萨克共和国	哈薩克共和國
哈里森史密特	哈裏森史密特
喀喇昆仑公路	喀喇崑崙公路
喀喇昆仑山脉	喀喇崑崙山脈
喀拉喀托火山	喀拉喀托火山
喜怒不形于色	喜怒不形於色
喫虱子留后腿	喫虱子留後腿
嗔拳不打笑面	嗔拳不打笑面
嘉义师范学院	嘉義師範學院
四亿七千馀万	四億七千餘萬
四十一万六千	四十一萬六千
四川师范大学	四川師範大學
四川师范学院	四川師範學院
四年制的大学	四年制的大學
四百四十五万	四百四十五萬
回敎会议组织	回敎會議組織
团结就是力量	團結就是力量
国务院法制局	國務院法制局
国土资讯系统	國土資訊系統
国家开发银行	國家開發銀行
国民生活须知	國民生活須知
国民礼仪范例	國民禮儀範例
国泰综合医院	國泰綜合醫院
国际人权标准	國際人權標準
国际关系学院	國際關係學院
国际分工体制	國際分工體制
国际学术网路	國際學術網路
国际开发总会	國際開發總會
国际标准书码	國際標準書碼
国际讬管制度	國際託管制度
图像用户介面	圖像用戶介面
图形用户界面	圖形用戶界面
土地利用规划	土地利用規劃
土木工程学系	土木工程學系
土耳其进行曲	土耳其進行曲
圣克里斯多福	聖克里斯多福
圣克里斯托巴	聖克里斯托巴
圣德克旭贝里	聖德克旭貝里
圣潘克勒斯站	聖潘克勒斯站
在一定范围内	在一定範圍內
在世界范围内	在世界範圍內
在全国范围内	在全國範圍內
在全省范围内	在全省範圍內
在某种程度上	在某種程度上
在桥梁工地上	在橋梁工地上
地球同步轨道	地球同步軌道
地理资讯系统	地理資訊系統
坎塔布连山脉	坎塔布連山脈
埃克托柏辽兹	埃克托柏遼茲
埃拉托塞尼斯	埃拉托塞尼斯
埔裏社撫墾局	埔裏社撫墾局
埔裡社撫墾局	埔裏社撫墾局
埔里社抚垦局	埔裏社撫墾局
基度山恩仇记	基度山恩仇記
堂屋里挂草荐	堂屋裏掛草薦
塔什库尔干乡	塔什庫爾干鄉
塔吉克共和国	塔吉克共和國
塞瓦斯托波尔	塞瓦斯托波爾
墨西哥合众国	墨西哥合眾國
复兴剧艺学校	復興劇藝學校
复兴广播电台	復興廣播電臺
复合民族国家	複合民族國家
夏虫不可语冰	夏蟲不可語冰
外明不知里暗	外明不知裏暗
外汇定期存单	外匯定期存單
多人聊天系统	多人聊天系統
多发性硬化症	多发性硬化症
多种语言支持	多種語言支持
大众捷运系统	大眾捷運系統
大元大一统志	大元大一統誌
大出意料之外	大出意料之外
大华技术学院	大華技術學院
大姑娘坐花轿	大姑娘坐花轎
大楼监控系统	大樓監控系統
大汉技术学院	大漢技術學院
大英联合王国	大英聯合王國
大虫不吃伏肉	大蟲不吃伏肉
大虫口里倒涎	大蟲口裏倒涎
大虫头上做窠	大蟲頭上做窠
大通师范学堂	大通師範學堂
天才出自勤奋	天才出自勤奮
天有不测风云	天有不測風雲
天津师范大学	天津師範大學
太原师范学院	太原師範學院
头巾吊在水里	頭巾弔在水裏
头悬梁锥刺股	頭懸梁錐刺股
奥克拉荷马州	奧克拉荷馬州
奥克拉荷马市	奧克拉荷馬市
奥林匹克世运	奧林匹克世運
奥林匹克精神	奧林匹克精神
奥特朗托海峡	奧特朗托海峽
奧克拉荷马州	奥克拉荷馬州
女人心海底针	女人心海底針
女子参政主义	女子參政主義
女性第二性征	女性第二性徵
好戏还在后头	好戲還在後頭
好死不如恶活	好死不如惡活
如堕五里雾中	如墮五里霧中
妙妙熊历险记	妙妙熊歷險記
姜还是老的辣	薑還是老的辣
威廉亚历山大	威廉亞歷山大
媒人口无量斗	媒人口無量斗
媒人婆迷了路	媒人婆迷了路
媒体访问控制	媒體訪問控制
字汇判断任务	字彙判斷任務
存十一于千百	存十一於千百
存款准备金率	存款準備金率
学士后医学系	學士後醫學系
学术文化团体	學術文化團體
学然后知不足	學然後知不足
安徽师范大学	安徽師範大學
安格鲁萨克逊	安格魯薩克遜
宋亨欣叶纯豪	宋亨欣葉純豪
官话合声字母	官話合聲字母
家丑不可外传	家醜不可外傳
家丑不可外扬	家醜不可外揚
宾语关系从句	賓語關係從句
密克罗尼西亚	密克羅尼西亞
寒武纪大爆发	寒武紀大爆發
小丰满发电厂	小豐滿發電廠
尝试错误学习	嘗試錯誤學習
尤里斯伊文思	尤里斯伊文思
尼亚加拉瀑布	尼亞加拉瀑布
尼泊尔共产党	尼泊爾共產黨
尽人事听天命	盡人事聽天命
尽人力听天命	盡人力聽天命
屁股大吊了心	屁股大弔了心
屁股里吃人参	屁股裏吃人參
屏东师范学院	屏東師範學院
山东师范大学	山東師範大學
山西师范大学	山西師範大學
岩沙海葵毒素	岩沙海葵毒素
峰值输出功能	峰值輸出功能
崔敬邕墓志铭	崔敬邕墓誌銘
巡回分析端口	巡迴分析端口
工业七国集团	工業七國集團
左手不托右手	左手不托右手
巴尔舍夫斯基	巴爾舍夫斯基
巴控克什米尔	巴控克什米爾
巴洛马天文台	巴洛馬天文臺
巴里库廷火山	巴里庫廷火山
巴音布克草原	巴音布克草原
布加勒斯条约	布加勒斯條約
布拉迪斯拉发	布拉迪斯拉發
布罗德赫斯特	布羅德赫斯特
布罗温斯文学	布羅溫斯文學
布莱克史密斯	布萊克史密斯
布莱恩狄帕玛	布萊恩狄帕瑪
布莱特妮墨菲	布萊特妮墨菲
布莱雅特蒙古	布萊雅特蒙古
布鲁克林大桥	布魯克林大橋
布鲁克雪德丝	布魯克雪德絲
布鲁奈勒斯基	布魯奈勒斯基
布鲁姆费尔德	布魯姆費爾德
希拉里克林顿	希拉裏克林頓
平价供应中心	平價供應中心
平克佛洛伊德	平克佛洛伊德
平台式扫描器	平臺式掃描器
平均消费倾向	平均消費傾向
幼儿师范学校	幼兒師範學校
幼发拉底河谷	幼發拉底河谷
广东住血吸虫	廣東住血吸蟲
广州美术学院	廣州美術學院
广西师范大学	廣西師範大學
广西师范学院	廣西師範學院
库尔德工人党	庫爾德工人黨
应用程式介面	應用程式介面
康多莉扎赖斯	康多莉扎賴斯
建国技术学院	建國技術學院
建筑容积管制	建築容積管制
开放系统互连	開放系統互連
弃妻女于不顾	棄妻女於不顧
弓上弦刀出鞘	弓上弦刀出鞘
弗雷德里克顿	弗雷德裏克頓
张黑女墓志铭	張黑女墓誌銘
弹性制造系统	彈性製造系統
强台圣帕袭台	強颱聖帕襲臺
强迫性储物症	強迫性儲物症
当天事当天毕	當天事當天畢
当家人恶水缸	當家人惡水缸
当然继承主义	當然繼承主義
当面锣对面鼓	當面鑼對面鼓
当面鼓对面锣	當面鼓對面鑼
彰化师范大学	彰化師範大學
影像处理系统	影像處理系統
徐台荪宫仲毅	徐臺蓀宮仲毅
徐州师范大学	徐州師範大學
微波倒送系统	微波倒送系統
德谟克利泰斯	德謨克利泰斯
心不甘情不愿	心不甘情不願
心有余力不足	心有餘力不足
心欲专凿石穿	心欲專鑿石穿
心脏搭桥手术	心臟搭橋手術
心高遮了太阳	心高遮了太陽
恒生股价指数	恒生股價指數
恶性通货膨胀	惡性通貨膨脹
悬挂式滑翔机	懸掛式滑翔機
战士授田凭据	戰士授田憑據
战略防御倡议	戰略防御倡議
手腕式指北针	手腕式指北針
扎格罗斯山脉	扎格羅斯山脉
打了一个闷雷	打了一個悶雷
打了牙肚里嚥	打了牙肚裏嚥
打狗看主人面	打狗看主人面
托马斯阿奎纳	托馬斯阿奎納
承宣布政使司	承宣布政使司
技术专科学校	技術專科學校
抗日救亡团体	抗日救亡團體
折射式望远镜	折射式望遠鏡
披云雾睹青天	披雲霧睹青天
披头四合唱团	披頭四合唱團
抱朴而长吟兮	抱朴而長吟兮
担水向河头卖	擔水向河頭賣
拉克施尔德钟	拉克施爾德鐘
拉布拉多半岛	拉布拉多半島
拉布拉多寒流	拉布拉多寒流
拔了一个尖儿	拔了一個尖兒
拟阿拖品药物	擬阿拖品藥物
拿破仑波拿巴	拿破侖波拿巴
持不同政见者	持不同政見者
挂羊头卖狗肉	掛羊頭賣狗肉
挂羊头煮狗肉	掛羊頭煮狗肉
挥发性存储器	揮發性存儲器
捏了一把冷汗	捏了一把冷汗
捏出水儿来的	捏出水兒來的
据干而窥井底	據榦而窺井底
捷克斯洛伐克	捷克斯洛伐克
摆事实讲道理	擺事實講道理
撞击式印表机	撞擊式印表機
放之四海皆准	放之四海皆準
放射性同位素	放射性同位素
放诸四海皆准	放諸四海皆準
政治利益团体	政治利益團體
敌后工作人员	敵後工作人員
数位化录音带	數位化錄音帶
整合行销传播	整合行銷傳播
文选烂秀才半	文選爛秀才半
斗力不如斗智	鬥力不如鬥智
料前不能料后	料前不能料後
斯托肯立石圈	斯托肯立石圈
斯里兰卡电信	斯裏蘭卡電信
斯里巴加湾港	斯里巴加灣港
斯雷布雷尼察	斯雷布雷尼察
新喀里多尼亚	新喀裏多尼亞
新婚不如远别	新婚不如遠別
新注音输入法	新注音輸入法
新疆师范大学	新疆師範大學
新竹师范学院	新竹師範學院
新罕布什尔州	新罕布什爾州
新闻出版总署	新聞出版總署
旋转乾坤之力	旋轉乾坤之力
旗杆上绑鸡毛	旗杆上綁雞毛
无党派投票人	無黨派投票人
无取胜希望者	無取勝希望者
无所不用其极	無所不用其極
无线电收发机	無綫電收發機
既得陇复望蜀	既得隴復望蜀
日头打西出来	日頭打西出來
早动手早收获	早動手早收穫
明人不做暗事	明人不做暗事
明人不说暗话	明人不說暗話
明华园歌剧团	明華園歌劇團
春秋战国时代	春秋戰國時代
普拉玛娜苏达	普拉瑪娜蘇達
普氏立克次体	普氏立克次體
普雷克斯流程	普雷克斯流程
有刮划没是处	有刮劃沒是處
有志者事竟成	有志者事竟成
未可同日而语	未可同日而語
本地管理界面	本地管理界面
朱子治家格言	朱子治家格言
朴资茅斯条约	朴資茅斯條約
李斯特氏杆菌	李斯特氏桿菌
杜布罗夫尼克	杜布羅夫尼克
杜斯特布拉吉	杜斯特布拉吉
杭丁顿舞蹈症	杭丁頓舞蹈症
杭州师范学院	杭州師範學院
杰哈德巴特勒	傑哈德巴特勒
杰哈德巴狄厄	傑哈德巴狄厄
杰奎琳肯尼迪	傑奎琳肯尼迪
杰西卡艾尔芭	傑西卡艾爾芭
松下电气工业	松下電氣工業
板门店停战村	板門店停戰村
枝不得大于干	枝不得大於榦
柏克曼温度计	柏克曼溫度計
柬埔寨人民党	柬埔寨人民黨
柯普里亚诺夫	柯普里亞諾夫
树德技术学院	樹德技術學院
核火箭发动机	核火箭發動機
核燃料后处理	核燃料後處理
格拉哥里字母	格拉哥里字母
格致诚正修齐	格致誠正修齊
桃园中坜台地	桃園中壢臺地
档案传输系统	檔案傳輸系統
档案搜寻系统	檔案搜尋系統
梁唐晋汉周书	梁唐晉漢周書
梁山伯祝英台	梁山伯祝英臺
棉花店里歇工	棉花店裏歇工
森林抚育采伐	森林撫育採伐
楚霸王困垓下	楚霸王困垓下
模糊集合理论	模糊集合理論
模范带头作用	模範帶頭作用
欧几里得原理	歐幾里得原理
欧洲共同市场	歐洲共同市場
欧洲复兴计画	歐洲復興計畫
欧洲货币体系	歐洲貨幣體系
止谤莫如自修	止謗莫如自脩
正当防卫行为	正當防衛行爲
武器级别材料	武器級別材料
武大郎吃毒药	武大郎吃毒藥
死马当活马医	死馬當活馬醫
死马当活马治	死馬當活馬治
比个大哥二哥	比個大哥二哥
毕其功于一役	畢其功於一役
毛出在羊身上	毛出在羊身上
民主进步党籍	民主進步黨籍
民族复兴运动	民族復興運動
汇业财经集团	匯業財經集團
江南四大才子	江南四大才子
江西师范大学	江西師範大學
汤里来水里去	湯裏來水裏去
汽电共生系统	汽電共生系統
沈阳师范大学	瀋陽師範大學
没个里儿表儿	沒個裏兒表兒
没了王的蜜蜂	沒了王的蜜蜂
没件好当眼的	沒件好當眼的
没爷娘的祖宗	沒爺孃的祖宗
没造化的种子	沒造化的種子
河北师范大学	河北師範大學
河南师范大学	河南師範大學
泉州师范学院	泉州師範學院
法兰克福学派	法蘭克福學派
法兰克福汇报	法蘭克福匯報
法兰克福车展	法蘭克福車展
波布那共和国	波布那共和國
波里尼西亚人	波里尼西亞人
注入式敎学法	注入式敎學法
泽渗漓而下降	澤滲灕而下降
洛克希德马丁	洛克希德馬丁
洛阳师范学院	洛陽師範學院
活体肝脏移植	活體肝臟移植
浙江师范大学	浙江師範大學
海上台风警报	海上颱風警報
海南师范大学	海南師範大學
海南师范学院	海南師範學院
海水不可斗量	海水不可斗量
海洋温差发电	海洋溫差發電
消费价格指数	消費價格指數
涡轮轴发动机	渦輪軸發動機
淀乃不耕之地	澱乃不耕之地
淮阴师范学院	淮陰師範學院
清査不当党产	清査不當黨產
温州师范学院	溫州師範學院
湖北师范学院	湖北師範學院
湖南师范大学	湖南師範大學
湖州师范学院	湖州師範學院
湛江师范学院	湛江師範學院
漳州师范学院	漳州師範學院
澳洲广播电台	澳洲廣播電臺
激活整合模型	激活整合模型
火山爆发指数	火山爆發指數
灯台不照自己	燈臺不照自己
点击一个链接	點擊一個鏈接
点滴静脉注射	點滴靜脈注射
烟台师范学院	煙臺師範學院
烧糊了洗脸水	燒糊了洗臉水
热发光剂量计	熱發光劑量計
爱丽丝梦游记	愛麗絲夢遊記
爱情征服一切	愛情征服一切
爱莫大于心死	愛莫大於心死
父仇不共戴天	父仇不共戴天
父母在不远游	父母在不遠游
牙齿咬合不正	牙齒咬合不正
物价督导会报	物價督導會報
犹太复国主义	猶太復國主義
犹太复国运动	猶太復國運動
独立悬吊系统	獨立懸吊系統
猎户座大星云	獵戶座大星雲
王婆子卖了磨	王婆子賣了磨
环球定位系统	環球定位系統
现代修正主义	現代修正主義
玻里尼西亚人	玻里尼西亞人
瓦西里耶维奇	瓦西裏耶維奇
生同衾死同穴	生同衾死同穴
生命在于运动	生命在於運動
生物伦琴当量	生物倫琴當量
田螺含水过冬	田螺含水過冬
甲种国民兵役	甲種國民兵役
电子数据交换	電子數據交換
电子邮件系统	電子郵件系統
电脑互动艺术	電腦互動藝術
电脑周边设备	電腦周邊設備
电脑绘图技术	電腦繪圖技術
电脑闸道系统	電腦閘道系統
电荷耦合器件	電荷耦合器件
疱疹性咽狭症	疱疹性咽狹症
疾病控制中心	疾病控制中心
瘫子掉在井里	癱子掉在井裏
登机手续柜台	登機手續櫃檯
白血球过多症	白血球過多症
百胜餐饮集团	百勝餐飲集團
皇冠出版集团	皇冠出版集團
皇太极清太宗	皇太極清太宗
皮层下失语症	皮層下失語症
盎格鲁撒克逊	盎格魯撒克遜
盎格鲁萨克逊	盎格魯薩克遜
盐城师范学院	鹽城師範學院
盐酸克仑特罗	盐酸克仑特罗
盒式录音磁带	盒式錄音磁帶
直布罗陀海峡	直布羅陀海峽
相当于或大于	相當於或大於
真金不怕火炼	真金不怕火煉
眼里不揉沙子	眼裏不揉沙子
睁只眼闭只眼	睜隻眼閉隻眼
瞬得彩色电影	瞬得彩色電影
矮子里拔将军	矮子裏拔將軍
碧娜芝．布托	碧娜芝．布托
磁碟作业系统	磁碟作業系統
磨了半截舌头	磨了半截舌頭
礼义生于富足	禮義生於富足
社会主义制度	社會主義制度
社会民主党人	社會民主黨人
社会福利彩券	社會福利彩券
福建师范大学	福建師範大學
种族中心主义	種族中心主義
科尔沁左翼后	科爾沁左翼後
科迪勒拉山系	科迪勒拉山系
穆罕默德历史	穆罕默德歷史
空中交通管制	空中交通管制
立于不败之地	立於不敗之地
立氏立克次体	立氏立克次體
笋里不知茆里	筍裏不知茆裏
笛卡儿坐标制	笛卡兒座標制
符合美国利益	符合美國利益
第一信号系统	第一信號系統
第五个现代化	第五個現代化
等速圆周运动	等速圓周運動
简报导览系统	簡報導覽系統
简氏防务周刊	簡氏防務週刊
管人吊脚儿事	管人弔腳兒事
管理资讯系统	管理資訊系統
米格式战斗机	米格式戰鬥機
粪坑里的石头	糞坑裏的石頭
粪缸里掷骰子	糞缸裏擲骰子
粮食平准基金	糧食平準基金
精神性厌食症	精神性厭食症
紫金山天文台	紫金山天文臺
红萝卜炒辣椒	紅蘿蔔炒辣椒
纤毛动力蛋白	纖毛動力蛋白
约翰厄普代克	約翰厄普代克
纳扎尔巴耶夫	納扎爾巴耶夫
线上出版公司	綫上出版公司
细叶金午时花	細葉金午時花
经丝彩色显花	經絲彩色顯花
经典动力系统	經典動力系統
绚烂归于平淡	絢爛歸於平淡
维克佛瑞柏加	維克佛瑞柏加
维多利亚瀑布	維多利亞瀑布
绵中刺笑里刀	綿中刺笑裏刀
编目记录输入	編目記錄輸入
网络操作系统	網絡操作系統
网络管理系统	網絡管理系統
网络规划人员	網絡規劃人員
网路作业系统	網路作業系統
网路新闻系统	網路新聞系統
网路节点介面	網路節點介面
美利坚合众国	美利堅合眾國
美国国际集团	美國國際集團
美国在台协会	美國在臺協會
美国存托凭证	美國存託憑證
美苏高峰会议	美蘇高峰會議
羹里来饭里去	羹裏來飯裏去
老实的终须在	老實的終須在
老年性痴呆症	老年性癡呆症
老虎挂念佛珠	老虎掛念佛珠
耐多药结核病	耐多藥結核病
联合国秘书处	聯合國秘書處
