三藩市	舊金山
內比都	奈比多
內爾斯普雷特	尼爾斯普魯特
內羅比	奈洛比
內羅畢	奈洛比
共和聯邦	大英國協
兵基蘭	布林格蘭
兼士比	格里姆斯比
几內亞	幾內亞
几內亞比紹	幾內亞比索
凡登廣場	芳登廣場
凱撒斯勞滕	凱撒勞頓
凱沙羅頓	凱撒勞頓
凱科斯	凱可
凱諾拉	肯諾拉
切斯特勒斯特里特	赤斯特街
切斯特勒街	赤斯特街
切斯特菲爾德	赤斯特非
切柏咸	契朋罕
切爾滕納姆	卓特咸
切爾諾夫策	車尼夫契
切爾諾貝利	車諾比
切爾諾貝爾	車諾比
列支惇士登	列支惇斯登
列支敦士登	列支敦斯登
列斯	里茲
列治	列日
列治文	里奇蒙
別斯蘭	貝司蘭
利勒哈默爾	利樂漢瑪
利夫奧克	活橡
利奇菲爾德	利奇菲
利希滕貝格	里希坦伯格
利恩茨	利恩茲
利斯莫爾	立斯摩爾
利比里亞	賴比瑞亞
利沃夫	利維夫
利玆	里茲
利華古遜	勒沃庫森
利載拿	雷吉納
利隆圭	里朗威
利隆威	里朗威
利雅得	利雅德
刻赤	克赤
前波美拉尼亞	西波美拉尼亞
劉易舍姆	路易斯罕
劍頓	康登
加來	加萊
加來海峽	加萊海峽
加拉加斯	卡拉卡斯
加拉帕戈斯群島	加拉巴哥群島
加拿分	卡納封 卡納芬
加沙	加薩
加沙地帶	加薩走廊
加沙走廊	加薩走廊
加法爾	嘉化 惹化
加法爾·巴巴	嘉化峇峇
加泰羅尼亞	加泰隆尼亞
加的夫	卡地夫
加的斯	卡迪斯
加納	迦納
加蓬	加彭
努庫阿洛法	努瓜婁發
努拿烏特	努納福特
努瓦克肖特	諾克少
努納武特	努納福特
勃朗峰	白朗峰
勃蘭登堡	布蘭登堡
勃蘭登堡州	布蘭登堡邦
勒哈弗爾	利哈佛
勒布爾歇	勒布爾熱
勒拉赫	羅拉赫
勒芒	利曼
勒阿弗爾	利哈佛
勞工和社會保障部	勞動及社會事務部
勞特	魯特
北卡羅萊納	北卡羅來納
北安普頓	北安普惇
北嶼	沖北岩
北部省	諾爾省
北韓離脫住民定着支援事務所	北韓離脫住民定著支援事務所
匹黎哥	匹黎可
十三個殖民地	十三殖民地
千里達和多巴哥	千里達及托巴哥
卑詩	英屬哥倫比亞
南三文治	南桑威奇
南中國海	南海
南中國海礁岩	南海礁岩
南中國海礁島	南海礁島
南中國海礁石	南海礁石
南中國海礁群	南海礁群
南佐治亞	南喬治亞
南佐治亞及南三文治群島	南喬治亞與南桑威奇群島
南北韓首腦會晤	南北韓高峰會
南北韓首腦會談	南北韓高峰會
南卡羅萊納	南卡羅來納
南喀爾巴阡山脈	外西凡阿爾卑斯山
南喬治亞和南桑威奇群島	南喬治亞與南桑威奇群島
南奧塞梯	南奧塞提亞
南嶼	沖南岩
南澳大利亞	南澳
南澳大利亞州	南澳州
南里奧格蘭德州	南大河州
南里約格蘭州	南大河州
博伊西	波夕
博奈爾	波奈
博普塔茨瓦納	波布那
博洛尼亞	波隆納
博爾基亞	包奇亞
博爾扎諾	波爾察諾
博爾赫隆	波格倫
博爾頓	波爾頓
博瑟爾	巴薩爾
博登湖	波登湖
博茨瓦納	波札那
博蘭	波朗
占士	詹姆士
卡加延	卡加煙
卡塔爾	卡達
卡塞爾	卡瑟爾
卡姆登	康登
卡宴	開雲
卡托維玆	卡托維治
卡拉哈里沙漠	喀拉哈里沙漠
卡文	嘉弘
卡斯特里	卡斯翠
卡斯蒂利亞	卡斯提亞
卡斯魯厄	卡爾斯魯爾
卡昂	康城
卡普里	卡布里
卡爾加里	卡加利
卡爾卡松	卡卡頌
卡爾斯魯厄	卡爾斯魯爾
卡盧什	卡路什
卡米爾海	卡梅爾海
卡納溫	卡納封 卡納芬
卡納維拉爾角	卡納維爾角
卡素加	卡斯爾加
卡迪夫	卡地夫
卡那封	卡納封 卡納芬
卡那封溫	卡納芬
卡默斯	卡馬斯
危地馬拉	瓜地馬拉
危地馬拉城	瓜地馬拉市
危地馬拉市	瓜地馬拉市
厄瓜多爾	厄瓜多
厄立特里亞	厄利垂亞
厄頓	阿克頓
友誼礁	盟誼暗沙
古德伍德	高活
史卓咸	斯特里薩姆
史密斯菲爾德	史密斯菲
史提芬納治	史蒂文納吉
史樂	施洛普
史特加	司徒加特 斯圖加特
史篤城	斯托克城
史葛斯谷	史考茲谷
史雲斯	斯旺西
史雲頓	斯溫頓
吉布堤	吉布地
吉布提	吉布地
吉爾伯頓	喬拔頓
吉爾吉斯斯坦	吉爾吉斯
吉爾福德	基爾福
后海灣干線	后海灣幹線
吐芬奴	托菲諾
呂伐登	雷瓦登
呂德斯海姆	綠德斯翰
呂根	綠根
呂根島	綠根島
呂貝克	呂北克
呂貝克漢薩自由市	呂北克漢薩自由市
告羅士打	格洛斯特
和域	華威
和夫咸頓	伍爾弗漢普頓
咸美頓	哈密爾頓 漢密爾頓
咸美頓	漢彌爾頓 漢米頓
咸頓	漢普頓
咸默史密夫	漢默史密斯
哈利姆	哈林
哈利法斯	哈利法克斯
哈勒爾貝克	哈勒貝克
哈博羅內	嘉柏隆里
哈密	哈密德
哈密爾頓	漢彌爾頓
哈弗爾河	哈非爾河
哈德斯菲爾德	哈德斯菲
哈德森	哈德遜
哈桑	哈山
哈桑納爾	哈山納
哈爾施塔特	哈修塔特
哈爾茨	哈茲
哈特斯菲	哈德斯菲
哈特福德	哈特福
哈米德	哈密德
哈米迪	哈密迪
哈羅	哈洛
哈義礁	南屏礁
哈芝	哈吉
哈茨山	哈茲山
哈薩克斯坦	哈薩克
哈雷	哈勒
哈默史密斯	漢默史密斯
哈默爾恩	哈梅恩
哥倫坡	可倫坡
哥德堡	哥特堡
哥打列治	戈德里奇
哥斯達黎加	哥斯大黎加
哥特人	哥德人
哥特字母	哥德字母
哥特式	哥德式
哥特語	哥德語
哥特風	哥德風
唐卡士打	唐卡斯特
唐橋井	坦布里治威爾斯
喀斯喀特	喀斯開
喜士定	黑斯廷斯
喫茶小舖	喫茶小舖
喬治惇	喬治城
嘉拿多	科羅納多
嘉林邊	格蘭坪
嘉法	惹化
嘉立咸	克萊姆
嘉芙蓮	凱瑟琳
因弗內斯	印威內斯
因斯布魯克	茵斯布魯克
因紐特	因努伊特
圖文巴	圖翁巴
圖林根州	圖林根邦
圖森	土桑
圖爾	都爾
圖爾奈	土奈
圖瓦盧	吐瓦魯
圖盧玆	土魯斯
圖盧茲	土魯斯
圖賴訥	都蘭
土庫曼斯坦	土庫曼
土阿莫土	土亞莫土
圭亞那	蓋亞那
圭內斯	格溫內斯
坎伯韋爾	康伯威爾
坎大哈	坎達哈
坎帕拉	康培拉
坎特伯雷	坎特伯里
坎盧普斯	甘露
坎貝爾惇	金寶城
坎貝爾里弗	坎貝爾河
坦噶尼喀	坦干伊加
坦布里奇韋爾斯	坦布里治威爾斯
坦桑尼亞	坦尚尼亞
埃克塞特	艾希特
埃因霍溫	恩荷芬
埃塞俄比亞	衣索比亞
埃塞克斯	艾塞克斯
埃夫拉塔	艾夫拉塔
埃弗拉德	愛華勒
埃弗拉德帕克	愛華勒柏
埃德蒙頓	愛德蒙頓 愛蒙頓
埃文	雅芳
埃斯科	艾斯科
埃朗根	愛爾朗根
埃爾丁	艾丁
埃爾克利訥	艾克利內
埃爾斯米爾	艾厄士米爾
埃爾朗根	愛爾朗根
埃爾比勒	艾比爾
埃爾特姆	艾珊
埃爾福特	艾福特
埃維亞	尤比亞
埃迪爾內	愛第尼
埃里溫	葉里溫
域斯咸	雷克斯漢姆
域治	威治
域菲	威克菲
域菲路	韋克菲爾德
基加利	吉佳利
基奇納	基秦拿
基洛沃格勒	基洛夫格勒
基洛納	基隆拿
基督山	基度山
基羅納	赫羅納
基耶蒂	基替
基里巴斯	吉里巴斯
堅伯威	康伯威爾
堪培拉	坎培拉
塔吉克斯坦	塔吉克
塔姆沃思	譚沃思
塔希提	大溪地
塔拉哈西	塔拉赫西
塔斯曼尼亞	塔斯馬尼亞
塔斯曼尼亞州	塔斯馬尼亞州
塔村	哈姆雷特塔
塔爾薩	土爾沙
塔那那利佛	安塔那那利佛
塞拉利昂	獅子山
塞浦路斯	塞普勒斯 賽普勒斯
塞爾扣克	塞爾寇克
塞爾維亞和黑山	塞爾維亞與蒙特內哥羅
塞瓦斯托波爾	塞凡堡
塞維利亞	塞維亞
塞舌爾	塞席爾
塞黑	塞蒙
墨累	美利
墨西拿	美西納
士他令	史特靈
士多蒙	史托蒙特
士德頓	史塔克頓
士瓦本	施瓦本
士美菲	史密斯菲
夏力	哈萊克
夏延	夏安
夏洛滕堡	夏洛騰堡
夏洛特頓	夏洛特惇
夏灣拿	哈瓦那
夏靈基	哈林蓋
多佛爾	多佛
多哈	杜哈
多多馬	杜篤瑪
多實	多塞特
多洛米蒂	多羅米提
多米尼加	多明尼加
多臣隙	道森河
多蒙特	多特蒙德
大不列顛及北愛爾蘭聯合王國	大不列顛暨北愛爾蘭聯合王國
大不列顛及愛爾蘭聯合王國	大不列顛暨愛爾蘭聯合王國
大本鐘	大笨鐘
大陸架	大陸棚
夸賈林	瓜加林
奇切斯特	奇徹斯特
奇司威克	奇西克
奇彭納姆	契朋罕
奔薩	朋札
奧伊彭	歐伊朋
奧克拉荷馬城	奧克拉荷馬市
奧卡拿根	奧肯拿根
奧咸	奧丹
奧塞梯	奧塞提亞
奧弗佩爾特	奧弗佩特
奧恩·加法尔	翁惹化
奧文尼	奧弗涅
奧斯坦德	奧斯滕德
奧斯曼	鄂圖曼
奧斯汀	奧斯丁
奧斯特利茨	奧斯特里茲
奧斯特里茨	奧斯特里茲
奧斯納布克	奧斯納貝克
奧斯納布呂克	奧斯納貝克
奧格斯堡	奧古斯堡
奧比斯波	奧比斯保
奧沙瓦	奧沙華
奧波萊	奧波列
奧爾巴尼	奧巴尼 阿伯尼
奧爾弗里頓	奧斐頓
奧爾德姆	奧丹
奧爾登堡	歐登堡
奧登堡	歐登堡
奧赫蒂爾卡	阿克提卡
奧迪沙	敖得薩
奧雲	歐文
奧雲灣	歐文灣
奧馬	奧瑪
奧馬爾	奧瑪
奧馬魯	奧瑪魯
女王大學	皇后大學
姆巴巴內	墨巴本
姆巴巴納	墨巴本
始路	特雷爾
威士拿	惠斯勒
威廉斯塔德	威廉城
威斯康星	威斯康辛
威斯敏斯特	西敏
威斯敏斯特修道院	西敏寺
威斯敏斯特宮	西敏宮
威斯敏斯特教堂	西敏寺
威斯敏斯特聖彼得牧師團教堂	西敏市聖彼得牧師團教堂
威斯敏斯特體系	西敏制
威斯特法倫	西伐利亞 西發利亞
威根	維根
威爾士	威爾斯
威爾明頓	威明頓
威特沃特斯蘭德	維瓦特斯蘭
孔茨	康茲
孚日	佛日
孟菲斯	曼非斯
孫德爾本斯	巽德班
安克雷奇	安克拉治
安利公園	安利柏
安圭拉	安吉拉
安域	阿因維克
安德列治	安德萊赫特
安提瓜和巴布達	安地卡及巴布達
安條克	安提阿克
安瓦爾	安華
安的列斯	安地列斯
安第斯	安地斯
安納海姆	安那翰
安蒂特姆	安提頓
安道爾城	老安道爾
安達盧西亞	安達魯西亞
宣德班	巽德班
宿務	宿霧
密歇根	密西根
密爾布瑞	米爾布雷
密爾沃基	密爾瓦基
密芝根	密西根
富勒頓	富來頓
富咸	富勒姆
富圖納	富圖那
富爾達	佛萊辛
寬扎	廣薩
對朝政策	對北政策
對衡	達拉謨
小石城	小岩城
尚佩恩	香檳
尚布賴萊圖爾	尚布賴萊都爾
尚貝里	香貝里
尤卡坦	猶加惇
尼亞加拉	尼加拉
尼亞美	尼阿美
尼德寧	納蒂靈
尼披盛	尼皮辛
尼日利亞	奈及利亞
尼日爾	尼日
尼爾堡	紐堡
尼科西亞	尼柯西亞
尼美根	奈梅亨
尼雪平	尼科平
居斯塔維亞	古斯塔維亞
屈福特	瓦特福
屋威老	奧克維爾
屋崙	奧克蘭
山靜咸	桑德令罕
岡比亞	甘比亞
岩哈拉	安哈拉
峇卡	巴卡
峇釐	峇里
己連加利	葛蘭蓋瑞
己連圍	格倫維爾
巴丁宜阿里淺灘	南康暗沙
巴伐利亞州	巴伐利亞邦
巴佛士	巴瑟斯特
巴兆惇	巴休惇
巴克	白加
巴利亞多利德	瓦拉多利德
巴利阿里	巴利亞利
巴利阿里群島	巴利亞利群島
巴勒莫	巴勒摩
巴卡爾	巴卡
巴吞魯日	巴頓魯治
巴域	伯立克
巴塞羅那	巴塞隆納
巴塞隆拿	巴塞隆納
巴富	伯斯 珀斯
巴尼特	巴內特
巴巴多斯	巴貝多
巴布亞新几內亞	巴布亞紐幾內亞
巴布亞新幾內亞	巴布亞紐幾內亞
巴布亞新畿內亞	巴布亞紐幾內亞
巴布延	巴布煙
巴拉福特	布拉福
巴摩盧	巴摩拉
巴斯托涅	巴斯通
巴斯特爾	巴士地
巴斯蒂亞	巴斯提亞
巴新	巴紐
巴林塘	巴林坦
巴爾米拉	巴美拉
巴爾莫勒爾	巴摩拉
巴特爾克里克	巴特溪
巴符州	巴符邦
巴約訥	貝雲
巴芙	巴斯
巴西爾登	巴休惇
巴赫穆特	巴赫姆特
巴達維	巴達威
巴釐	峇里
布倫海姆	布倫亨
布倫特里	布雷恩垂
布力希斯	布萊克希斯
布力般	布拉克本
布基納法索	布吉納法索
布恰	布查
布拉卡	布拉干
布拉德福德	布拉福
布拉柴	布拉薩
布拉柴維爾	布拉薩市
布拉班特	布拉邦
布拉迪斯拉發	布拉提斯拉瓦
布林斯貝利	布魯姆斯伯里
布法羅	水牛城
布爾戈斯	布哥斯
布爾根蘭	布根蘭
布爾根蘭州	布根蘭邦
布瓊布拉	布松布拉
布痕瓦爾德	布亨瓦德
布盧姆茨伯里	布魯姆斯伯里
布羅姆利	布倫來
布羅瓦里	布洛瓦利
布萊克本	布拉克本
布萊克浦	黑潭
布萊斯瓦利	布萊斯河谷
布蘭太爾	布蘭岱
布賴頓	布萊頓
布里奇沃特	必列者窩打
布里奇波特	橋港
布里奇頓	橋鎮
布里斯托爾	布里斯托
布里斯托爾路	布里斯托路
布里斯班	布里斯本
布隆方丹	布隆泉
布隆迪	蒲隆地
布雷根茨	布雷根茲
布靈厄蘭	布林格蘭
布靈頓	伯靈頓
希思羅	希斯洛
希斯路	希斯洛
希沙慕丁	希山慕丁
希邁	希梅
帕丁頓	派丁頓
帕克賽德	柏世
帕利基爾	帕里克爾
帕勒莫	巴勒摩
帕勞	帛琉
帕拉馬里博	巴拉馬利波
帕瑞納	帕拉納
帕皮提	巴比提
帕邁拉	巴美拉
帝力	狄力
席車士打	奇徹斯特
干諾	康諾特
幾內亞比紹	幾內亞比索
庫夫施泰因	庫夫斯坦
庫拉索	古拉索
庫爾德	庫德
庫賽埃	科斯雷
康和	康瓦爾 康瓦耳
康埃克呂斯	坎埃克呂斯
康城	坎城
康山	康希爾
康斯坦茨	康士坦茲
康樂	康諾特
康沃爾	康瓦爾 康瓦耳
康涅狄格	康乃狄克
延文禮士	印威內斯
廷布	辛布
弗吉尼亞	維吉尼亞
弗拉芒	佛拉蒙 佛萊明
弗爾訥	福恩
弗留利	佛里烏利
弗羅茨瓦夫	弗次瓦夫
弗羅西諾內	佛羅西羅內
弗萊福蘭	夫利佛蘭
弗蘭科夫斯克	法蘭科夫斯克
弗蘭肯地區	法蘭克尼亞地區
弗蘭肯行政區	法蘭克尼亞行政區
弗賴堡	弗萊堡
弗里堡	佛立堡
弗里斯蘭	菲士蘭
弗里曼特爾	費里曼圖
弗里西亞	非里西亞
弗隆特納克	芳堤娜
弗雷德里克	菲德里克
弗雷德里克頓	腓特烈頓
弗雷斯諾	佛雷斯諾
弼	比特
彼得伯勒	彼得堡 彼得波羅
彼德堡	彼得波羅
律倫	拉特蘭
得克薩斯	德克薩斯
得州	德州
得梅因	狄蒙
德基利亞	德凱利亞
德意志邦聯	日耳曼邦聯
德拉肯斯山脈	龍山山脈
德梅因	狄蒙
德涅斯特	聶斯特
德班	德爾班
德累斯頓	德勒斯登
德芙靈	達弗林
德薩斯	德克薩斯
德蘭士瓦	川斯瓦
德賴河	乾河
德雲	德文
必嘉島	貝克島
必嘉街	貝克街
快富	法夫
恩菲	恩菲特
恩菲爾德	恩菲特
恩賈梅納	恩加美納
悉尼	雪梨
惇刻爾克	惇克爾克
惠特徹奇	維特祖治
惠特沃斯	維特沃斯
惠靈頓	威靈頓
惹法	惹化
意大利	義大利
意屬	義屬
意屬利比亞	義屬利比亞
意屬索馬里	義屬索馬利
愛德華茲惇	愛德華城
愛森納赫	艾森納赫
愛民頓	愛德蒙頓 愛蒙頓
愛爾福特	艾福特
愛特咸	艾珊
愛蘭立	厄於拉訥
慕斯達法	穆斯塔法
慕禮	莫里
慕遜加柏	慕森加柏
懷特霍斯	白馬市
戈斯福德	高士福
戛納	坎城
戛納埃克呂斯	坎埃克呂斯
所羅門羣島	索羅門羣島
扎因丁	再努丁
扎波羅熱	札波羅熱
打比	德比
托倫斯	多倫士
托利斯	托列斯
托斯卡納	托斯卡尼
托皮卡	托彼卡
托萊多	托雷多
托雷斯	托列斯
托馬斯	湯瑪士
扶蓮	弗林特
拉亞礁	光星礁
拉各斯	拉哥斯
拉塞爾	羅素
拉夫伯勒	拉夫堡
拉央拉央島	彈丸礁
拉希德	拉昔
拉惹加隆淺灘	北康暗沙 義淨礁
拉扎克	拉薩克
拉斐特	拉法葉
拉斯羅普	萊思羅普
拉曼恰	拉曼查
拉素	拉吉歐
拉薩	拉薩克
拉赫曼	拉曼
拉韋洛	拉維洛
拉齊奧	拉吉歐
拜仁州	拜仁邦
拜恩州	拜恩邦
拜洛特	拜律特
拜羅伊特	拜律特
拿波利	拿坡里
拿督打立礁	隠波暗沙
拿騷	拿索
捷爾諾波爾	特諾皮爾
措必列治	特羅布里奇
揚德納島	延德納島
摩加迪沙	摩加迪休
摩澤爾	莫瑟爾
撒丁	薩丁尼亞
敖德薩	敖得薩
數字化和交通部	數位及交通部
數碼及交通部	數位及交通部
文丁破礁	瓊台礁
文萊	汶萊
文萊達魯薩蘭國	汶萊和平之國
文西德爾	文西德
文達	溫達
斯圖加特	司徒加特
斯坦福	史丹福
斯塔沃洛	斯塔弗洛
斯塔福德	史丹佛
斯威士蘭	史瓦帝尼 史瓦濟蘭
斯庫台	士科德
斯托克頓	史塔克頓
斯托蒙特	史托蒙特
斯普利特	史普利特
斯普林菲爾德	春田市
斯泰克方丹	史泰克方丹
斯洛文尼亞	斯洛維尼亞
斯海弗寧恩	席凡寧根
斯海爾德	須耳德
斯溫登	斯溫頓
斯特拉斯堡	史特拉斯堡
斯特拉特福	史特拉福
斯特里漢姆	斯特里薩姆
斯特雷特姆	斯特里薩姆
斯特靈	史特靈
斯科普里	史高比耶
斯科茨谷	史考茲谷
斯華坦尼奧	芝華塔尼歐
斯蒂夫尼奇	史蒂文納吉
斯里巴加灣	斯里巴卡旺
新不倫瑞克	新布藍茲維
新佐治亞	新喬治亞
新几內亞	新幾內亞
新南威爾士	新南威爾斯
新南威爾士州	新南威爾斯州
新奧爾良	紐奧良
新威斯敏斯特	新西敏
新布蘭斯威	新布藍茲維
新帕扎爾	新帕札
新斯科舍	新斯科細亞
新港	紐波特
新澤西	紐澤西
新特蘭	巽德蘭
新畿內亞	新幾內亞
新罕布什爾	新罕布夏
新莫斯科夫斯克	新莫斯科斯克
新西蘭	紐西蘭
施他佛	史丹佛
施普利特	史普利特
施普雷	史普雷
施泰格利茨	史泰格利茲
施泰爾	斯泰爾
施泰爾馬克	史泰爾馬克
施泰爾馬克州	史泰爾馬克邦
施派爾	斯派爾
施潘道	斯潘道
施特拉爾松德	史特拉頌
施瓦本	士瓦本
施維茨	舒維茲
施蒂利亞	史泰利亞
施蒂利亞州	史泰利亞邦
施蒂里亞	史泰利亞
施蒂里亞州	史泰利亞邦
施韋因富特	什文福
施龐達勒姆	斯潘達勒姆
日占朝鮮	日佔朝鮮
旺多姆廣場	芳登廣場
旺玆沃思	旺茲沃斯
旺阿玆莎	旺阿芝莎
旺阿茲莎	旺阿芝莎
昂代訥	安登
昂古萊姆	安古蘭
昆士柏	女王公園
明尼阿波利斯	明尼亞波利斯
易卜拉欣	伊布拉欣
普利茅夫	普利茅斯
普勒陀尼亞	普勒托利亞
普拉亞	培亞
普林普頓	拔林惇
普林普頓帕克	拔林惇柏
普法爾茨	普法茲 法爾茲
普法茨	法爾茲
普福爾茨海姆	佛茨海姆
普羅斯佩克特	蒲庶庇
普萊西德湖	寧靜湖
普里什蒂納	普里斯提納
普雷斯科特	普雷史考特
景隆	坎農
智利域	奇利瓦克
暗士黨	阿姆斯特朗
曉倫	休倫
曼克頓	曼哈頓
曼圖亞	曼托瓦
曼尼多巴	曼尼托巴
曼尼托巴	緬尼托巴
曼斯菲爾德	曼斯菲爾
曼斯菲特	曼斯菲爾
曼特卡	曼提加
曼達納尼礁	南海礁
朝方	北韓方面
朝韓	南北韓
朝韓首腦會晤	南北韓高峰會
朝鮮	北韓
朝鮮中央電視台	朝鮮中央電視臺
朝鮮以及韓國	北韓以及南韓
朝鮮及韓國	北韓及南韓
朝鮮同韓國	北韓同南韓
朝鮮和韓國	北韓和南韓
朝鮮戰爭	韓戰
朝鮮文學藝朮總同盟	朝鮮文學藝術總同盟
朝鮮日占	朝鮮日佔
朝鮮獨立運動	韓國獨立運動
朝鮮與韓國	北韓與南韓
本拿比	柏納比
札法爾	惹化
朱拉島	侏羅島
朴次茅斯	樸茨茅斯
李斯特	萊斯特
李治菲特	利奇菲
杜塞爾多夫	杜塞道夫
杜尚別	杜尚貝
杜斯多夫	杜塞道夫
杜根咸	達根罕
杰克遜	傑克森
杰克遜維爾	傑克孫維
杰斐遜城	傑佛遜城
杰森	傑克森
杰森維爾	傑克孫維
杰爾	焦爾
東南亞國家聯盟	東南亞國家協會
東古	東姑
東古·阿卜杜勒·拉赫曼	東姑·阿布都拉曼
東咸	東罕
東哥特	東哥德
東姑阿都拉曼	東姑·阿布都拉曼
東寶庭	惇巴頓
東漢姆	東罕
東盟	東協
林吉特	令吉
林茨	林茲
林雪平	林雪坪
柏京	巴金
柏嘉	包奇亞
柏寧礁	榆亞暗沙
柏林州	柏林邦
柏靈頓	派丁頓
查化	惹化
查戈斯	查哥斯
查洛頓	夏洛特惇
查靈	查令
柯士甸	奧斯丁
根德	肯特
格倫加里	葛蘭蓋瑞
格倫奧斯蒙德	己連柯士文
格域	蓋威克
格士黑德	蓋茲赫德
格拉德斯通	格列士惇
格拉拿達	格拉納達
格拉茨	格拉茲
格林尼治	格林威治
格林納達	格瑞那達
格林貝	綠灣
格洛瑟普	格羅索普
格洛索普	格羅索普
格爾利茨	哥利茲
格萊內爾格	己連拿奴
格蘭扁	格蘭坪
格賴夫斯瓦爾德	格來斯瓦德
格魯吉亞	喬治亞
桑德蘭	巽德蘭
桑德貝	雷灣
桑德靈厄姆	桑德令罕
桑托斯將軍城	三投斯將軍市
桑治奧	松德里奧
桑給巴爾	尚吉巴
梅加瓦蒂	梅嘉娃蒂
梅德韋	麥德威
梅赫倫	麥赫連
梯林斯	提林斯
梳利侯	索利赫爾
梳士巴利	索爾茲伯里 索茲伯里
梳士貝利	士魯斯柏立
棉登	明登
棉蘭老	民答那峨
棉蘭老島	民答那峨島
森麻實	索美塞特
楚格峰	祖格峰
樸茨茅夫	樸茨茅斯
歌來頓	克羅伊登
歐拉	尤拉
歐文桑德	歐文灣
歐邦日	奧班吉
歸融語	克里奧爾語
比亞里茨	比亞希茲
比什凱克	比斯凱克
比利牛斯	庇里牛斯
比勒費爾德	比勒菲爾德
比勒陀利亞	普勒托利亞
比立勤	布拉干
比肯斯菲爾德	比更士菲
比路賀利桑特	美景市
毛爾布龍	毛布朗
毛里塔尼亞	茅利塔尼亞
毛里求斯	模里西斯
毛里裘斯	模里西斯
汝拉	侏羅
汝拉山	侏羅山
汝拉州	侏羅州
汶萊達魯薩蘭國	汶萊和平之國
沃倫	伏林
沃克斯豪爾	沃克斯霍爾
沃克維爾	獲加圍
沃州	佛德州
沃森維爾	華生維爾
沃爾夫斯堡	狼堡
沃爾夫斯貝格	沃爾夫斯伯格
沃爾姆斯	沃姆斯
沃爾瑟姆斯托	沃爾珊斯托
