上伏塔	上沃爾特
克馬得	克馬德克
內政和國土部	內政和家園部
內比都	奈比多
內爾斯普雷特	尼爾斯普魯特
內羅畢	內羅比
共和聯邦	英聯邦
几內亞	畿內亞
几內亞比紹	畿內亞比紹
凱可	凱科斯
凱撒勞頓	凱沙羅頓
凱撒斯勞滕	凱沙羅頓
凱瑟琳	嘉芙蓮
凱科斯	凱可
凱諾拉	肯諾拉
切斯特	車士打
切斯特勒斯特里特	切斯特勒街
切斯特菲爾德	車士打菲特
切爾滕納姆	車特咸
切爾西	車路士
切爾諾貝利	切爾諾貝爾
列支惇士登	列支惇斯登
列支惇斯登	列支惇士登
列斯伏斯	萊斯沃斯
列日	列治
利勒哈默爾	利樂漢瑪
利哈佛	勒哈弗爾
利夫奧克	活橡
利奇菲	李治菲特
利奇菲爾德	李治菲特
利恩茨	利恩茲
利斯莫爾	立斯摩爾
利曼	勒芒
利玆	列斯
利維夫	利沃夫
利隆圭	利隆威 里朗威
利雅德	利雅得
刻赤	克赤
前波美拉尼亞	西波美拉尼亞
劉易舍姆	路易咸
加彭	加蓬
加拉加斯	卡拉卡斯
加拉巴哥群島	加拉帕戈斯羣島
加沙地帶	加沙走廊
加法爾	嘉化 賈法
加法爾·巴巴	嘉化峇峇
加泰隆尼亞	加泰羅尼亞
加的夫	卡迪夫
加的斯	卡迪斯
加萊	加來
加萊海峽	加來海峽
加薩	加沙
加薩走廊	加沙走廊
努庫阿洛法	努瓜婁發
努瓜婁發	努庫阿洛法
努瓦克肖特	諾克少
努納武特	努拿烏特
努納福特	努拿烏特 努納武特
勃朗峰	白朗峰
勒布爾熱	勒布爾歇
勒拉赫	羅拉赫
勒沃庫森	利華古遜
勒阿弗爾	勒哈弗爾
勞工和社會保障部	勞動及社會事務部
勞特	魯特
包奇亞	柏嘉
北卡羅來納	北卡羅萊納
北安普惇	諾咸頓
北安普頓	諾咸頓
北部省	諾爾省
北韓離脫住民定着支援事務所	北韓離脱住民定着支援事務所
匹黎可	匹黎哥
十三個殖民地	十三殖民地
千里達及托巴哥	千里達和多巴哥
卓特咸	車特咸
南中國海	南海
南中國海礁岩	南海礁岩
南中國海礁島	南海礁島
南中國海礁石	南海礁石
南中國海礁群	南海礁羣
南北韓首腦會晤	南北韓首腦會談
南北韓高峰會	南北韓首腦會談
南卡羅來納	南卡羅萊納
南喬治亞	南佐治亞
南喬治亞和南桑威奇群島	南佐治亞及南三文治羣島
南喬治亞與南桑威奇群島	南佐治亞及南三文治羣島
南大河州	南里約格蘭州
南奧塞提亞	南奧塞梯
南安普惇	修咸頓
南桑威奇	南三文治
南澳大利亞	南澳
南澳大利亞州	南澳州
南里奧格蘭德州	南里約格蘭州
博普塔茨瓦納	波布那
博洛尼亞	波倫亞
博爾基亞	柏嘉
博爾赫隆	波格倫
博爾頓	保頓
博瑟爾	巴薩爾
博登湖	波登湖
博福爾	蒲福
博蘭	波朗
卡加延	卡加煙
卡卡頌	卡爾卡松
卡地夫	加的夫 卡迪夫
卡塞爾	卡瑟爾
卡姆登	劍頓
卡宴	皆因
卡托維玆	卡托維治
卡拉哈里沙漠	喀拉哈里沙漠
卡文	嘉弘
卡斯爾加	卡素加
卡斯特里	卡斯翠
卡斯蒂利亞	卡斯提亞
卡昂	康城
卡普里	卡布里
卡林西亞	克恩頓
卡林西亞邦	克恩頓州
卡梅爾海	卡米爾海
卡爾加里	卡加利
卡爾斯魯厄	卡斯魯厄
卡爾斯魯爾	卡斯魯厄
卡納封	加拿分
卡納溫	加拿分 卡納芬
卡納維拉爾角	卡納維爾角
卡納維爾角	卡納維拉爾角
卡納芬	加拿分
卡路什	卡盧什
卡迪夫	加的夫
卡達	卡塔爾
卡那封	加拿分 卡納芬
卡那封溫	加拿分
卡默斯	卡馬斯
印威內斯	延文禮士
危地馬拉城	危地馬拉市
厄利垂亞	厄立特里亞
厄於拉訥	愛蘭立
厄普頓	烏普頓
友誼礁	盟誼暗沙
古德伍德	高活
古拉索	庫拉索
可倫坡	科倫坡
史丹佛	施他佛
史塔克頓	士德頓
史密斯菲	士美菲
史密斯菲爾德	士美菲
史托蒙特	士多蒙
史普利特	施普利特
史普雷	施普雷
史泰利亞	施蒂利亞
史泰利亞邦	施蒂利亞州
史泰爾馬克	施泰爾馬克
史泰爾馬克邦	施泰爾馬克州
史特拉斯堡	斯特拉斯堡
史特靈	士他令
史瓦帝尼	斯威士蘭
史考茲谷	史葛斯谷
史蒂文納吉	史提芬納治
司徒加特	史特加
吉佳利	基加利
吉布地	吉布提
吉林漢姆	驕寧咸
吉爾伯頓	喬拔頓
吉爾吉斯斯坦	吉爾吉斯
吉爾福德	僑福
吉里巴斯	基里巴斯
后海灣干線	后海灣幹線
吐瓦魯	圖瓦盧
呂伐登	雷瓦登
呂北克	呂貝克
呂北克漢薩自由市	呂貝克漢薩自由市
呂德斯海姆	綠德斯翰
呂根	綠根
呂根島	綠根島
呂貝克	呂北克
哈修塔特	哈爾施塔特
哈利姆	哈林
哈利法克斯	哈利法斯
哈勒爾貝克	哈勒貝克
哈博羅內	嘉柏隆里
哈姆雷特塔	塔村
哈密	哈密德
哈密爾頓	咸美頓
哈德斯菲	哈特斯菲
哈德斯菲爾德	哈特斯菲
哈德森	哈德遜
哈林蓋	夏靈基
哈桑	哈山
哈桑納爾	哈山納
哈梅恩	哈默爾恩
哈洛	哈羅
哈爾茨	哈茲
哈爾頓	荷頓
哈特福	赫福
哈特福德	哈特福
哈瓦那	夏灣拿
哈米德	哈密德
哈米迪	哈密迪
哈義礁	南屏礁
哈芝	哈吉
哈茨山	哈茲山
哈萊克	夏力
哈薩克斯坦	哈薩克
哈雷	哈勒
哈非爾河	哈弗爾河
哈默史密斯	咸默史密夫
哥倫坡	科倫坡
哥利茲	格爾利茨
哥斯大黎加	哥斯達黎加
哥特人	哥德人
哥特堡	哥德堡
哥特字母	哥德字母
哥特式	哥德式
哥特語	哥德語
哥特風	哥德風
唐卡斯特	唐卡士打
喀斯開	喀斯喀特
喬治	佐治
喬治亞	格魯吉亞
喬治亞州	佐治亞州
喬治城	佐治城
喬治惇	佐治城
喬治斯河	佐治河
喬治王廣場	英皇佐治廣場
嘉法	賈法
因努伊特	因紐特
因弗內斯	延文禮士
因斯布魯克	茵斯布魯克
因紐特	因努伊特
國王十字	英皇十字
圖林根邦	圖林根州
圖森	土桑
圖爾	都爾
圖瓦盧	吐瓦魯
圖盧玆	圖盧茲
圖翁巴	圖文巴
圖賓根	蒂賓根
圖賴訥	都蘭
土克	特克斯
土克凱可	特克斯和凱科斯
土克凱可群島	特克斯和凱科斯羣島
土奈	圖爾奈
土庫曼斯坦	土庫曼
土爾沙	塔爾薩
土阿莫土	土亞莫土
土魯斯	圖盧茲
坎伯蘭	金巴倫
坎伯韋爾	堅伯威
坎埃克呂斯	康埃克呂斯
坎城	康城
坎布里亞	金巴倫
坎帕拉	康培拉
坎特伯里	坎特伯雷
坎盧普斯	錦祿
坎貝爾	金寶
坎貝爾惇	金寶城
坎貝爾河	金寶河
坎貝爾里弗	金寶河
坎農	景隆
坎達哈	坎大哈
坦尚尼亞	坦桑尼亞
坦布里奇韋爾斯	唐橋井
坦布里治威爾斯	唐橋井
坦干伊加	坦噶尼喀
坦米爾	泰米爾
埃克塞特	雅息特
埃因霍溫	燕豪芬
埃塞克斯	雅息士
埃夫拉塔	艾夫拉塔
埃弗拉德	愛華勒
埃弗拉德帕克	愛華勒柏
埃德蒙頓	愛民頓
埃文	雅芳
埃斯科	艾斯科
埃爾丁	艾丁
埃爾克利訥	艾克利內
埃爾斯米爾	艾斯美
埃爾朗根	埃朗根
埃爾比勒	艾比爾
埃爾特姆	愛特咸
埃爾福特	艾福特
埃爾金	伊利近
埃迪爾內	愛第尼
埃里溫	葉里温
基奇納	基秦拿
基洛沃格勒	基洛夫格勒
基洛納	基隆拿
基爾福	僑福
基督山	基度山
基耶蒂	基替
堪培拉	坎培拉
塔吉克斯坦	塔吉克
塔姆沃思	譚禾夫
塔希提	大溪地
塔拉赫西	塔拉哈西
塔斯馬尼亞	塔斯曼尼亞
塔斯馬尼亞州	塔斯曼尼亞州
塔那那利佛	安塔那那利佛
塞凡堡	塞瓦斯托波爾
塞席爾	塞舌爾
塞拉耶佛	薩拉熱窩
塞爾寇克	西谷
塞爾扣克	西谷
塞爾維亞與蒙特內哥羅	塞爾維亞和黑山
塞爾西	些路士
塞維亞	西維爾
塞維利亞	西維爾
塞蒙	塞黑
墨巴本	姆巴巴內
墨累	美利
墨西拿	美西納
士魯斯柏立	梳士貝利
夏安	夏延
夏洛滕堡	夏洛騰堡
夏洛特惇	查洛頓
夏洛特頓	查洛頓
夕利	錫利
外西凡阿爾卑斯山	南喀爾巴阡山脈
多佛爾	多佛
多塞特	多實
多多馬	杜篤瑪
多明尼加	多米尼加
多洛米蒂	多羅米提
多特蒙德	多蒙特
大不列顛及北愛爾蘭聯合王國	大不列顛暨北愛爾蘭聯合王國
大不列顛及愛爾蘭聯合王國	大不列顛暨愛爾蘭聯合王國
大本鐘	大笨鐘
大英國協	英聯邦
大陸棚	大陸架
夫利佛蘭	弗萊福蘭
夸賈林	瓜加林
奇切斯特	席車士打
奇利瓦克	智利域
奇司威克	茲錫
奇彭納姆	切柏咸
奇徹斯特	席車士打
奇西克	茲錫
奈及利亞	尼日利亞
奈梅亨	尼美根
奈比多	內比都
奈洛比	內羅比
契朋罕	切柏咸
奔薩	朋札
奧丹	奧咸
奧伊彭	歐伊朋
奧克拉荷馬市	奧克拉荷馬城
奧克維爾	屋威老
奧克蘭	屋崙
奧勒岡	俄勒岡
奧塞提亞	奧塞梯
奧巴尼	奧爾巴尼
奧弗佩爾特	奧弗佩特
奧弗涅	奧文尼
奧恩·加法尔	翁惹化
奧斯丁	柯士甸
奧斯曼	鄂圖曼
奧斯汀	柯士甸
奧斯滕德	奧斯坦德
奧斯特利茨	奧斯特里茨
奧斯特里茲	奧斯特里茨
奧斯納布呂克	奧斯納布克
奧斯納貝克	奧斯納布克
奧格斯堡	奧古斯堡
奧比斯波	奧比斯保
奧沙瓦	奧沙華
奧波列	奧波萊
奧爾巴尼	雅賓利
奧爾弗里頓	奧斐頓
奧爾德姆	奧咸
奧爾登堡	奧登堡
奧福德	俄福
奧肯拿根	奧卡拿根
奧馬	奧瑪
奧馬爾	奧瑪
奧馬魯	奧瑪魯
女王公園	昆士柏
女王大學	皇后大學
好萊塢	荷里活
姆巴巴納	墨巴本 姆巴巴內
威克菲	域菲
威塞克斯	韋息士
威廉城	威廉斯塔德
威斯康星	威斯康辛
威斯敏斯特	西敏
威斯敏斯特修道院	西敏寺
威斯敏斯特宮	西敏宮
威斯敏斯特教堂	西敏寺
威斯敏斯特聖彼得牧師團教堂	西敏市聖彼得牧師團教堂
威斯敏斯特體系	西敏制
威斯特法倫	西法倫
威明頓	威爾明頓
威根	韋根
威治	域治
威爾士	威爾斯
威爾德斯通	韋特史東
威爾特	渭州
威特沃特斯蘭德	維瓦特斯蘭
威瑟爾	韋瑟爾
威登堡	維滕貝格
孔茨	康茲
孚日	佛日
孫德爾本斯	宣德班
安克拉治	安克雷奇
安克雷奇	安克拉治
安利公園	安利柏
安古蘭	昂古萊姆
安吉拉	安圭拉
安哈拉	岩哈拉
安地卡及巴布達	安提瓜和巴布達
安地斯	安第斯
安德萊赫特	安德列治
安提阿克	安條克
安瓦爾	安華
安的列斯	安地列斯
安蒂特姆	安提頓
安達盧西亞	安達魯西亞
安那翰	安納海姆
宏都拉斯	洪都拉斯
宿務	宿霧
密德瑟斯	美度息士 美度石士
密德蘭	米德蘭
密歇根	密芝根
密爾布瑞	米爾布雷
密爾沃基	密爾瓦基
密爾瓦基	密爾沃基
密西根	密芝根
富勒姆	富咸
富勒頓	富來頓
富圖那	富圖納
富爾達	佛萊辛
寬扎	廣薩
寮人民民主共和國	老撾人民民主共和國
寮國	老撾
寮文	老撾文
寮法國保護國	老撾法國保護國
寮王國	老撾王國
寮語	老撾語
對朝政策	對北政策
小岩城	小石城
尚佩恩	香檳
尚吉巴	桑給巴爾
尚布賴萊圖爾	尚布賴萊都爾
尚比亞	贊比亞
尚貝里	香貝里
尤比亞	埃維亞
尼亞美	尼阿美
尼加拉	尼亞加拉
尼日	尼日爾
尼柯西亞	尼科西亞
尼爾堡	紐堡
尼皮辛	尼披盛
尼科平	尼雪平
尼科西亞	尼柯西亞
尼阿美	尼亞美
居斯塔維亞	古斯塔維亞
峇卡	巴卡爾
峇釐	峇里
巴丁宜阿里淺灘	南康暗沙
巴伐利亞邦	巴伐利亞州
巴休惇	巴兆惇
巴克	白加
巴內特	班列特
巴利亞利	巴利阿里
巴利亞多利德	華亞度列
巴利阿里群島	巴利亞利羣島
巴勒摩	帕勒莫
巴勒莫	巴勒摩 帕勒莫
巴卡	巴卡爾
巴塞羅那	巴塞隆拿
巴塞隆納	巴塞羅那 巴塞隆拿
巴尼特	班列特
巴布亞新几內亞	巴布亞新畿內亞
巴布亞紐幾內亞	巴布亞新畿內亞
巴布延	巴布煙
巴摩拉	巴摩盧
巴斯	巴芙
巴斯特爾	巴士地
巴斯蒂亞	巴斯提亞
巴斯通	巴斯托涅
巴新	巴紐
巴林塘	巴林坦
巴爾米拉	帕邁拉
巴爾莫勒爾	巴摩盧
巴特溪	巴特爾克里克
巴瑟斯特	巴佛士
巴符邦	巴符州
巴約訥	貝雲
巴紐	巴新
巴美拉	帕邁拉
巴西爾登	巴兆惇
巴貝多	巴巴多斯
巴赫姆特	巴赫穆特
巴達維	巴達威
巴釐	峇里
巴頓魯治	巴吞魯日
巽德班	宣德班
巽德蘭	新特蘭
布倫亨	白蘭軒
布倫來	布羅姆利
布倫海姆	白蘭軒
布吉納法索	布基納法索
布恰	布查
布拉克本	布力般
布拉卡	比立勤
布拉干	比立勤
布拉德福德	巴拉福特
布拉提斯拉瓦	布拉迪斯拉發
布拉班特	布拉邦
布拉福	巴拉福特
布拉薩	布拉柴
布拉薩市	布拉柴維爾
布林德海姆	白蘭軒
布林格蘭	兵基蘭
布根蘭	布爾根蘭
布根蘭邦	布爾根蘭州
布法羅	水牛城
布洛瓦利	布羅瓦里
布爾戈斯	布哥斯
布瓊布拉	布松布拉
布痕瓦爾德	布亨瓦德
布盧姆茨伯里	布林斯貝利
布萊克希斯	布力希斯
布萊克本	布力般
布萊克浦	黑池
布萊斯瓦利	布萊斯河谷
布萊梅	不萊梅
布萊梅港	不萊梅港
布萊梅邦	不萊梅州
布萊頓	白禮頓
布藍茲維	賓士域
布蘭岱	布蘭太爾
布蘭普頓	賓頓
布蘭登堡	勃蘭登堡
布蘭登堡邦	勃蘭登堡州
布賴頓	白禮頓
布里奇沃特	必列者窩打
布里奇波特	橋港
布里奇頓	橋鎮
布里斯托爾	布里斯托
布里斯托爾路	布里斯托路
布里斯班	布里斯本
布隆方丹	布隆泉
布雷恩垂	布倫特里
布雷根茨	布雷根茲
布靈厄蘭	兵基蘭
布魯姆斯伯里	布林斯貝利
希思羅	希斯路
希斯洛	希斯路
希沙慕丁	希山慕丁
希邁	希梅
帕丁頓	柏靈頓
帕克賽德	柏世
帕利基爾	帕里克爾
帕勞	帛琉
帕拉納	帕瑞納
帕拉馬里博	巴拉馬利波
帕瑞納	帕拉納
帕皮提	巴比提
帛琉	帕勞
干貢	甘岡
幾內亞	畿內亞
幾內亞比索	畿內亞比紹
庇里牛斯	比利牛斯
庫夫斯坦	庫夫施泰因
庫德	庫爾德
康乃狄克	康涅狄格
康伯威爾	堅伯威
康希爾	康山
康斯坦茨	康士坦茲
康樂	干諾
康沃爾	康和
康瓦爾	康和
康瓦耳	康和
康登	劍頓
康諾特	干諾
廷布	辛布
弗吉尼亞	維珍尼亞
弗林特	扶蓮
弗次瓦夫	弗羅茨瓦夫
弗爾訥	福恩
弗留利	佛里烏利
弗羅西諾內	佛羅西羅內
弗萊堡	費雷堡
弗蘭肯地區	法蘭克尼亞地區
弗蘭肯行政區	法蘭克尼亞行政區
弗賴堡	費雷堡
弗里堡	佛立堡
弗里斯蘭	菲士蘭
弗里曼特爾	費里曼圖
弗里西亞	非里西亞
弗隆特納克	芳堤娜
弗雷德里克頓	腓特烈頓
弗雷斯諾	佛雷斯諾
弗雷澤	菲沙
弗雷西內	菲瑟涅
強斯頓	約翰斯頓
強斯頓島	約翰斯頓島
強斯頓環礁	約翰斯頓環礁
彼得伯勒	彼得堡 彼德堡
彼得波羅	彼德堡
得克薩斯	德薩斯
得州	德州
得梅因	德梅因
德克薩斯	德薩斯
德凱利亞	德基利亞
德勒斯登	德累斯頓 特雷斯登
德古西加巴	特古西加爾巴
德拉瓦州	特拉華州
德拉肯斯山脈	龍山山脈
德文	德雲
德比	打比
德班	德爾班
德累斯頓	特雷斯登
德蘭士瓦	川斯瓦
德賴河	乾河
忘憂宮	無憂宮
怡朗	依路
恩加美納	恩賈梅納
恩荷芬	燕豪芬
恩菲爾德	恩菲
恩菲特	恩菲
惇克爾克	鄧寇克
惇刻爾克	鄧寇克
惇巴頓	東寶庭
惠斯勒	威士拿
惠特徹奇	韋卓
惠特沃斯	韋和夫
惠靈頓	威靈頓
惹化	賈法
惹法	賈法
愛德華茲惇	愛德華城
愛德蒙頓	愛民頓
愛森納赫	艾森納赫
愛爾朗根	埃朗根
愛爾福特	艾福特
愛蒙頓	愛民頓
慕斯達法	穆斯塔法
慕森加柏	慕遜加柏
慕豪森	米爾豪森
懷特霍斯	白馬市
戈德里奇	哥打列治
戈斯福德	高士福
戛納	康城
戛納埃克呂斯	康埃克呂斯
扎因丁	再努丁
托倫斯	多倫士
托列斯	托利斯
托彼卡	托皮卡
托斯卡納	托斯卡尼
托菲諾	吐芬奴
托萊多	托雷多
托雷斯	托利斯
托馬斯	湯瑪士
拉亞礁	光星礁
拉吉歐	拉素
拉哥斯	拉各斯
拉塞爾	羅素
拉夫伯勒	拉夫堡
拉央拉央島	彈丸礁
拉希德	拉昔
拉惹加隆淺灘	北康暗沙 義淨礁
拉斐特	拉法葉
拉斯羅普	萊思羅普
拉曼恰	拉曼查
拉特蘭	律倫
拉薩	拉扎克
拉薩克	拉扎克
拉赫曼	拉曼
拉韋洛	拉維洛
拉齊奧	拉素
拜仁邦	拜仁州
拜律特	拜洛特
拜恩邦	拜恩州
拜羅伊特	拜洛特
拿波利	拿坡里
拿督打立礁	隠波暗沙
拿索	拿騷 蘭秀
拿騷	拿索 蘭秀
提林斯	梯林斯
提比里斯	第比利斯
提洛	蒂羅爾
提洛邦	蒂羅爾州
揚德納島	延德納島
摩加迪休	摩加迪沙
摩加迪沙	摩加迪休
摩斯比	莫士比
摩斯比港	莫士比港
摩澤爾	莫瑟爾
撒丁	薩丁尼亞
敖得薩	奧迪沙 敖德薩
敖德薩	奧迪沙
數位及交通部	數碼及交通部
數字化和交通部	數碼及交通部
文丁破礁	瓊台礁
文萊	汶萊
文萊達魯薩蘭國	汶萊達魯薩蘭國
文西德爾	文西德
文達	温達
斯圖加特	史特加
斯坦福	史丹福
斯塔沃洛	斯塔弗洛
斯塔福德	施他佛
斯庫台	士科德
斯托克城	史篤城
斯托克頓	士德頓
斯托蒙特	士多蒙
斯旺西	史雲斯
斯普利特	施普利特
斯普林菲爾德	春田市
斯泰克方丹	史泰克方丹
斯泰爾	施泰爾
斯洛維尼亞	斯洛文尼亞
斯派爾	詩貝亞
斯海弗寧恩	席凡寧根
斯海爾德	須耳德
斯溫登	史雲頓
斯溫頓	史雲頓
斯潘道	施潘道
斯特拉斯堡	史特拉斯堡
斯特拉特福	史特拉福
斯特里漢姆	史卓咸
斯特里薩姆	史卓咸
斯特雷特姆	史卓咸
斯特靈	士他令
斯科普里	史高比耶
斯科茨谷	史葛斯谷
斯蒂夫尼奇	史提芬納治
斯里巴卡旺	斯里巴加灣
新不倫瑞克	紐賓士域
新几內亞	新畿內亞
新南威爾斯	新南威爾士
新南威爾斯州	新南威爾士州
新喬治亞	新佐治亞
新堡	紐卡素
新奧爾良	紐奧良
新威斯敏斯特	新西敏
新布藍茲維	紐賓士域
新布蘭斯威	紐賓士域
新帕札	新帕扎爾
新幾內亞	新畿內亞
新斯科細亞	諾華斯高沙
新斯科舍	諾華斯高沙
新沙德	諾維薩德
新港	波多諾伏
新罕布夏	新罕布什爾
新英格蘭	紐英倫
新莫斯科斯克	新莫斯科夫斯克
施泰格利茨	史泰格利茲
施洛普	史樂
施派爾	詩貝亞
施特拉爾松德	史特拉頌
施瓦本	士瓦本
施維茨	舒維茲
施蒂里亞	施蒂利亞
施蒂里亞州	施蒂利亞州
施韋因富特	什文福
施龐達勒姆	斯潘達勒姆
日占朝鮮	日佔朝鮮
日耳曼邦聯	德意志邦聯
旺多姆廣場	凡登廣場 芳登廣場
旺玆沃思	灣斯禾夫
旺茲沃斯	灣斯禾夫
旺阿玆莎	旺阿茲莎
旺阿芝莎	旺阿茲莎
昂代訥	安登
明尼亞波利斯	明尼阿波利斯
明登	棉登
昔得蘭	泄蘭
普利茅斯	普利茅夫
普勒托利亞	普勒陀尼亞
普拉亞	培亞
普林普頓	拔林惇
普林普頓帕克	拔林惇柏
普法爾茨	普法茨 普法茲
普法茲	普法爾茨
普羅斯佩克特	蒲庶庇
普萊西德湖	寧靜湖
普里斯提納	普里什蒂納
普雷史考特	皮利士葛
普雷斯科特	皮利士葛
曼哈頓	曼克頓
曼尼多巴	緬尼吐巴
曼尼托巴	緬尼吐巴 緬尼托巴
曼島	萌島
曼托瓦	曼圖亞
曼斯菲爾	曼斯菲特
曼斯菲爾德	曼斯菲特
曼特卡	曼提加
曼達納尼礁	南海礁
曼非斯	孟菲斯
朋札	奔薩
朝方	北韓方面
朝韓	南北韓
朝韓首腦會晤	南北韓首腦會談
朝鮮	北韓
朝鮮中央電視台	朝鮮中央電視台
朝鮮以及韓國	北韓以及南韓
朝鮮及韓國	北韓及南韓
朝鮮同韓國	北韓同南韓
朝鮮和韓國	北韓和南韓
朝鮮戰爭	韓戰
朝鮮文學藝朮總同盟	朝鮮文學藝術總同盟
朝鮮日占	朝鮮日佔
朝鮮獨立運動	韓國獨立運動
朝鮮與韓國	北韓與南韓
本迪戈	班迪哥
札格瑞布	薩格勒布
札法爾	賈法
札波羅熱	扎波羅熱
朱拉島	侏羅島
朴次茅斯	樸茨茅夫 樸茨茅斯
杜哈	多哈
杜塞爾多夫	杜斯多夫
杜塞道夫	杜斯多夫
杜尚貝	杜尚別
杜林	都靈
杰克遜	積遜
杰克遜維爾	積遜威爾
杰斐遜城	傑佛遜城
杰森	積遜
杰森維爾	積遜威爾
杰爾	傑爾
東加	湯加
東協	東盟
東南亞國家協會	東南亞國家聯盟
東古	東姑
東古·阿卜杜勒·拉赫曼	東姑阿都拉曼
東哥特	東哥德
東姑·阿布都拉曼	東姑阿都拉曼
東漢姆	東咸
東罕	東咸
松德里奧	桑治奧
林吉特	令吉
林茨	林茲
林茲	林茨
林雪平	林雪坪
柏京	巴金
柏寧礁	榆亞暗沙
柏林邦	柏林州
柏納比	本拿比
查化	賈法
查塔姆	漆咸
查戈斯	查哥斯
查靈	查令
柴郡	車士打郡
格來斯瓦德	格賴夫斯瓦爾德
格倫加里	己連加利
格倫奧斯蒙德	己連柯士文
格倫維爾	己連圍
格拉德斯通	格列士惇
格拉納達	格拉拿達
格拉茲	格拉茨
格林尼治	格林威治
格林貝	綠灣
格洛斯特	告羅士打
格洛瑟普	格洛索普
格溫內斯	圭內斯
格瑞那達	格林納達
格羅索普	格洛索普
格萊內爾格	己連拿奴
格蘭坪	嘉林邊
格蘭扁	嘉林邊
格里姆斯比	兼士比
桑德令罕	山靜咸
桑德蘭	新特蘭
桑德貝	雷灣
桑德靈厄姆	山靜咸
桑托斯將軍城	三投斯將軍市
梅嘉娃蒂	梅加瓦蒂
梅德斯通	美善同
梅德韋	麥德威
梅赫倫	麥赫連
棉蘭老	民答那峨
棉蘭老島	民答那峨島
楚胡伊夫	丘胡伊夫
模里西斯	毛里裘斯
樸茨茅斯	樸茨茅夫
欽奈	清奈
歐文	奧雲
歐文桑德	奧雲灣
歐文灣	奧雲灣
歐登堡	奧登堡
歐邦日	奧班吉
比亞希茲	比亞里茨
比勒費爾德	比勒菲爾德
比勒陀利亞	普勒陀尼亞
