Gaon數字榜	Gaon單曲榜
蕭提	索爾蒂
薩克其萬大學	沙斯卡寸旺大學
薩克斯管	色士風
薩克斯號	色士號
薩拉薩蒂	薩拉沙泰
薩提	薩蒂
薩斯喀徹溫大學	沙斯卡寸旺大學
薩氏管	色士風
薩氏號	色士號
藝朮體操	藝術體操
藝術游泳	韻律泳
蘇薩	蘇沙
蘇薩號	蘇沙號
西諾波利	辛諾波里
西貝柳斯	西貝流士
西部數據	威騰電子
角力	摔角
角斗士	角鬥士
計程車	的士
許德拉	海卓拉
許珀里翁	海柏利昂
許茨	舒茲
說唱	饒舌
諾德里	諾爾德里
謬思合唱團	Muse
貝斯	低音結他
財星	財富
費亞松	維拉臣
資本家雜志	福布斯
賓夕法尼亞大學	賓夕凡尼亞大學
賓州大學	賓夕凡尼亞大學
賭場管理	博弈管理
賽格斯坦	薩格士譚
赫利俄斯	希路斯
赫拉	希拉
赫拉克勒斯	海格力斯
赫爾茨	海爾次
超脫樂團	Nirvana
跑酷	Parkour
蹦床	彈床
蹦極跳	笨豬跳
車爾尼	徹爾尼
軍刀	佩劍
輕艇	獨木舟
輪滑	滾軸溜冰
辣妹組合	辣妹合唱團
返始	反始
迪斯可	的士高
迪斯科	的士高
迪斯科癟三	迪斯可癟三
迷你專輯	細碟
速度滑冰	競速滑冰
速食麵	即食麪
達律斯	戴流士
那斯達克	納斯達克
釆樣	取樣
金槍魚	吞拿魚
金氏世界紀錄	健力士世界紀錄
鈍劍	花劍
鈎球	曲棍球
銳劍	重劍
鋼架雪車	空架雪車
鍵盤	琴鍵
鐵人三項	三項鐵人
長曲	自由滑
門德爾松	孟德爾遜
閉幕式	閉幕禮
開幕式	開幕禮
開拓重工	卡特比勒
開閉幕式	開幕及閉幕禮
阿什肯納齊	阿殊堅納西
阿佛洛狄忒	阿芙蘿迪蒂
阿姆	Eminem
阿提米絲	阿緹蜜絲
阿斯特賴俄斯	亞斯特拉歐斯
阿格里奇	阿格麗希
阿比路錄音室	艾比路錄音室
阿爾比諾尼	阿賓朗尼
阿耳忒彌斯	阿提密斯 阿緹蜜絲
阿耳戈斯	阿古士
阿胥肯納吉	阿殊堅納西
阿芙蘿黛蒂	阿芙蘿迪蒂
阿革諾耳	阿格諾
阿馬德烏斯	阿瑪迪斯
隱私	私密
雅納切克	楊納傑克
雅馬哈	Yamaha
雇佣	僱用
電貝斯	低音電結他
霍洛維茨	賀路域玆
霍羅威茨	賀路域玆
非營利組織	非牟利機構
韋伯恩	魏本
韋瓦第	韋華第
音樂視頻	音樂錄像
音樂錄影帶	音樂錄像
韻律操	藝術體操
韻律體操	藝術體操
項目	專案
飛兆半導體	快捷半導體
飛行傘	滑翔傘
飛雅特	快意
飛霞	快意
食品和農業部	食品及農業部
首席品牌官	品牌長
首席執行官	行政總裁
首席財務官	財務長
首席運營官	首席營運長
馬斯特里赫特	馬斯垂克
馬斯特里赫特條約	馬斯垂克條約
骨痛熱症	登革熱
體育場	運動場
體育興奮劑	運動禁藥
高保真	高傳真
高空彈跳	笨豬跳
鮑羅丁	鮑羅定
鮪魚	吞拿魚
麒麟賽	競輪賽
麥卡特尼	麥卡尼
麥吉爾大學	麥基爾大學
黑帝斯	哈帝斯
齊默爾曼	齊瑪曼
