# Open Chinese Convert (OpenCC) Dictionary
# File: CJK_Compatibility_Ideographs.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://www.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt (accessed 2026-06-07)
# Used in configs: all built-in configs (hk2s, hk2sp, hk2t, jp2t, s2hk, s2hkp,
#   s2t, s2tw, s2twp, t2hk, t2jp, t2s, t2tw, tw2s, tw2sp, tw2t) via the
#   normalization field, which runs this dictionary as a pre-pass before
#   segmentation and conversion.
# Compatible OpenCC implementations are encouraged to apply the same
#   normalization pre-pass so that CJK Compatibility Ideograph input is handled
#   consistently across implementations.
#
# Notes:
# - This file maps CJK Compatibility Ideographs to their UnicodeData
#   decomposition targets, normalizing compatibility forms to standard
#   CJK unified ideographs before the main conversion chain runs.
# - It is also used as a reference table for tests and audits, including
#   checks that prevent regular dictionaries from accidentally adding
#   incorrect compatibility ideograph mappings.
# - Includes both the BMP block (U+F900–U+FAFF) and the CJK Compatibility
#   Ideographs Supplement block (U+2F800–U+2FA1F).
# - The following CJK Compatibility Ideographs have no decomposition
#   mapping in UnicodeData.txt and are therefore not listed as entries:
#   﨎 U+FA0E CJK COMPATIBILITY IDEOGRAPH-FA0E
#   﨏 U+FA0F CJK COMPATIBILITY IDEOGRAPH-FA0F
#   﨑 U+FA11 CJK COMPATIBILITY IDEOGRAPH-FA11
#   﨓 U+FA13 CJK COMPATIBILITY IDEOGRAPH-FA13
#   﨔 U+FA14 CJK COMPATIBILITY IDEOGRAPH-FA14
#   﨟 U+FA1F CJK COMPATIBILITY IDEOGRAPH-FA1F
#   﨡 U+FA21 CJK COMPATIBILITY IDEOGRAPH-FA21
#   﨣 U+FA23 CJK COMPATIBILITY IDEOGRAPH-FA23
#   﨤 U+FA24 CJK COMPATIBILITY IDEOGRAPH-FA24
#   﨧 U+FA27 CJK COMPATIBILITY IDEOGRAPH-FA27
#   﨨 U+FA28 CJK COMPATIBILITY IDEOGRAPH-FA28
#   﨩 U+FA29 CJK COMPATIBILITY IDEOGRAPH-FA29

# CJK Compatibility Ideographs
# 豈 U+F900 -> 豈 U+8C48
豈	豈
# 壘 U+F94A -> 壘 U+58D8
壘	壘
# 屢 U+F94B -> 屢 U+5C62
屢	屢
# 樓 U+F94C -> 樓 U+6A13
樓	樓
# 淚 U+F94D -> 淚 U+6DDA
淚	淚
# 漏 U+F94E -> 漏 U+6F0F
漏	漏
# 累 U+F94F -> 累 U+7D2F
累	累
# 縷 U+F950 -> 縷 U+7E37
縷	縷
# 陋 U+F951 -> 陋 U+964B
陋	陋
# 勒 U+F952 -> 勒 U+52D2
勒	勒
# 肋 U+F953 -> 肋 U+808B
肋	肋
# 凜 U+F954 -> 凜 U+51DC
凜	凜
# 凌 U+F955 -> 凌 U+51CC
凌	凌
# 稜 U+F956 -> 稜 U+7A1C
稜	稜
# 綾 U+F957 -> 綾 U+7DBE
綾	綾
# 菱 U+F958 -> 菱 U+83F1
菱	菱
# 陵 U+F959 -> 陵 U+9675
陵	陵
# 讀 U+F95A -> 讀 U+8B80
讀	讀
# 拏 U+F95B -> 拏 U+62CF
拏	拏
# 樂 U+F95C -> 樂 U+6A02
樂	樂
# 諾 U+F95D -> 諾 U+8AFE
諾	諾
# 丹 U+F95E -> 丹 U+4E39
丹	丹
# 寧 U+F95F -> 寧 U+5BE7
寧	寧
# 怒 U+F960 -> 怒 U+6012
怒	怒
# 率 U+F961 -> 率 U+7387
率	率
# 異 U+F962 -> 異 U+7570
異	異
# 北 U+F963 -> 北 U+5317
北	北
# 磻 U+F964 -> 磻 U+78FB
磻	磻
# 便 U+F965 -> 便 U+4FBF
便	便
# 復 U+F966 -> 復 U+5FA9
復	復
# 不 U+F967 -> 不 U+4E0D
不	不
# 泌 U+F968 -> 泌 U+6CCC
泌	泌
# 數 U+F969 -> 數 U+6578
數	數
# 索 U+F96A -> 索 U+7D22
索	索
# 參 U+F96B -> 參 U+53C3
參	參
# 塞 U+F96C -> 塞 U+585E
塞	塞
# 省 U+F96D -> 省 U+7701
省	省
# 葉 U+F96E -> 葉 U+8449
葉	葉
# 說 U+F96F -> 說 U+8AAA
說	說
# 殺 U+F970 -> 殺 U+6BBA
殺	殺
# 辰 U+F971 -> 辰 U+8FB0
辰	辰
# 沈 U+F972 -> 沈 U+6C88
沈	沈
# 拾 U+F973 -> 拾 U+62FE
拾	拾
# 若 U+F974 -> 若 U+82E5
若	若
# 掠 U+F975 -> 掠 U+63A0
掠	掠
# 略 U+F976 -> 略 U+7565
略	略
# 亮 U+F977 -> 亮 U+4EAE
亮	亮
# 兩 U+F978 -> 兩 U+5169
兩	兩
# 凉 U+F979 -> 凉 U+51C9
凉	凉
# 梁 U+F97A -> 梁 U+6881
梁	梁
# 糧 U+F97B -> 糧 U+7CE7
糧	糧
# 良 U+F97C -> 良 U+826F
良	良
# 諒 U+F97D -> 諒 U+8AD2
諒	諒
# 量 U+F97E -> 量 U+91CF
量	量
# 勵 U+F97F -> 勵 U+52F5
勵	勵
# 呂 U+F980 -> 呂 U+5442
呂	呂
# 女 U+F981 -> 女 U+5973
女	女
# 廬 U+F982 -> 廬 U+5EEC
廬	廬
# 旅 U+F983 -> 旅 U+65C5
旅	旅
# 濾 U+F984 -> 濾 U+6FFE
濾	濾
# 礪 U+F985 -> 礪 U+792A
礪	礪
# 閭 U+F986 -> 閭 U+95AD
閭	閭
# 驪 U+F987 -> 驪 U+9A6A
驪	驪
# 麗 U+F988 -> 麗 U+9E97
麗	麗
# 黎 U+F989 -> 黎 U+9ECE
黎	黎
# 力 U+F98A -> 力 U+529B
力	力
# 曆 U+F98B -> 曆 U+66C6
曆	曆
# 歷 U+F98C -> 歷 U+6B77
歷	歷
# 轢 U+F98D -> 轢 U+8F62
轢	轢
# 年 U+F98E -> 年 U+5E74
年	年
# 憐 U+F98F -> 憐 U+6190
憐	憐
# 戀 U+F990 -> 戀 U+6200
戀	戀
# 撚 U+F991 -> 撚 U+649A
撚	撚
# 漣 U+F992 -> 漣 U+6F23
漣	漣
# 煉 U+F993 -> 煉 U+7149
煉	煉
# 璉 U+F994 -> 璉 U+7489
璉	璉
# 秊 U+F995 -> 秊 U+79CA
秊	秊
# 練 U+F996 -> 練 U+7DF4
練	練
# 聯 U+F997 -> 聯 U+806F
聯	聯
# 輦 U+F998 -> 輦 U+8F26
輦	輦
# 蓮 U+F999 -> 蓮 U+84EE
蓮	蓮
# 連 U+F99A -> 連 U+9023
連	連
# 鍊 U+F99B -> 鍊 U+934A
鍊	鍊
# 列 U+F99C -> 列 U+5217
列	列
# 劣 U+F99D -> 劣 U+52A3
劣	劣
# 咽 U+F99E -> 咽 U+54BD
咽	咽
# 烈 U+F99F -> 烈 U+70C8
烈	烈
# 裂 U+F9A0 -> 裂 U+88C2
裂	裂
# 說 U+F9A1 -> 說 U+8AAA
說	說
# 廉 U+F9A2 -> 廉 U+5EC9
廉	廉
# 念 U+F9A3 -> 念 U+5FF5
念	念
# 捻 U+F9A4 -> 捻 U+637B
捻	捻
# 殮 U+F9A5 -> 殮 U+6BAE
殮	殮
# 簾 U+F9A6 -> 簾 U+7C3E
簾	簾
# 獵 U+F9A7 -> 獵 U+7375
獵	獵
# 令 U+F9A8 -> 令 U+4EE4
令	令
# 囹 U+F9A9 -> 囹 U+56F9
囹	囹
# 寧 U+F9AA -> 寧 U+5BE7
寧	寧
# 嶺 U+F9AB -> 嶺 U+5DBA
嶺	嶺
# 怜 U+F9AC -> 怜 U+601C
怜	怜
# 玲 U+F9AD -> 玲 U+73B2
玲	玲
# 瑩 U+F9AE -> 瑩 U+7469
瑩	瑩
# 羚 U+F9AF -> 羚 U+7F9A
羚	羚
# 聆 U+F9B0 -> 聆 U+8046
聆	聆
# 鈴 U+F9B1 -> 鈴 U+9234
鈴	鈴
# 零 U+F9B2 -> 零 U+96F6
零	零
# 靈 U+F9B3 -> 靈 U+9748
靈	靈
# 領 U+F9B4 -> 領 U+9818
領	領
# 例 U+F9B5 -> 例 U+4F8B
例	例
# 禮 U+F9B6 -> 禮 U+79AE
禮	禮
# 醴 U+F9B7 -> 醴 U+91B4
醴	醴
# 隸 U+F9B8 -> 隸 U+96B8
隸	隸
# 惡 U+F9B9 -> 惡 U+60E1
惡	惡
# 了 U+F9BA -> 了 U+4E86
了	了
# 僚 U+F9BB -> 僚 U+50DA
僚	僚
# 寮 U+F9BC -> 寮 U+5BEE
寮	寮
# 尿 U+F9BD -> 尿 U+5C3F
尿	尿
# 料 U+F9BE -> 料 U+6599
料	料
# 樂 U+F9BF -> 樂 U+6A02
樂	樂
# 燎 U+F9C0 -> 燎 U+71CE
燎	燎
# 療 U+F9C1 -> 療 U+7642
療	療
# 蓼 U+F9C2 -> 蓼 U+84FC
蓼	蓼
# 遼 U+F9C3 -> 遼 U+907C
遼	遼
# 龍 U+F9C4 -> 龍 U+9F8D
龍	龍
# 暈 U+F9C5 -> 暈 U+6688
暈	暈
# 阮 U+F9C6 -> 阮 U+962E
阮	阮
# 劉 U+F9C7 -> 劉 U+5289
劉	劉
# 杻 U+F9C8 -> 杻 U+677B
杻	杻
# 柳 U+F9C9 -> 柳 U+67F3
柳	柳
# 流 U+F9CA -> 流 U+6D41
流	流
# 溜 U+F9CB -> 溜 U+6E9C
溜	溜
# 琉 U+F9CC -> 琉 U+7409
琉	琉
# 留 U+F9CD -> 留 U+7559
留	留
# 硫 U+F9CE -> 硫 U+786B
硫	硫
# 紐 U+F9CF -> 紐 U+7D10
紐	紐
# 類 U+F9D0 -> 類 U+985E
類	類
# 六 U+F9D1 -> 六 U+516D
六	六
# 戮 U+F9D2 -> 戮 U+622E
戮	戮
# 陸 U+F9D3 -> 陸 U+9678
陸	陸
# 倫 U+F9D4 -> 倫 U+502B
倫	倫
# 崙 U+F9D5 -> 崙 U+5D19
崙	崙
# 淪 U+F9D6 -> 淪 U+6DEA
淪	淪
# 輪 U+F9D7 -> 輪 U+8F2A
輪	輪
# 律 U+F9D8 -> 律 U+5F8B
律	律
# 慄 U+F9D9 -> 慄 U+6144
慄	慄
# 栗 U+F9DA -> 栗 U+6817
栗	栗
# 率 U+F9DB -> 率 U+7387
率	率
# 隆 U+F9DC -> 隆 U+9686
隆	隆
# 利 U+F9DD -> 利 U+5229
利	利
# 吏 U+F9DE -> 吏 U+540F
吏	吏
# 履 U+F9DF -> 履 U+5C65
履	履
# 易 U+F9E0 -> 易 U+6613
易	易
# 李 U+F9E1 -> 李 U+674E
李	李
# 梨 U+F9E2 -> 梨 U+68A8
梨	梨
# 泥 U+F9E3 -> 泥 U+6CE5
泥	泥
# 理 U+F9E4 -> 理 U+7406
理	理
# 痢 U+F9E5 -> 痢 U+75E2
痢	痢
# 罹 U+F9E6 -> 罹 U+7F79
罹	罹
# 裏 U+F9E7 -> 裏 U+88CF
裏	裏
# 裡 U+F9E8 -> 裡 U+88E1
裡	裡
# 里 U+F9E9 -> 里 U+91CC
里	里
# 離 U+F9EA -> 離 U+96E2
離	離
# 匿 U+F9EB -> 匿 U+533F
匿	匿
# 溺 U+F9EC -> 溺 U+6EBA
溺	溺
# 吝 U+F9ED -> 吝 U+541D
吝	吝
# 燐 U+F9EE -> 燐 U+71D0
燐	燐
# 璘 U+F9EF -> 璘 U+7498
璘	璘
# 藺 U+F9F0 -> 藺 U+85FA
藺	藺
# 隣 U+F9F1 -> 隣 U+96A3
隣	隣
# 鱗 U+F9F2 -> 鱗 U+9C57
鱗	鱗
# 麟 U+F9F3 -> 麟 U+9E9F
麟	麟
# 林 U+F9F4 -> 林 U+6797
林	林
# 淋 U+F9F5 -> 淋 U+6DCB
淋	淋
# 臨 U+F9F6 -> 臨 U+81E8
臨	臨
# 立 U+F9F7 -> 立 U+7ACB
立	立
# 笠 U+F9F8 -> 笠 U+7B20
笠	笠
# 粒 U+F9F9 -> 粒 U+7C92
粒	粒
# 狀 U+F9FA -> 狀 U+72C0
狀	狀
# 炙 U+F9FB -> 炙 U+7099
炙	炙
# 識 U+F9FC -> 識 U+8B58
識	識
# 什 U+F9FD -> 什 U+4EC0
什	什
# 茶 U+F9FE -> 茶 U+8336
茶	茶
# 刺 U+F9FF -> 刺 U+523A
刺	刺
# 切 U+FA00 -> 切 U+5207
切	切
# 度 U+FA01 -> 度 U+5EA6
度	度
# 拓 U+FA02 -> 拓 U+62D3
拓	拓
# 糖 U+FA03 -> 糖 U+7CD6
糖	糖
# 宅 U+FA04 -> 宅 U+5B85
宅	宅
# 洞 U+FA05 -> 洞 U+6D1E
洞	洞
# 暴 U+FA06 -> 暴 U+66B4
暴	暴
# 輻 U+FA07 -> 輻 U+8F3B
輻	輻
# 行 U+FA08 -> 行 U+884C
行	行
# 降 U+FA09 -> 降 U+964D
降	降
# 見 U+FA0A -> 見 U+898B
見	見
# 廓 U+FA0B -> 廓 U+5ED3
廓	廓
# 兀 U+FA0C -> 兀 U+5140
兀	兀
# 嗀 U+FA0D -> 嗀 U+55C0
嗀	嗀
# 塚 U+FA10 -> 塚 U+585A
塚	塚
# 晴 U+FA12 -> 晴 U+6674
晴	晴
# 凞 U+FA15 -> 凞 U+51DE
凞	凞
# 猪 U+FA16 -> 猪 U+732A
猪	猪
# 益 U+FA17 -> 益 U+76CA
益	益
# 礼 U+FA18 -> 礼 U+793C
礼	礼
# 神 U+FA19 -> 神 U+795E
神	神
# 祥 U+FA1A -> 祥 U+7965
祥	祥
# 福 U+FA1B -> 福 U+798F
福	福
# 靖 U+FA1C -> 靖 U+9756
靖	靖
# 精 U+FA1D -> 精 U+7CBE
精	精
# 羽 U+FA1E -> 羽 U+7FBD
羽	羽
# 蘒 U+FA20 -> 蘒 U+8612
蘒	蘒
# 諸 U+FA22 -> 諸 U+8AF8
諸	諸
# 逸 U+FA25 -> 逸 U+9038
逸	逸
# 都 U+FA26 -> 都 U+90FD
都	都
# 飯 U+FA2A -> 飯 U+98EF
飯	飯
# 飼 U+FA2B -> 飼 U+98FC
飼	飼
# 館 U+FA2C -> 館 U+9928
館	館
# 鶴 U+FA2D -> 鶴 U+9DB4
鶴	鶴
# 郞 U+FA2E -> 郞 U+90DE
郞	郞
# 隷 U+FA2F -> 隷 U+96B7
隷	隷
# 侮 U+FA30 -> 侮 U+4FAE
侮	侮
# 僧 U+FA31 -> 僧 U+50E7
僧	僧
# 免 U+FA32 -> 免 U+514D
免	免
# 勉 U+FA33 -> 勉 U+52C9
勉	勉
# 勤 U+FA34 -> 勤 U+52E4
勤	勤
# 卑 U+FA35 -> 卑 U+5351
卑	卑
# 喝 U+FA36 -> 喝 U+559D
喝	喝
# 嘆 U+FA37 -> 嘆 U+5606
嘆	嘆
# 器 U+FA38 -> 器 U+5668
器	器
# 塀 U+FA39 -> 塀 U+5840
塀	塀
# 墨 U+FA3A -> 墨 U+58A8
墨	墨
# 層 U+FA3B -> 層 U+5C64
層	層
# 屮 U+FA3C -> 屮 U+5C6E
屮	屮
# 悔 U+FA3D -> 悔 U+6094
悔	悔
# 慨 U+FA3E -> 慨 U+6168
慨	慨
# 憎 U+FA3F -> 憎 U+618E
憎	憎
# 懲 U+FA40 -> 懲 U+61F2
懲	懲
# 敏 U+FA41 -> 敏 U+654F
敏	敏
# 既 U+FA42 -> 既 U+65E2
既	既
# 暑 U+FA43 -> 暑 U+6691
暑	暑
# 梅 U+FA44 -> 梅 U+6885
梅	梅
# 海 U+FA45 -> 海 U+6D77
海	海
# 渚 U+FA46 -> 渚 U+6E1A
渚	渚
# 漢 U+FA47 -> 漢 U+6F22
漢	漢
# 煮 U+FA48 -> 煮 U+716E
煮	煮
# 爫 U+FA49 -> 爫 U+722B
爫	爫
# 琢 U+FA4A -> 琢 U+7422
琢	琢
# 碑 U+FA4B -> 碑 U+7891
碑	碑
# 社 U+FA4C -> 社 U+793E
社	社
# 祉 U+FA4D -> 祉 U+7949
祉	祉
# 祈 U+FA4E -> 祈 U+7948
祈	祈
# 祐 U+FA4F -> 祐 U+7950
祐	祐
# 祖 U+FA50 -> 祖 U+7956
祖	祖
# 祝 U+FA51 -> 祝 U+795D
祝	祝
# 禍 U+FA52 -> 禍 U+798D
禍	禍
# 禎 U+FA53 -> 禎 U+798E
禎	禎
# 穀 U+FA54 -> 穀 U+7A40
穀	穀
# 突 U+FA55 -> 突 U+7A81
突	突
# 節 U+FA56 -> 節 U+7BC0
節	節
# 練 U+FA57 -> 練 U+7DF4
練	練
# 縉 U+FA58 -> 縉 U+7E09
縉	縉
# 繁 U+FA59 -> 繁 U+7E41
繁	繁
# 署 U+FA5A -> 署 U+7F72
署	署
# 者 U+FA5B -> 者 U+8005
者	者
# 臭 U+FA5C -> 臭 U+81ED
臭	臭
# 艹 U+FA5D -> 艹 U+8279
艹	艹
# 艹 U+FA5E -> 艹 U+8279
艹	艹
# 著 U+FA5F -> 著 U+8457
著	著
# 褐 U+FA60 -> 褐 U+8910
褐	褐
# 視 U+FA61 -> 視 U+8996
視	視
# 謁 U+FA62 -> 謁 U+8B01
謁	謁
# 謹 U+FA63 -> 謹 U+8B39
謹	謹
# 賓 U+FA64 -> 賓 U+8CD3
賓	賓
# 贈 U+FA65 -> 贈 U+8D08
贈	贈
# 辶 U+FA66 -> 辶 U+8FB6
辶	辶
# 逸 U+FA67 -> 逸 U+9038
逸	逸
# 難 U+FA68 -> 難 U+96E3
難	難
# 響 U+FA69 -> 響 U+97FF
響	響
# 頻 U+FA6A -> 頻 U+983B
頻	頻
# 恵 U+FA6B -> 恵 U+6075
恵	恵
# 𤋮 U+FA6C -> 𤋮 U+242EE
𤋮	𤋮
# 舘 U+FA6D -> 舘 U+8218
舘	舘
# 並 U+FA70 -> 並 U+4E26
並	並
# 况 U+FA71 -> 况 U+51B5
况	况
# 全 U+FA72 -> 全 U+5168
全	全
# 侀 U+FA73 -> 侀 U+4F80
侀	侀
# 充 U+FA74 -> 充 U+5145
充	充
# 冀 U+FA75 -> 冀 U+5180
冀	冀
# 勇 U+FA76 -> 勇 U+52C7
勇	勇
# 勺 U+FA77 -> 勺 U+52FA
勺	勺
# 喝 U+FA78 -> 喝 U+559D
喝	喝
# 啕 U+FA79 -> 啕 U+5555
啕	啕
# 喙 U+FA7A -> 喙 U+5599
喙	喙
# 嗢 U+FA7B -> 嗢 U+55E2
嗢	嗢
# 塚 U+FA7C -> 塚 U+585A
塚	塚
# 墳 U+FA7D -> 墳 U+58B3
墳	墳
# 奄 U+FA7E -> 奄 U+5944
奄	奄
# 奔 U+FA7F -> 奔 U+5954
奔	奔
# 婢 U+FA80 -> 婢 U+5A62
婢	婢
# 嬨 U+FA81 -> 嬨 U+5B28
嬨	嬨
# 廒 U+FA82 -> 廒 U+5ED2
廒	廒
# 廙 U+FA83 -> 廙 U+5ED9
廙	廙
# 彩 U+FA84 -> 彩 U+5F69
彩	彩
# 徭 U+FA85 -> 徭 U+5FAD
徭	徭
# 惘 U+FA86 -> 惘 U+60D8
惘	惘
# 慎 U+FA87 -> 慎 U+614E
慎	慎
# 愈 U+FA88 -> 愈 U+6108
愈	愈
# 憎 U+FA89 -> 憎 U+618E
憎	憎
# 慠 U+FA8A -> 慠 U+6160
慠	慠
# 懲 U+FA8B -> 懲 U+61F2
懲	懲
# 戴 U+FA8C -> 戴 U+6234
戴	戴
# 揄 U+FA8D -> 揄 U+63C4
揄	揄
# 搜 U+FA8E -> 搜 U+641C
搜	搜
# 摒 U+FA8F -> 摒 U+6452
摒	摒
# 敖 U+FA90 -> 敖 U+6556
敖	敖
# 晴 U+FA91 -> 晴 U+6674
晴	晴
# 朗 U+FA92 -> 朗 U+6717
朗	朗
# 望 U+FA93 -> 望 U+671B
望	望
# 杖 U+FA94 -> 杖 U+6756
杖	杖
# 歹 U+FA95 -> 歹 U+6B79
歹	歹
# 殺 U+FA96 -> 殺 U+6BBA
殺	殺
# 流 U+FA97 -> 流 U+6D41
流	流
# 滛 U+FA98 -> 滛 U+6EDB
滛	滛
# 滋 U+FA99 -> 滋 U+6ECB
滋	滋
# 漢 U+FA9A -> 漢 U+6F22
漢	漢
# 瀞 U+FA9B -> 瀞 U+701E
瀞	瀞
# 煮 U+FA9C -> 煮 U+716E
煮	煮
# 瞧 U+FA9D -> 瞧 U+77A7
瞧	瞧
# 爵 U+FA9E -> 爵 U+7235
爵	爵
# 犯 U+FA9F -> 犯 U+72AF
犯	犯
# 猪 U+FAA0 -> 猪 U+732A
猪	猪
# 瑱 U+FAA1 -> 瑱 U+7471
瑱	瑱
# 甆 U+FAA2 -> 甆 U+7506
甆	甆
# 画 U+FAA3 -> 画 U+753B
画	画
# 瘝 U+FAA4 -> 瘝 U+761D
瘝	瘝
# 瘟 U+FAA5 -> 瘟 U+761F
瘟	瘟
# 益 U+FAA6 -> 益 U+76CA
益	益
# 盛 U+FAA7 -> 盛 U+76DB
盛	盛
# 直 U+FAA8 -> 直 U+76F4
直	直
# 睊 U+FAA9 -> 睊 U+774A
睊	睊
# 着 U+FAAA -> 着 U+7740
着	着
# 磌 U+FAAB -> 磌 U+78CC
磌	磌
# 窱 U+FAAC -> 窱 U+7AB1
窱	窱
# 節 U+FAAD -> 節 U+7BC0
節	節
# 类 U+FAAE -> 类 U+7C7B
类	类
# 絛 U+FAAF -> 絛 U+7D5B
絛	絛
# 練 U+FAB0 -> 練 U+7DF4
練	練
# 缾 U+FAB1 -> 缾 U+7F3E
缾	缾
# 者 U+FAB2 -> 者 U+8005
者	者
# 荒 U+FAB3 -> 荒 U+8352
荒	荒
# 華 U+FAB4 -> 華 U+83EF
華	華
