16强赛	八分之一决赛
十强串流	十强流媒体
十强数码	十强数字
半准决赛	四分之一决赛
华乐团	民乐团
华格纳	瓦格纳
华特	沃尔特
华隆	瓦隆
单车	自行车
博弈管理	赌场管理
卜蜂集团	正大集团
卡伊达组织	基地组织
卡内基美隆大学	卡内基梅隆大学
卡尔海因兹	卡尔海因茨
卡尼基美隆大学	卡内基梅隆大学
卡巴赖夫斯基	卡巴列夫斯基
卡特比勒	卡特彼勒
卢特	拉特
即食麪	方便面
反始	返始
取样	采样
史丹佛	斯坦福
史丹佛大学	斯坦福大学
史丹福	斯坦福
史丹福大学	斯坦福大学
史克里亚宾	斯克里亚宾
史加尔亚宾	斯克里亚宾
史卡拉第	斯卡拉蒂
史密夫飞船	空中铁匠
史密斯飞船	空中铁匠
史托克豪森	施托克豪森
史特劳斯	施特劳斯
史特拉汶斯基	斯特拉文斯基
史麦塔纳	斯美塔那
司诺克	斯诺克
吞拿鱼	金枪鱼
告示牌	公告牌
告示牌二百大专辑榜	公告牌二百强专辑榜
告示牌百大单曲榜	公告牌百强单曲榜
和声歌手	和声
和音	和声
品牌长	首席品牌官
哈察都量	哈恰图良
哈帝斯	哈迪斯
哈比	哈耳庇厄
哥塞克	戈塞克
哥德	哥特
哥特堡	哥德堡
哲林斯基	策姆林斯基
唐纳	唐纳德
团结工联	团结工会
国乐团	民乐团
国贸条规	国际贸易术语解释通则
国际商业用语	国际贸易术语
国际排总女子排球世界杯	国际排联女子排球世界杯
国际排总排球世界杯	国际排联排球世界杯
国际排总男子排球世界杯	国际排联男子排球世界杯
国际篮总篮球世界杯	国际篮联篮球世界杯
坦米尔	泰米尔
埃尔斯蒂克	奥伊斯特拉赫
培冬	皮同
士碌架	斯诺克
夏威夷小结他	尤克里里
夏布里耶	夏布里埃
大人物合唱团	大先生乐队
大流士	戴留斯 达律斯
大英国协	英联邦
天使女伶	凯尔特女人
夫朗和斐协会	弗劳恩霍夫协会
奇伦	喀戎
好时年	固特异
威斯特里	维斯特里
威腾电子	西部数据
威讯	威瑞森
威风凛凛	威风堂堂
娇生	强生
孟德尔逊	门德尔松
孟德尔颂	门德尔松
安德瓦利	安德瓦里
安格尔波达	安格尔博达
宝硷	宝洁
室乐	室内乐
宾夕凡尼亚大学	宾夕法尼亚大学
宾州大学	宾夕法尼亚大学
富比士	福布斯
小红莓合唱团	小红莓乐队
尤弥尔	伊米尔
尼特立哥	涅特列布科
山叶	雅马哈
峇厘	巴厘
峇里	巴厘
崔斯坦与伊索德	特里斯坦与伊索尔德
巴伦波因	巴伦博伊姆
巴伦邦	巴伦博伊姆
巴哈	巴赫
巴尔托克	巴托克
巴托	巴托克
布拉姆斯	勃拉姆斯
布烈顿	布里顿
布瑞顿	布里顿
布莱兹	布列兹
希拉	赫拉
希路斯	赫利俄斯
帕委会	残委会
帕拉林匹克	残疾人奥林匹克
帕拉林匹克运动会	残疾人奥林匹克运动会
帕拉运动会	残疾人运动会
帕海贝尔	帕赫贝尔
帕运	残奥
平台钢琴	三角钢琴
幼稚园	幼儿园
庞克	朋克
康乃尔	康奈尔
康乃尔大学	康奈尔大学
开幕及闭幕礼	开闭幕式
开幕礼	开幕式
开拓重工	卡特彼勒
弹床	蹦床
弹翻床	蹦床
当奴	唐纳德
彩虹里	在彩虹中
彻尔尼	车尔尼
德伏扎克	德沃夏克
德士	出租车
德布西	德彪西
德弗札克	德沃夏克
快意	菲亚特
快捷半导体	飞兆半导体
快速面	方便面
怀旧女郎	战前女神
怪人合唱团	治疗乐队
戴流士	戴留斯 达律斯
执行长	首席执行官
披头四	披头士
拉法叶百货公司	老佛爷百货公司
拉赫曼尼诺夫	拉赫玛尼诺夫
拉顿	拉冬
拜律特音乐节	拜罗伊特音乐节
持旗手	旗手
捷泳	自由泳
掌上压	俯卧撑
掌旗官	旗手
摔角	摔跤
数位下载	数字下载
数位专辑	数字专辑
数位单曲	数字单曲
数位厅	数字厅
数位及交通部	数字化和交通部
数位发行	数字发行
数位榜	数字榜
数位歌曲	数字歌曲
数位版	数字版
数位音乐	数字音乐
数位音乐下载	数字音乐下载
数码下载	数字下载
数码专辑	数字专辑
数码单曲	数字单曲
数码厅	数字厅
数码及交通部	数字化和交通部
数码发行	数字发行
数码榜	数字榜
数码歌曲	数字歌曲
数码版	数字版
数码音乐	数字音乐
数码音乐下载	数字音乐下载
施莲娜	塞勒涅
昂山素姬	昂山素季
普渡大学	普度大学
普罗高菲夫	普罗科菲耶夫
普赛尔	珀塞尔
普雷特涅夫	普列特涅夫
智慧财产权	知识产权
杜达美	杜达梅尔
杨纳杰克	雅纳切克
杨颂斯	扬松斯
杰利毕达克	切利比达克
柏克莱	伯克利
查尔达斯	查尔达什
柯普兰	科普兰
格林美	格莱美
格罗方德	格芯
桌球	台球
梅湘	梅西安
榄球	橄榄球
欧伊斯特拉赫	奥伊斯特拉赫
欧洲及外交事务部	欧洲与外交事务部
欧洲太空总署	欧洲空间局
欧洲执行委员会	欧洲联盟委员会
欧洲暨外交事务部	欧洲与外交事务部
欧洲理事会	欧洲委员会
欧洲足协	欧洲足联
欧洲足总	欧洲足联
欧盟执委会	欧盟委员会
欧盟执行委员会	欧洲联盟委员会
欧盟高峰会	欧洲理事会
欧足协	欧足联
欧足总	欧足联
歇尔贝克	希尔贝克
歌舒咏	格什温
毕罗	彪罗
汉威联合	霍尼韦尔
沙斯卡寸旺大学	萨斯喀彻温大学
法兰兹	弗朗茨
法兰德斯	佛兰德
法兰明歌	弗拉门戈
波诺	博诺
波赛顿	波塞冬
泰密卡诺夫	捷米尔卡诺夫
泰雷曼	泰勒曼
浦罗哥菲夫	普罗科菲耶夫
浦赛尔	珀塞尔
海克力斯	赫拉克勒斯
海利欧斯	赫利俄斯
海卓拉	许德拉
海尔次	赫尔茨
海柏利昂	许珀里翁
海格力斯	赫拉克勒斯
海汀克	海廷克
海费兹	海菲茨
海飞兹	海菲茨
涅翠柯	涅特列布科
淡米尔	泰米尔
清唱剧	清唱套曲
滑轮溜冰	轮滑
滚轴溜冰	轮滑
澳盛银行	澳新银行
牟利	营利
狄克西女子合唱团	南方小鸡
独木舟	皮划艇
独立国协	独联体
独立国家国协	独立国家联合体
琴键	键盘
甜园合唱团	甜园乐队
白辽士	柏辽兹
百大专辑	百强专辑
百大串流	百强流媒体
百大单曲	百强单曲
百大数位	百强数字
百大歌曲	百强歌曲
百大电台	百强电台
百强串流	百强流媒体
百强数码	百强数字
的士	出租车
的士高	迪斯科
皇后合唱团	皇后乐队
盖希文	格什温
盖瑞与前导者合唱团	加里和领跑者组合
盖达组织	基地组织
短曲	短节目
短道竞速滑冰	短道速滑
硬蕊	硬核
碧玉	比约克
社会事务及卫生部	社会事务与卫生部
神剧	清唱剧
福特万格勒	富特文格勒
私密	隐私
空架雪车	钢架雪车
竞轮赛	凯林赛
竞速滑冰	速度滑冰
笨猪跳	蹦极跳
米德加尔特	米德加尔德
索尼影业	索尼影视娱乐
约顿海姆	约通海姆
纪新	基辛
细碟	迷你专辑
经济事务和气候行动部	经济和气候保护部
经济合作及发展部	经济合作与发展部
绑紧跳	蹦极跳
结他	吉他
维京	维珍
维尼奥夫斯基	维尼亚夫斯基
维拉臣	比利亚松
网际网路档案馆	互联网档案馆
罗斯卓波维奇	罗斯特罗波维奇
罗斯卓波维契	罗斯特罗波维奇
美国国家航空暨太空总署	美国国家航空航天局
美国太空总署	美国国家航空航天局
美国线上	美国在线
羽球	羽毛球
翁山淑枝	昂山素季
翁山苏姬	昂山素季
耐吉	耐克
耶梦加得	约尔蒙干德
联合公园	林肯公园
联篇歌曲	声乐套曲
背泳	仰泳
脚车	自行车
自由车	自行车
舒兹	许茨
舒娃兹柯芙	施瓦茨科普夫
舒尼格	施尼特凯
舒尼特克	施尼特凯
舒瓦兹柯芙	施瓦茨科普夫
色士号	萨克斯号
色士风	萨克斯管
艺术游泳	花样游泳
艾伍士	艾夫斯
艾奇德娜	厄客德娜
艾尔加	埃尔加
艾比路录音室	阿比路录音室
艾维士	艾夫斯
节奏蓝调	节奏布鲁斯
芙萝伦丝机进份子	弗洛伦斯与机器
花式溜冰	花样滑冰
花式滑冰	花样滑冰
苏沙	苏萨
苏沙号	苏萨号
英属哥伦比亚大学	不列颠哥伦比亚大学
荀伯克	勋伯格
荀白克	勋伯格
荣克	容克
莫兹可夫斯基	莫什科夫斯基
莫札特	莫扎特
莱比锡布业大厅管弦乐团	莱比锡布商大厦管弦乐团
莱特	拉特
莱茵河航运中央执委会	莱茵河航运中央委员会
萧士塔高维奇	肖斯塔科维奇
萧提	索尔蒂
萧斯达高维契	肖斯塔科维奇
萧邦	肖邦
萨克其万大学	萨斯喀彻温大学
萨拉沙泰	萨拉萨蒂
萨提	萨蒂
萨格士谭	塞格斯坦
萨氏号	萨克斯号
萨氏管	萨克斯管
葛人杰	格兰杰
葛令卡	格林卡
葛利格	格里格
葛莱美	格莱美
蚬壳	壳牌
行政总裁	首席执行官
行销长	市场总监
西贝流士	西贝柳斯
角力	摔跤
计程车	出租车
诺德里	诺尔德里
谬思合唱团	缪斯乐队
财务长	首席财务官
财星	财富
费亚松	比利亚松
贺路域兹	霍洛维茨
资本家杂志	福布斯
资讯总监	信息主管
赛格斯坦	塞格斯坦
赞臣士	扬松斯
超脱乐团	涅盘乐队
轻艇	皮划艇
辉达	英伟达
辛诺波里	西诺波利
辣妹合唱团	辣妹组合
运动场	体育场
运动禁药	体育兴奋剂
迪斯可	迪斯科
迪斯可瘪三	迪斯科瘪三
追随者合唱团	火车乐队
速食面	方便面
那斯达克	纳斯达克
金氏世界纪录	吉尼斯世界纪录
钝剑	花剑
钩球	曲棍球
锐剑	重剑
长曲	自由滑
闭幕礼	闭幕式
阿古士	阿耳戈斯
阿姆	埃米纳姆
阿宾朗尼	阿尔比诺尼
阿尔盖达组织	基地组织
阿提密斯	阿耳忒弥斯
阿提米丝	阿耳忒弥斯
阿格丽希	阿格里奇
阿格诺	阿革诺耳
阿殊坚纳西	阿什肯纳齐
阿玛迪斯	阿马德乌斯
阿缇蜜丝	阿耳忒弥斯
阿胥肯纳吉	阿什肯纳齐
阿芙萝迪蒂	阿佛洛狄忒
阿芙萝黛蒂	阿佛洛狄忒
雅罗	耶罗
雇用	雇佣
霍士	福斯
霍尔斯坦	哈尔斯坦
霍罗威茨	霍洛维茨
非牟利机构	非营利组织
韦华第	维瓦尔第
韦瓦第	维瓦尔第
韩德尔	亨德尔
韩战	朝鲜战争
音乐录像	音乐视频
音乐录影带	音乐视频
韵律体操	艺术体操
韵律操	艺术体操
韵律泳	花样游泳
飞行伞	滑翔伞
飞雅特	菲亚特
飞霞	菲亚特
食品及农业部	食品和农业部
饶舌	说唱
首席营运长	首席运营官
马斯垂克	马斯特里赫特
马斯垂克条约	马斯特里赫特条约
骨痛热症	登革热
高传真	高保真
高大宜	柯达伊
高空弹跳	蹦极跳
魏本	韦伯恩
鲍海贝尔	帕赫贝尔
鲍罗定	鲍罗丁
鲔鱼	金枪鱼
麒麟赛	凯林赛
麦卡尼	麦卡特尼
麦基尔大学	麦吉尔大学
黑帝斯	哈迪斯
齐玛曼	齐默尔曼
