借記卡	簽帳金融卡
質量稍微好	品質稍微好
質量稍微差	品質稍微差
質量稍微高	品質稍微高
質量稍高	品質稍高
質量管理	品質管理
質量越低	品質越低
質量越好	品質越好
質量越差	品質越差
質量越高	品質越高
質量較低	品質較低
質量較好	品質較好
質量較差	品質較差
質量較高	品質較高
質量還不賴	品質還不賴
質量還不錯	品質還不錯
質量還是那麼的高	品質還是那麼的高
質量還蠻差	品質還蠻差
質量還行	品質還行
質量高	品質高
香水的質量	香水的品質
代碼	程式
菠蘿	鳳梨
鳳梨麵包	菠蘿麵包
預包裝	包裝食品
食品標籤	食品標示
營養標籤	營養標示
保質期	賞味期限
網民	網友
堵車	塞車
獼猴桃	奇異果
衛衣	連帽衫
套服	套裝
下崗	失業
小型單放機	隨身聽
愛侶動物	寵物
代用鹽	低鈉鹽
生物食品	天然食品
易拉罐	易開罐
抓空字	抽空
夜餐	宵夜
空調鞋	氣墊鞋
倒數秒	倒數計時
白班	日班
保職停薪	留職停薪
老摳	小氣鬼
病休	請病假
房齡	屋齡
盲區	盲點
除塵器	吸塵器
剃鬍刀	刮鬍刀
打橫泡	攪局
份兒飯	套餐
水門汀	水泥
扎啤	生啤
散件	零件
八旗子弟	紈褲子弟
賣大號	量販
賣大戶	量販
假牌	仿冒品
被動抽煙	抽二手煙
轉折點	轉捩點
一風吹	一筆勾銷
衛生筷	免洗筷
殘次品	瑕疵品
綠色食品	健康食品
智力玩具	益智玩具
救生盒	急救箱
原珠筆	原子筆
檔次	等級
鐵哥們	哥兒們
本科生	大學生
保育院	育幼院
路條	通行證
半邊家庭	單親家庭
獲得者	得主
二流子	流氓
兄弟院校	姊妹校
國民身分證	居民身份證
臨時戶口	流動戶口
攻關	突破瓶頸
文娛活動	康樂活動
丁克夫妻	頂客族
大氣污染	空氣污染
行業病	職業病
低常兒童	低能兒
低常兒	低能兒
步行街	徒步區
救命電話	生命線
黃帶	A片
花帶子	A片
黃片	A片
炊事員	廚師
朋客	龐克族
商標菜	招牌菜
攤檔	攤位
婚外戀	婚外情
揭彩	剪綵
毛腳女婿	準女婿
電視大學	空中大學
車照	駕照
無塵粉筆	無灰粉筆
技校	職業學校
低谷	谷底
沸點新聞	焦點新聞
尖子	傑出人士
大腕	重量級人物
出糧	領薪
倒休	調班
開門紅	好彩頭
慣偷	慣竊
統一意見	共識
寬心丸	定心丸
監督電話	投訴電話
導火索	導火線
智殘人	智障人士
超常兒童	天才兒童
出版物	出版品
畢加索	畢卡索
普立茲獎	普立策獎
上座率	票房記錄
薌劇	歌仔戲
莫差特	莫札特
哥特	哥德
巴羅克	巴洛克
原音帶	原聲帶
面市	上市
主人公	主角
配演	配角
回頭客	常客
成服	成衣
第三產業	服務業
銷價	售價
知識密集	技術密集
擴銷	促銷
課時工資	鐘點費
熱貨	搶手貨
北京時間	中原時間
工齡	年資
步談機	對講機
尾氣測量	排氣測量
半包價式旅遊	半自助式旅遊
立交橋	交流道
頂價	天價
現房	成屋
集裝箱	貨櫃
受獎產品	得獎產品
甩賣	拋售
快銷	暢銷
多國家公司	跨國公司
利稅	營業稅
引廠進店	專櫃
空中客車	空中巴士
飛機乘務員	空服員
亭式車站	候車亭
旅遊車	遊覽車
混血車	拼裝車
過街橋	天橋
無繩電話	無線電話
架校	駕訓班
專列	加班車
尋呼	呼叫
輕騎	輕型機車
旅遊局	觀光局
旅遊農業	觀光農業
速遞	快遞
眨巴著	眨著
眨巴	眨著
遠端倉庫	遠端來源
中午好	午安
便利店	便利商店
洗面奶	洗面乳
老人卡	敬老卡
黄瓜	小黃瓜
小小黃瓜	小黃瓜
志願者	志工
活費	生活費
生生活費	生活費
數學期望	期望值
期望值值	期望值
舉報	檢舉
機動車	汽車
安全鎚	車窗擊破器
升華	昇華
適配	相容
健康碼	身份證字號
止疼片	止痛藥
二手房	中古屋
二手樓	中古屋
交通島	安全島
人行橫道	斑馬線
人造革	人造皮
估計不	大概不
估計是	大概是
估計能	大概能
估計要	大概要
伴侶動物	寵物
低質量	低品質
例假	生理期
保安員	保全
保安	保全
保暖杯	保溫杯
優死	安樂死
儲蓄罐	存錢筒
公交車	公車
公交	公車
通天女公安	飛天小女警察
公安局	派出所
公汽	公車
分辨率	解析度
冰激凌	冰淇淋
冷害	寒害
冷庫	冷藏
冷背	冷門
前列腺	攝護腺
創可貼	OK繃
力度	力道
吞拿魚	鮪魚
國際象棋	西洋棋
國際跳棋	西洋跳棋
圓珠筆	原子筆
基站	基地台
基類型	基本類型
墩布	拖把
外置	外接
大奔	賓士
婦男	家庭主夫
宇宙空間	外太空
富營養化	優養化
寬帶	寬頻
社區	社群
小區	社區
小帳	小費
居民身份證	身份證
已發展國家	已開發國家
巴金森氏症	帕金森氏症
帖子	貼文
廁紙	衛生紙
彩票	彩券
惡心	噁心
慈悲殺人	安樂死
打車	叫車
托幼	托嬰
拉黑	封鎖
捆綁包	組合包
激光視盤	影碟
激光	雷射
激活	啟動
擬生詞	狀聲詞
政治避難	政治庇護
故事片	劇情片
孃	娘
早上好	早安
旺銷	暢銷
晚上好	晚安
普通話	國語
有機玻璃	壓克力
期房	預售屋
查體	體檢
桑拿浴	三溫暖
桑拿	三溫暖
歐羅	歐元
殘疾	殘障
民校	私校
汽酒	汽水
活動板房	組合屋
無形眼鏡	隱形眼鏡
無形鏡	隱形眼鏡
熒光	螢光
爆炸物	爆裂物
特朗普	川普
病殘	殘障
發達國家	已開發國家
白鱗鯔	虱目魚
盒飯	便當
相冊	相簿
眼格	眼界
知識產權	智慧財產權
票販子	黃牛
立戶	定居
第二職業	副業
第二課堂	課外活動
簡裝	平裝
級任	班導
組群	群組
綜合徵	症候群
罰款	罰鍰
老齡	高齡
耶誕	聖誕
聯繫人	聯絡人
聯繫本	聯絡簿
胃管	鼻胃管
背囊客	背包客
胞漿水	羊水
腳手架	鷹架
自由泳	自由式
自選市場	超級市場
芝士	起司
芯片	晶片
落戶	設籍
藥店	藥局
輸液	點滴
衛生巾	衛生棉
西紅柿	蕃茄
西蘭花	花椰菜
評卷	閱卷
超智	資優
蹦極跳	高空彈跳
進程	製程
遊園會	園遊會
過家家	扮家家酒
過山車	雲霄飛車
遮目魚	虱目魚
避孕套	保險套
郵遞員	郵差
酸乳酪	優格
酸牛奶	優酪乳
酸奶	優酪乳
金槍魚	鮪魚
銀行卡	信用卡
雞矢果	芭樂
電飯煲	電鍋
電飯鍋	電鍋
飯包	便當
軟包裝	鋁箔包
教程 = 教學
中式台球 = 桌球
彈子球 = 桌球
台球 = 桌球
