PN結	PN接面
彙編語言	組合語言
後綴	字尾
循環	迴圈 循環
性價比	價效比
性能	效能
截取	擷取
截屏	截圖
打印	列印
打印機	印表機
打開	開啟 打開
批量	批次
拋出	丟擲
拷貝	複製
持久性	永續性
指針	指標
捲積	摺積
掃描儀	掃描器
掛斷	結束通話
採樣	取樣
採樣率	取樣率
接口	介面
控件	控制元件
插件	外掛
搜索	搜尋
操作數	運算元
操作符	運算子
操作系統	作業系統
擴展	擴充套件
擴展名	副檔名
支持	支援
支持者	支持者
散列	雜湊
數字	數字 數位
數字印刷	數位印刷
數字電子	數位電子
數字電路	數位電路
數據	資料
數據倉庫	資料倉儲
數據報	資料包
數據庫	資料庫
數據挖掘	資料探勘
數據源	資料來源
數組	陣列
文件	檔案
文件名	檔名
文件夾	資料夾
文件擴展名	副檔名
文字處理	文書處理
文本	文字
文檔	文件
映射	對映
時分多址	分時多重進接
時分複用	分時多工
時鐘頻率	時脈頻率
晶閘管	閘流體
晶體管	電晶體
智能	智慧
最終用戶	終端使用者
有損壓縮	有失真壓縮
服務器	伺服器
本地代碼	原生代碼
析構函數	解構函式
枚舉	列舉
查找	查詢
查看	檢視
桌面型	桌上型
構造函數	建構函式
標識符	識別符號
模塊	模組
模擬	模擬 類比
模擬電子	類比電子
模擬電路	類比電路
權限	許可權
正則表達式	正規表示式
死機	宕機
殺毒	防毒
比特	位元
比特幣	比特幣
比特率	位元率
波分複用	波長分波多工
消息	訊息 消息
添加	新增
源代碼	原始碼
源文件	原始檔
源碼	原始碼
溢出	溢位
滾動條	捲軸
演示文稿	簡報
激光	鐳射
激活	啟用
無損壓縮	無失真壓縮
物理內存	實體記憶體
物理地址	實體地址
狀態欄	狀態列
用戶	使用者
用戶名	使用者名稱
界面	介面
異步	非同步
登錄	登入
發佈	釋出
發送	傳送
盤片	碟片
盤符	磁碟機代號
目標代碼	目的碼
相冊	相簿
矢量	向量
知識產權	智慧財產權
短信	簡訊
硬件	硬體
硬盤	硬碟
碼分多址	分碼多重進接
碼率	位元速率
磁盤	磁碟
磁道	磁軌
社區	社羣 社區
移動硬盤	行動硬碟
移動網絡	行動網路
移動資料	行動資料
移動通信	行動通訊
移動電話	行動電話
程序	程式
程序員	程式設計師
空分多址	分空間多重進接
空分複用	空間多工
窗口	視窗
端口	埠
筆記本電腦	膝上型電腦
算子	運算元
算法	演算法
範式	正規化
粘貼	貼上 粘貼
紅心大戰	傷心小棧
組件	元件
綁定	繫結
網上鄰居	網路上的芳鄰
網卡	網絡卡
網吧	網咖
網絡	網路
網關	閘道器
線程	執行緒
編程	程式設計
編程語言	程式語言
緩存	快取
縮略圖	縮圖
縮進	縮排
總線	匯流排
缺省	預設
聯繫	聯絡
聯繫歷史	通話記錄
聲卡	音效卡
聲明	宣告
脫機	離線
腳本	指令碼
自動轉屏	自動旋轉螢幕
臺式機	桌上型電腦
航天飛機	太空梭
芯片	晶片
花屏	破圖
菜單	選單 菜單
萬維網	全球資訊網
藍屏	藍色畫面
藍牙	藍芽
虛函數	虛擬函式
虛擬機	虛擬機器
虛擬機器	虛擬機器
表達式	表示式 運算式
複印	影印
複選按鈕	覈取按鈕
複選框	覈取方塊
視圖	檢視
視頻	影片 視訊
視頻會議	視訊會議
視頻通話	視訊通話
解釋器	直譯器
觸摸	觸控
觸摸屏	觸控式螢幕
計算機安全	電腦保安
計算機科學	電腦科學
訪問	訪問 存取
設備	裝置
設置	設定
註冊機	序號產生器
註冊表	登錄檔
註銷	登出
調制	調變
調度	排程
調用	呼叫
調色板	調色盤
調製解調器	數據機
調試	除錯 偵錯
調試器	偵錯程式
變量	變數
軟件	軟體
軟驅	軟碟機
轉義字符	跳脫字元
通信	通訊
通訊卡	通話卡
通配符	萬用字元
連接	連線
連接器	聯結器
進制	進位制
進程	程序 進程
運算符	運算子
運行	執行
過程式編程	程序式程式設計
遞歸	遞迴
遠程	遠端
適配器	介面卡
邏輯門	邏輯閘
重命名	重新命名
重裝	重灌
重載	過載
金屬氧化物半導體	金氧半導體
錄像	錄影
鏈接	連結
鏈表	連結串列
鏡像	映象
門戶網站	入口網站
門電路	閘電路
閃存	快閃記憶體
關係數據庫	關聯式資料庫
隊列	佇列
集成	整合
集成電路	積體電路
集羣	叢集
雲存儲	雲端儲存
雲計算	雲端計算
面向對象	物件導向
面向過程	程序導向
音頻	音訊
頁眉	頁首
頁腳	頁尾
項目	專案
預處理器	前處理器
頭文件	標頭檔案
頻分多址	分頻多重進接
頻分複用	分頻多工
類型	型別
類模板	類别範本
顯像管	映象管
顯卡	顯示卡
顯存	視訊記憶體
飛行模式	飛航模式
首席信息官	資訊長
首席執行官	執行長
首席技術官	技術長
首席運營官	營運長
高性能計算	高效能運算
高清	高畫質
高端	高階 進階
高級	高階 進階 高級
高速緩存	快取記憶體
黑客	駭客
默認	預設
默認值	預設值
點擊	點選
鼠標	滑鼠
