128位元	128位
叙述统计	描述统计
古典	经典
古典群	典型群
叩头虫	叩甲
可定址内容记忆体	内容可寻址存储器 结合存储
可延伸	可扩展
可延伸商用报告语言	可扩展商业报告语言
可延伸标示语言	可扩展置标语言
可延伸韧体介面	可扩展固件接口
可执行档	可执行文件
可携式	便携式
可携式文件格式	可移植文档格式
可携式版本	便携版
可携式软件	绿色软件
可携式软体	绿色软件
可程式化	可编程
可逆元素	可逆元
台湾电鲼	台湾电鳐
史丹佛	斯坦福
史丹吉氏斜鳞蛇	花尾斜鳞蛇
史丹福	斯坦福
史塔克	斯塔克
史拉斯基	斯卢茨基
史特姆	施图姆
史诺登	斯诺登
史达	斯塔尔
史顿一加立克实验	斯特恩一革拉赫实验
叶克膜	体外膜氧合
号志	信号量
司乃耳	斯涅尔
吉丁虫科	吉丁科
吉位元组	吉字节
吉贝素	赤霉素
同中素	同中子异荷素
同侧内角	同旁内角
同侧外角	同旁外角
同分异构物	同分异构体
同化类固醇	蛋白同化甾类
同量素	同量异位素
向量势	矢势
向量图形	矢量图形
启动	引导
启动切换	启动转换
启动列	启动栏
启动磁碟	启动盘
启动载入程式	启动引导程序
启用	激活
启用功能	激活函数
周期素	周期蛋白
呼叫	调用
呼叫层级介面	调用层接口
命令列	命令行
命令链结	命令链接
品质	质量
哈伯	哈勃
哏图	表情包
唯一定理	唯一性定理
唯写	只写
唯写记忆体	只写存储器
唯若	仅当
唯读	只读
唯读记忆体	只读存储器
商业模式	商业模型
啫喱豆	果冻豆
嗜中性球	中性粒细胞
嗜中性颗粒白血球	中性粒细胞
嗜曙红颗粒白血球	嗜酸性粒细胞
嗜硷性球	嗜碱性粒细胞
嗜硷颗粒白血球	嗜碱性粒细胞
嗜酸性球	嗜酸性粒细胞
嘉氏带	凯氏带
嚬哪醇	频哪醇
四元树	四叉树
四级碳	季碳
四级铵	季铵
回呼	回调
回圈	循环
回车字元	回车符
回音	回声
回馈	反馈
因数	约数
因果推论	因果推断
因次	量纲
围绕字元	带圈字符
固定位元速率	固定码率
固态物理学	固体物理学
固有函数	本征函数
图型识别	模式识别
图学	图形学
图形化使用者介面	图形用户界面
图档	图像文件
图片检视器	图片查看器
图示	图标
圆飞虱科	瓢蜡蝉科
土半夏	犁头尖
土半夏属	犁头尖属
在地化	本地化
地址列	地址栏
地胆科	芫菁科
均值定理	中值定理
均匀收敛	一致收敛
均匀有界原理	一致有界性原理
均匀空间	一致空间
均匀范数	一致范数
均匀连续	一致连续
均匀邻域	一致邻域
坏轨	坏道
块链结	组链接
坡印廷	坡印亭
型一错误	第一类错误
型二错误	第二类错误
型别检查	类型检查
型别系统	类型系统
埋葬虫科	葬甲科
埠	端口
培若	珀罗
基体	基域
基因剔除	基因敲除
基因表现	基因表达
基因转移	转基因
基本类型	基类型
基础类别	基类
基质	底物
基质水平磷酸化	底物水平磷酸化
基隆扁叶芋	台湾千年健
基频	基带
堆叠	堆栈
堆叠导向	面向堆栈
堆叠帧	堆栈帧
堆叠框	堆栈帧
堆积排序	堆排序
塌缩	坍缩
塑胶	塑料
墨点	印迹
处理常式	处理函数
复健医学	康复医学
复写	改写
复制	克隆
复原	撤销
复变数	复变量
复数平面	复平面
复杂度类别	复杂度类
复杂性类别	复杂性类
外挂程式	插件
外接硬碟	外置硬盘
外来键	外键
多代理系统	多主体系统
多变量分析	多元变量分析
多变量统计	多元变量统计
多变量统计分析	多元变量统计分析
多型	多态
多媒体短讯	多媒体简讯
多层次树状介面	分层树形视图 分层视图
多工	多任务
多样化互联网应用程式	丰富互联网应用程序
多样化网际网路应用程式	丰富互联网应用程序
多灭虫	多拉菌素
多白胺酸重复	富亮氨酸重复
多蕊仙人球	鸾凤玉
多角仙人球	瑞凤玉
多载	重载
多项式成长	多项式增长
多频道联播网	多频道网络
夜蛛属	长蟱蛛属
大一统理论	大统一理论
大区块	宏块
大型电脑	大型机
大域体	整体域
大数法则	大数定律
大菜	琼脂
大霹雳	大爆炸
大黄狐蛤	中国海大锉蛤
天使综合症	安格曼综合征
天门冬胺酸	天冬氨酸
天门冬醯胺	天冬酰胺
太阳电脑	Sun微系统
夫朗和斐绕射	夫琅禾费衍射
失智症	痴呆症
失真压缩	有损压缩
奇异点	奇点
契忍可夫	切连科夫
奥杰	俄歇
妩蛛科	蟱蛛科
姜黄反应	黄蛋白反应
姬蛛属	球蛛属
姬蛛科	球蛛科
威尔森	威耳孙
威悌	维蒂希
威腾电子	西部数据
娇生	强生
媒介	介质
媒体相依介面	介质相关接口
子体	子域
子网络	子网
子网络遮罩	子网掩码
子网路	子网
子网路遮罩	子网掩码
字串	字符串
字元	字符
字元产生器	字符生成器
字元列印机	字符打印机
字型	字体
字尾	后缀
字首	前缀
存取控制列表	访问控制表
存取点	接入点
守护行程	守护进程
安全软体	安全软件
安全通讯协定	安全套接层
安姆氏试验	埃姆斯试验
安格曼症候群	安格曼综合征
安比西林	氨苄青霉素
安装套件	安装包
安默西林	阿莫西林
官能基	官能团
定位域	定位框
定址	寻址
定址模式	寻址模式
定序	测序
实体位址	物理地址
实体层	物理层
实体记忆体	物理内存
实封闭体	实封闭域
实数轴	实轴
实证	循证
实证医学	循证医学
实证应用	循证实践
实闭体	实闭域
客制化	定制
室房间隔缺损	室间隔缺损
宽屏幕	宽屏
宽萤幕	宽屏
宽频	宽带
寄存	托管
富来他顿	呋喃它酮
富来顿	呋喃唑酮
富白氨酸重复	富亮氨酸重复
察卡夫	查戈夫
寨卡病毒	兹卡病毒
对射	双射
对应域	到达域
对映	映射
对立假设	备择假设
对立假说	备择假设
对等	点对点
对话方块	对话框
对谈	会话
寻找	查找
导来代数	导出代数
导来函子	导出函子
导来集	导集
导程	导联
导览列	导航条
封包	数据包
封包交换	分组交换
封锁	屏蔽
小儿麻痹症	脊髓灰质炎
小头飞虱科	颖蜡蝉科
小笔电	上网本
小蕈虫	小蕈甲
尖尾姑婆芋	尖尾芋
尼斯小体	尼氏体
尾端递回	尾部递归
局部体	局部域
局限融合	约束聚变
居礼	居里
山蓝桉	广叶桉
巢状	嵌套
工作切换	任务切换
工作列	任务栏
工作管理员	任务管理器
工作群组	工作组
工具列	工具栏
左右四美素	四咪唑
巨环内酯	大环内酯
巨观量	宏观量
巨集病毒	宏病毒
巴尔默	鲍尔默
布拉克系	布拉开线系
布拉菲	布拉维
布林	布尔
布林运算	布尔逻辑
布氏树蛙	布氏泛树蛙
布氏魁蛤	布氏蚶
布莱特	布赖特
布里元	布里渊
布鲁斯特角	布儒斯特角
帐号	账号
帐户	账户
帕松	泊松
帕金森氏症	帕金森病
常式	例程
常态	正态
常数	常量
常蚜科	蚜科
平均位元速率	平均码率
平均自由径	平均自由程
平大蚊	窗大蚊
平滑内质网	光面内质网
平行导向	面向并发
平行计算	并行计算
并列	并行
并列埠	并行端口
并行	并发
并行计算	并发计算
广告区	广告位
广域网路	广域网
序列埠	串口 串行端口
序列法则	顺序规则
序列计算	串行计算
序号产生器	注册机
库佛氏细胞	库普弗细胞
应变数	因变量
应变量	因变量
应用程式	应用程序
应用程式介面	应用程序接口
底线	下划线
康霉素	卡那霉素
延展实境	扩展现实
延迟股	后随链
建构函式	构造函数
建立	创建
建设性干涉	相长干涉
开放手机联盟	开放手持设备联盟
开放行动联盟	开放移动联盟
开机	引导
开机切换	启动转换
异位	别构
异构物	异构体
异白氨酸	异亮氨酸
异白胺酸	异亮氨酸
异营	异养
异质变异数	异方差
引子	引物
弗比尼斯	弗罗贝尼乌斯
弱型别	弱类型
弹出式视窗	弹出窗口
弹卡计	弹式量热器
弹式热量计	弹式量热器
强化子	增强子
强型别	强类型
当机	死机
当药属	獐牙菜属
录影带	录像带
彩信	多媒体简讯
彩现	渲染
影像处理器	视频处理器
影像端子	视频接口
影像记忆体	显存
影像输出	视频输出
影印	复印
影格	帧
影格同步化	帧同步
影格指标	帧指针
影格率	帧率
影片	视频
影片串流	影片流
影片档	视频文件 视频档
影音串流	影音流
征状	症状
待美嘧唑	二甲硝咪唑
微中子	中微子
微型部落格	微型博客
微扰	摄动
微部落格	微博客
德国麻疹疫苗	风疹疫苗
德威特	德维特
德汝德	德鲁德
心室中隔缺损	室间隔缺损
心房中隔缺损	房间隔缺损
心房利钠肽	心房钠尿肽
心房排钠肽	心房钠尿肽
心房间隔缺损	房间隔缺损
心脏超声波	超声心动图
心脏超音波	超声心动图
必欧	毕奥
必理痛	班纳杜
必理通	班纳杜
忒斯拉	特斯拉
快取	缓存
快取记忆体	缓冲存储器
快捷列	快捷工具栏
快捷半导体	飞兆半导体
快速键	快捷键
快闪记忆体	闪存
思觉失调症	精神分裂症
性联遗传	伴性遗传
性连锁遗传	伴性遗传
总体经济	宏观经济
恩氟奎林羧酸	恩诺沙星
悖论	佯谬
惠金斯原理	惠更斯原理
感测器	传感器
我的文件	我的文档
戴奥辛	二噁英
扁叶芋属	千年健属
扇网蛛	近亲三角蛛
扇网蛛属	三角蛛属
手提电脑	笔记本电脑
手稿语言	脚本语言
托列里桉	毛叶桉
执行绪	线程
执行长	首席执行官
扩充	扩展
扩充A區	扩展A区
扩充B區	扩展B区
扩充C區	扩展C区
扩充D區	扩展D区
扩充E區	扩展E区
扩充F區	扩展F区
扩充G區	扩展G区
扩充区	扩展区
扩充汉字	扩展汉字
扩增实境	增强现实
扩张体	扩张域
扩张实境	增强现实
扫描器	扫描仪
扭率	挠率
扭矩转换器	扭力变矩器 液力变矩器
批次	批量
批次处理	批处理
批次档	批处理文件
批次程式	批处理程序
技术长	首席技术官
投掷	抛出
抗发炎	抗炎
抗痉挛	抗惊厥
折角蛾	祝蛾
护理师	护士
披衣菌	衣原体
披衣菌门	衣原体门
抱卵亚目	腹胚亚目
抽取式	可移动
拂尾藻	草茨藻
拂尾藻属	茨藻属
拉午耳	拉乌尔
拉塞福	卢瑟福
拉瓦节	拉瓦锡
拉萨热	拉沙热
拍位元组	拍字节
拎树藤	麒麟叶
拎树藤属	麒麟叶属
拖曳	拖拽
拟步行虫科	拟步甲科
括量	右矢
指令式程式设计	命令式编程
指令码	脚本
指标	指针
按位元	按位
挥发性	易失性
捷径	快捷方式
排程	调度
排程器	调度器
接取多工器	接入复用器
接续互通	连续互通
控制代码	句柄
控制项	控件
推播	推送
搜寻	搜索
搜寻方块	搜索框
搜寻键码	搜索关键字
摄像放像机	摄像机
摄录影机	摄像机
摇摆硷基对	摆动碱基对
摇摆配对	摆动配对
摺积	卷积
支援	支持
效能	性能
数位	数字
数位凭证	数字证书
数位制图	数字测图
数位化	数字化
数位发行	数字发行
数位媒体	数字媒体
数位广播	数字广播
数位影像	数字图像
数位影片	数字视频
数位无线电视	数字地面电视
数位模式	数字模式
数位浮水印	数字水印
数位版权	数字版权
数位电视	数字电视
数位相机	数字相机
数位相片	数字照片
数位签章	数字签名
数位行动	数字移动
数位资产	数字资产
数位身分	数字身份
数体	数域
数据市集	数据集市
数据探勘	数据挖掘
数据机	调制解调器
数码制图	数字测图
数码化	数字化
数码发行	数字发行
数码图像	数字图像
数码地面电视	数字地面电视
数码媒体	数字媒体
数码广播	数字广播
数码影片	数字视频
数码模式	数字模式
数码水印	数字水印
数码流动	数字移动
数码版权	数字版权
数码电视	数字电视
数码相机	数字相机
数码相片	数字照片
数码签章	数字签名
数码证书	数字证书
数码资产	数字资产
数码身份	数字身份
整合	集成
整合式开发环境	集成开发环境
整合装置电路	集成设备电路
整块性核心	宏内核
文书处理	文字处理
文书处理器	文字处理器
文介面	文界面
文件导向	面向文档
文件档案	文档文件
文件物件模型	文档对象模型
文字方块	文本框
文字档案	文本文件
文字编辑器	文本编辑器
斑桉	斑皮桉
斑腿树蛙	斑腿泛树蛙
斯涅耳	斯涅尔
斯特凡	斯特藩
斯特尔	斯塔尔
斯特恩	施特恩
新帝	闪迪
方块图	框图
方程式	方程
施瓦次	施瓦兹
旋光异构体	光学异构体
族群	种群
无失真	无损
无失真压缩	无损压缩
无尽不循环小数	无限不循环小数
无尽小数	无限小数
无尽循环小数	无限循环小数
无母数	非参数
无痕模式	隐身模式
无线广播	地面广播
无线电视	地面电视
无线电钮	单选按钮
时脉频率	时钟频率
易辛	伊辛
映像管	显像管
显示卡	显卡
显著性水平	显著水平
显著水准	显著水平
普拿疼	班纳杜
晶场	晶体场
晶片	芯片
智慧化	智能化
智慧型	智慧
智慧型喇叭	智能音箱
智慧型手机	智能手机
智慧型手表	智能手表
智慧型电视	智能电视
智慧财产权	知识产权
智能	智慧
智能卡	智慧卡
暂存器	寄存器
最佳化	优化 最优化
最小平方	最小二乘
最末层衍生类别	最底层派生类
有尽不循环小数	有限不循环小数
有尽小数	有限小数
有尽循环小数	有限循环小数
有序体	有序域
有星属	星球属
有限体	有限域
服务器阵列	伺服器阵列
服务架构	服务框架
朗缪耳	朗缪尔
本机磁碟(A)	A盘
本机磁碟(B)	B盘
本机磁碟(C)	C盘
本机磁碟(D)	D盘
本机磁碟(E)	E盘
本机磁碟(F)	F盘
本机磁碟(G)	G盘
本机磁碟(H)	H盘
本机磁碟(I)	I盘
本机磁碟(J)	J盘
本机磁碟(K)	K盘
本机磁碟(L)	L盘
本机磁碟(M)	M盘
本机磁碟(N)	N盘
本机磁碟(O)	O盘
本机磁碟(P)	P盘
本机磁碟(Q)	Q盘
本机磁碟(R)	R盘
本机磁碟(S)	S盘
本机磁碟(T)	T盘
本机磁碟(U)	U盘
本机磁碟(V)	V盘
本机磁碟(W)	W盘
本机磁碟(X)	X盘
本机磁碟(Y)	Y盘
本机磁碟(Z)	Z盘
朱克伯格	扎克伯格
机上盒	机顶盒
机器码	机器代码
机械码	机器代码
机率	几率 概率
杂凑	散列
杂讯	噪声
权杖	令牌
条斑蝇虎属	蝇虎属
构筑原理	构造原理
柏克莱软件套件	伯克利软件套件
柏克莱软体套件	伯克利软件套件
柏拉图	帕雷托
柏金逊症	帕金森病
柚叶藤	石柑子
柚叶藤属	石柑属
柚叶藤族	石柑族
查兑克	查德威克
查加夫	查戈夫
柯弗氏细胞	库普弗细胞
柯霍氏法则	科赫法则
柴比雪夫	切比雪夫
柴瑟夫	查依采夫
标准画质	标清
标头档	头文件
标示语言	标记语言 置标语言
标题列	标题栏
栏位	字段
树状细胞	树突状细胞
树突细胞	树突状细胞
校园网络	校园网
校园网路	校园网
栲属	锥栗属
核分裂	核裂变
核取按钮	复选按钮
核取方块	复选框
核对位元	检验位
核对和	检验和
核磁共振谱学	核磁共振波谱法
核磁谐振谱学	核磁共振波谱法
核种	核素
核融合	核聚变
核转换	核嬗变
格线	网格线
格雷姆	格锐目
桀威	捷威
桂皮醛	肉桂醛
框同步化	帧同步
框指标	帧指针
桌上型	桌面型
桌上型电脑	台式机
桌上电脑	台式机
桌布	壁纸
档名	文件名
档头	标头
档案	文件
档案名字	文件名字
档案名称	文件名称
档案命名空间	文件命名空间
档案总管	资源管理器
档案描述子	文件描述符
桥脑	脑桥
梁山慈	大叶慈
梅属	李属
梅斯堡	穆斯堡尔
梅瑟生	梅塞尔森
梗塞	梗死
检定	检验
检定力	统计功效
检视	查看
棘涡蛛	刺涡蛛
棘状层	棘层
棘蛋白	刺突蛋白
棣美弗	棣莫弗
概似	似然
模拟实境	模拟现实
模组	模块
横纹蝇虎	横纹蝇狮
横荧幕	横屏幕
横萤幕	横屏幕
樱毛蕈虫科	缨甲科
橙黄蝇虎	黑猫跳蛛
次原子	亚原子
次常式	子例程
次级主动运输	继发性主动运输
次阻尼	欠阻尼
欧尼斯特	欧内斯特
欧本海默	奥本海默
正交补余	正交补
正向链结	前向链接
正向错误校正	前向纠错
正子电子偶	电子偶素
正肾上腺素	去甲肾上腺素
正规表示式	正则表达式
正规语言	正则语言
步行虫	步甲
死结	死锁
残留误差	误差
母体	总体
比得诺兹	贝德诺尔茨
比特	位元
毕氏三元数	勾股数 毕氏数
毛叶盐藻	毛叶喜盐草
气喘	哮喘
氟灭菌	氟甲喹
氟甲磺氯霉素	氟甲砜霉素 氟苯尼考
氟苯并嘧唑氨基甲酸	氟苯达唑
氢融合	氢聚变
氦融合	氦聚变
