# Open Chinese Convert (OpenCC) Dictionary
# File: TSCharacters.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, t2s.json, tw2s.json, tw2sp.json
#
# Audit notes for rare inferred simplified forms:
# Lines tagged @tofu-risk keep the original character as the default candidate.
# Their rare inferred simplified forms may render as tofu on mainstream default
# fonts, so they are generated into TSCharactersExt.txt as a separate table.

# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝈 U+2B748
㑮	㑮 𫝈
䌰	䌰 𦈙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫅅 U+2B145
䍤	䍤 𫅅
䍦	䍠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦍠 U+26360
䍽	䍽 𦍠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫅭 U+2B16D
䎙	䎙 𫅭
䎱	䎬
䓣	𬜯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟕 U+2B7D5
䕤	䕤 𫟕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦰴 U+26C34
䕳	䕳 𦰴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟑 U+2B7D1
䖅	䖅 𫟑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫊪 U+2B2AA
䗅	䗅 𫊪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧉞 U+2725E
䗿	䗿 𧉞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫋲 U+2B2F2
䙔	䙔 𫋲
䙡	䙌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧜭 U+2772D
䙱	䙱 𧜭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌯 U+2B32F
䚩	䚩 𫌯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍠 U+2B360
䛄	䛄 𫍠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍫 U+2B36B
䛳	䛳 𫍫
䜀	䜧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟢 U+2B7E2
䜖	䜖 𫟢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎧 U+2B3A7
䝭	䝭 𫎧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧹕 U+27E55
䝻	䝻 𧹕
䝼	䞍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧹑 U+27E51
䞈	䞈 𧹑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎪 U+2B3AA
䞋	䞋 𫎪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎭 U+2B3AD
䞓	䞓 𫎭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎺 U+2B3BA
䟃	䟃 𫎺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎳 U+2B3B3
䟆	䟆 𫎳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎱 U+2B3B1
䟐	䟐 𫎱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏃 U+2B3C3
䠆	䠆 𫏃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨅛 U+2815B
䠱	䠱 𨅛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟤 U+2B7E4
䡐	䡐 𫟤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟥 U+2B7E5
䡩	䡩 𫟥
䡵	𫟦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨑹 U+28479
䢨	䢨 𨑹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟺 U+2B7FA
䤤	䤤 𫟺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠀 U+2B800
䥄	䥄 𫠀
䥇	䦂
䥑	鿏
䥕	𬭯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔋 U+2B50B
䥗	䥗 𫔋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱖 U+28C56
䥩	䥩 𨱖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔆 U+2B506
䥯	䥯 𫔆
䥱	䥾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸄 U+28E04
䦘	䦘 𨸄
䦛	䦶
䦟	䦷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔵 U+2B535
䦯	䦯 𫔵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨷿 U+28DFF
䦳	䦳 𨷿
䧢	𨸟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖅 U+2B585
䪊	䪊 𫖅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩏼 U+293FC
䪏	䪏 𩏼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩐀 U+29400
䪗	䪗 𩐀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩏿 U+293FF
䪘	䪘 𩏿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖫 U+2B5AB
䪴	䪴 𫖫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖬 U+2B5AC
䪾	䪾 𫖬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖱 U+2B5B1
䫀	䫀 𫖱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖰 U+2B5B0
䫂	䫂 𫖰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖲 U+2B5B2
䫟	䫟 𫖲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩖗 U+29597
䫴	䫴 𩖗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖺 U+2B5BA
䫶	䫶 𫖺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗇 U+2B5C7
䫻	䫻 𫗇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠈 U+2B808
䫾	䫾 𫠈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗊 U+2B5CA
䬓	䬓 𫗊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙮 U+2966E
䬘	䬘 𩙮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙯 U+2966F
䬝	䬝 𩙯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙧 U+29667
䬞	䬞 𩙧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗟 U+2B5DF
䬧	䬧 𫗟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠇 U+29807
䭀	䭀 𩠇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠈 U+29808
䭃	䭃 𩠈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗱 U+2B5F1
䭑	䭑 𫗱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗰 U+2B5F0
䭔	䭔 𫗰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧭 U+299ED
䭿	䭿 𩧭
䮄	𫠊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧰 U+299F0
䮝	䮝 𩧰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨁 U+29A01
䮞	䮞 𩨁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧿 U+299FF
䮠	䮠 𩧿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨇 U+29A07
䮫	䮫 𩨇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘮 U+2B62E
䮰	䮰 𫘮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨏 U+29A0F
䮳	䮳 𩨏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧪 U+299EA
䮾	䮾 𩧪
䯀	䯅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩩈 U+29A48
䯤	䯤 𩩈
䰾	鲃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚐 U+2B690
䱀	䱀 𫚐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚏 U+2B68F
䱁	䱁 𫚏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾈 U+29F88
䱙	䱙 𩾈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚠 U+2B6A0
䱧	䱧 𫚠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾊 U+29F8A
䱬	䱬 𩾊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾋 U+29F8B
䱰	䱰 𩾋
䱷	䲣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠑 U+2B811
䱸	䱸 𫠑
䱽	䲝
䲁	鳚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚜 U+2B69C
䲅	䲅 𫚜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾂 U+29F82
䲖	䲖 𩾂
䲘	鳤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉂 U+2A242
䲰	䲰 𪉂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛬 U+2B6EC
䳜	䳜 𫛬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛰 U+2B6F0
䳢	䳢 𫛰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛮 U+2B6EE
䳤	䳤 𫛮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛺 U+2B6FA
䳧	䳧 𫛺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛼 U+2B6FC
䳫	䳫 𫛼
䴉	鹮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜅 U+2B705
䴋	䴋 𫜅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪎈 U+2A388
䴬	䴬 𪎈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜒 U+2B712
䴱	䴱 𫜒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪎋 U+2A38B
䴴	䴴 𪎋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜔 U+2B714
䴽	䴽 𫜔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪑅 U+2A445
䵳	䵳 𪑅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜙 U+2B719
䵴	䵴 𫜙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜨 U+2B728
䶕	䶕 𫜨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜳 U+2B733
䶲	䶲 𫜳
丟	丢
並	并
么	么 幺
乾	干 乾
亂	乱
亙	亘
亞	亚
仝	仝 同
佇	伫
佈	布
佔	占
併	并
來	来
侖	仑
侶	侣
侷	局
俁	俣
係	系
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠇹 U+201F9
俓	俓 𠇹
俔	伣
俠	侠
俥	伡
俬	私
俱	俱 具
倀	伥
倆	俩
倈	俫
倉	仓
個	个
們	们
倖	幸
倫	伦
倲	㑈
偉	伟
偑	㐽
側	侧
偵	侦
偽	伪
傌	㐷
傑	杰
傖	伧
傘	伞
備	备
傢	家
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
傾	倾
僂	偻
僅	仅
僉	佥
像	像 象
僑	侨
僕	仆
僞	伪
僤	𫢸
僥	侥
僨	偾
僱	雇
價	价
儀	仪
儁	俊
儂	侬
億	亿
儈	侩
儉	俭
儎	傤
儐	傧
儔	俦
儕	侪
儘	尽 侭
償	偿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠆲 U+201B2
儣	儣 𠆲
優	优
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠋆 U+202C6
儭	儭 𠋆
儲	储
儷	俪
儸	㑩
儺	傩
儻	傥
儼	俨
兇	凶
兌	兑
兒	儿
兗	兖
內	内
兩	两
冊	册
冑	胄
冪	幂
凈	净
凍	冻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪞝 U+2A79D
凙	凙 𪞝
凜	凛
凱	凯
別	别
刪	删
剄	刭
則	则
剋	克 剋
剎	刹
剗	刬
剛	刚
剝	剥
剮	剐
剴	剀
創	创
剷	铲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠛅 U+206C5
剾	剾 𠛅
劃	划 㓰
劄	札 劄
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劏	㓥
劑	剂
劚	㔉
勁	劲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠡠 U+20860
勑	勑 𠡠
動	动
務	务
勛	勋
勝	胜
勞	劳
勢	势
勣	𪟝 绩
勩	勚
勱	劢
勳	勋
勵	励
勸	劝
勻	匀
匭	匦
匯	汇
匱	匮
區	区
協	协
卹	恤
卻	却
卽	即
厙	厍
厠	厕
厤	历
厭	厌
厲	厉
厴	厣
參	参
叄	叁
叚	叚 假
叢	丛
吒	咤 吒
吳	吴
吶	呐
呂	吕
咼	呙
員	员
哩	哩 里
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠯟 U+20BDF
哯	哯 𠯟
唄	呗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪠳 U+2A833
唓	唓 𪠳
唸	念
問	问
啓	启
啞	哑
啟	启
啢	唡
喆	喆 哲
喎	㖞
喚	唤
喪	丧
喫	吃
喬	乔
單	单
喲	哟
嗆	呛
嗇	啬
嗊	唝
嗎	吗
嗚	呜
嗩	唢
嗰	𠮶
嗶	哔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪡏 U+2A84F
嗹	嗹 𪡏
嘆	叹
嘍	喽
嘓	啯
嘔	呕
嘖	啧
嘗	尝
嘜	唛
嘩	哗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪡃 U+2A843
嘪	嘪 𪡃
嘮	唠
嘯	啸
嘰	叽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪡞 U+2A85E
嘳	嘳 𪡞
嘵	哓
嘸	呒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪡀 U+2A840
嘺	嘺 𪡀
嘽	啴
噁	恶 𫫇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠯠 U+20BE0
噅	噅 𠯠
噓	嘘
噚	㖊
噝	咝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪡋 U+2A84B
噞	噞 𪡋
噠	哒
噥	哝
噦	哕
噯	嗳
噲	哙
噴	喷
噸	吨
噹	当 𪠽
嚀	咛
嚇	吓
嚌	哜
嚐	尝
嚕	噜
嚙	啮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪠸 U+2A838
嚛	嚛 𪠸
嚥	咽
嚦	呖
嚧	𠰷
嚨	咙
嚮	向
嚲	亸
嚳	喾
嚴	严
嚶	嘤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢕 U+2A895
嚽	嚽 𪢕
囀	啭
囁	嗫
囂	嚣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠱞 U+20C5E
囃	囃 𠱞
囅	冁
囈	呓
囉	啰
囌	苏
囑	嘱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢠 U+2A8A0
囒	囒 𪢠
囪	囱
圇	囵
國	国
圍	围
園	园
圓	圆
圖	图
團	团
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢮 U+2A8AE
圞	圞 𪢮
坏	坏 坯
垻	坝
埡	垭
埨	𫭢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪣆 U+2A8C6
埬	埬 𪣆
埰	采
執	执
堃	堃 坤
堅	坚
堊	垩
堖	垴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪣒 U+2A8D2
堚	堚 𪣒
堝	埚
堯	尧
報	报
場	场
塊	块
塋	茔
塏	垲
塒	埘
塗	涂
塚	冢
塢	坞
塤	埙
塵	尘
塸	𫭟
塹	堑
塿	𪣻
墊	垫
墜	坠
墠	𫮃
墮	堕
墰	坛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢸 U+2A8B8
墲	墲 𪢸
墳	坟
墶	垯
墻	墙
墾	垦
壇	坛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡒄 U+21484
壈	壈 𡒄
壋	垱
壎	埙
壓	压
壗	𡋤
壘	垒
壙	圹
壚	垆
壜	坛
壞	坏
壟	垄
壠	垅
壢	坜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪤚 U+2A91A
壣	壣 𪤚
壩	坝
壪	塆
壯	壮
壺	壶
壼	壸
壽	寿
夠	够
夢	梦
夥	伙 夥
夾	夹
奐	奂
奧	奥
奩	奁
奪	夺
奬	奖
奮	奋
奼	姹
妝	妆
姍	姗
姦	奸
娙	𫰛
娛	娱
婁	娄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝫 U+2B76B
婡	婡 𫝫
婦	妇
婭	娅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝨 U+2B768
媈	媈 𫝨
媧	娲
媯	妫
媰	㛀
媼	媪
媽	妈
嫋	袅
嫗	妪
嫵	妩
嫺	娴
嫻	娴
嫿	婳
嬀	妫
嬃	媭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝬 U+2B76C
嬇	嬇 𫝬
嬈	娆
嬋	婵
嬌	娇
嬙	嫱
嬡	嫒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪥰 U+2A970
嬣	嬣 𪥰
嬤	嬷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝩 U+2B769
嬦	嬦 𫝩
嬪	嫔
嬰	婴
嬸	婶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪥿 U+2A97F
嬻	嬻 𪥿
孃	娘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝮 U+2B76E
孄	孄 𫝮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝭 U+2B76D
孆	孆 𫝭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪥫 U+2A96B
孇	孇 𪥫
孋	㛤
孌	娈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡠟 U+2181F
孎	孎 𡠟
孫	孙
學	学
孻	𡥧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪧀 U+2A9C0
孾	孾 𪧀
孿	孪
宮	宫
寀	采
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪧘 U+2A9D8
寠	寠 𪧘
寢	寝
實	实
寧	宁
審	审
寫	写
寬	宽
寵	宠
寶	宝
將	将
專	专
尋	寻
對	对
導	导
尷	尴
屆	届
屍	尸
屓	屃
屜	屉
屢	屡
層	层
屨	屦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪨗 U+2AA17
屩	屩 𪨗
屬	属
岡	冈
峯	峰
峴	岘
島	岛
峽	峡
崍	崃
崑	昆
崗	岗
崙	仑 𪨧
崢	峥
崬	岽
嵐	岚
嵗	岁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡶴 U+21DB4
嵼	嵼 𡶴
嵽	𫶇
嵾	㟥
嶁	嵝
嶄	崭
嶇	岖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡺃 U+21E83
嶈	嶈 𡺃
嶔	嵚
嶗	崂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡺄 U+21E84
嶘	嶘 𡺄
嶠	峤
嶢	峣
嶧	峄
嶨	峃
嶮	崄
嶸	嵘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝵 U+2B775
嶹	嶹 𫝵
嶺	岭
嶼	屿
嶽	岳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪩎 U+2AA4E
巊	巊 𪩎
巋	岿
巒	峦
巔	巅
巖	岩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪨷 U+2AA37
巗	巗 𪨷
巘	𪩘
巰	巯
巹	卺
帥	帅
師	师
帳	帐
帶	带
幀	帧
幃	帏
幓	㡎
幗	帼
幘	帻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪩷 U+2AA77
幝	幝 𪩷
幟	帜
幣	币
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪩸 U+2AA78
幩	幩 𪩸
幫	帮
幬	帱
# BYVoid/OpenCC/issues/1335
幷	并
幹	干
幾	几
庫	库
廁	厕
廂	厢
廄	厩
廈	厦
廎	庼
廕	荫
廚	厨
廝	厮
廞	𫷷
廟	庙
廠	厂
廡	庑
廢	废
廣	广
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪪞 U+2AA9E
廧	廧 𪪞
廩	廪
廬	庐 𪪏
廳	厅
弒	弑
弔	吊
弳	弪
張	张
強	强
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪪼 U+2AABC
彃	彃 𪪼
彄	𫸩
彆	别
彈	弹
彌	弥
彎	弯
彔	录
彙	汇
彠	彟
彥	彦
彫	雕
彲	彨
彷	彷 仿
彿	佛
後	后
徑	径
從	从
徠	徕
復	复
徵	征 徵
徹	彻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪫌 U+2AACC
徿	徿 𪫌
恆	恒
恥	耻
