万·阿齐扎	旺阿兹莎
基替	基耶蒂
基洛夫格勒	基洛沃格勒
基秦拿	基奇纳
基罗纳	赫罗纳
基隆拿	基洛纳
塔吉克	塔吉克斯坦
塔希提	大溪地
塔拉赫西	塔拉哈西
塔斯曼尼亚	塔斯马尼亚
塔斯曼尼亚州	塔斯马尼亚州
塔村	陶尔哈姆莱茨
塞凡堡	塞瓦斯托波尔
塞尔寇克	塞尔扣克
塞尔维亚与蒙特内哥罗	塞尔维亚和黑山
塞席尔	塞舌尔
塞拉耶佛	萨拉热窝
塞维亚	塞维利亚
塞蒙	塞黑
墨巴本	姆巴巴纳
士他令	斯特灵
士多蒙	斯托蒙特
士德顿	斯托克顿
士瓦本	施瓦本
士科德	斯库台
士美菲	史密斯菲尔德
士鲁斯柏立	什鲁斯伯里
处女	维尔京
处女群岛	维尔京群岛
夏力	哈莱克
夏勒华	沙勒罗瓦
夏安	夏延
夏托鲁	沙托鲁
夏洛特敦	夏洛特顿
夏洛腾堡	夏洛滕堡
夏湾拿	哈瓦那
夏灵基	哈林盖
夕利	锡利
外西凡阿尔卑斯山	南喀尔巴阡山脉
多伦士	托伦斯
多佛	多佛尔
多实	多塞特
多明尼加	多米尼加
多罗米提	多洛米蒂
多臣隙	道森克里克
多蒙特	多特蒙德
大不列颠暨北爱尔兰联合王国	大不列颠及北爱尔兰联合王国
大不列颠暨爱尔兰联合王国	大不列颠及爱尔兰联合王国
大本钟	大笨钟
大溪地	塔希提
大英国协	共和联邦
大陆架	大陆棚
夫利佛兰	弗莱福兰
夫罗勒	发罗拉
奇彻斯特	奇切斯特
奇西克	奇司威克
奈及利亚	尼日利亚
奈比多	内比都
奈洛比	内罗毕
契朋罕	奇彭纳姆
奥丹	奥尔德姆
奥云	欧文
奥云湾	欧文桑德
奥克拉荷马	俄克拉荷马
奥克拉荷马城	俄克拉荷马城
奥克拉荷马市	俄克拉荷马城
奥勒冈	俄勒冈
奥卡拿根	奥肯拿根
奥古斯堡	奥格斯堡
奥咸	奥尔德姆
奥塞提亚	奥塞梯
奥巴尼	奥尔巴尼
奥弗佩特	奥弗佩尔特
奥恩·加法尔	翁惹化
奥文尼	奥弗涅
奥斐顿	奥尔弗里顿
奥斯丁	奥斯汀
奥斯滕德	奥斯坦德
奥斯特里兹	奥斯特利茨
奥斯特里茨	奥斯特利茨
奥斯纳布克	奥斯纳布吕克
奥斯纳贝克	奥斯纳布吕克
奥比斯保	奥比斯波
奥沙华	奥沙瓦
奥波列	奥波莱
奥玛	奥马
奥玛鲁	奥马鲁
奥班吉	欧邦日
奥登堡	奥尔登堡
奥迪沙	敖德萨
奥马尔	奥马
姆巴巴内	姆巴巴纳
始路	特雷尔
威克菲	韦克菲尔德
威兹拉尔	韦茨拉尔
威埠	韦维尔
威士拿	惠斯勒
威尔堡	魏尔堡
威尔斯	威尔士
威廉城	威廉斯塔德
威斯康辛	威斯康星
威斯敏斯特	西敏
威斯敏斯特体系	西敏制
威斯敏斯特修道院	西敏寺
威斯敏斯特圣彼得牧师团教堂	西敏市圣彼得牧师团教堂
威斯敏斯特宫	西敏宫
威斯敏斯特教堂	西敏寺
威明顿	威尔明顿
威治	维奇
威灵顿	惠灵顿
威玛	魏玛
威瑟尔	韦瑟尔
威登堡	维滕贝格
威登拉特	韦尔登拉特
威维克	韦尔菲克
宁静湖	普莱西德湖
安克拉治	安克雷奇
安利柏	安利公园
安古兰	昂古莱姆
安吉拉	安圭拉
安哈拉	阿姆哈拉
安地列斯	安的列斯
安地卡及巴布达	安提瓜和巴布达
安地斯	安第斯
安域	阿因维克
安塔那那利佛	塔那那利佛
安德列治	安德莱赫特
安提阿克	安条克
安提顿	安蒂特姆
安瓦尔	安华
安登	昂代讷
安纳海姆	阿纳海姆
安达鲁西亚	安达卢西亚
安那翰	阿纳海姆
安锡	阿讷西
宏都拉斯	洪都拉斯
宣德班	孙德尔本斯
宾兹	宾茨
宾士域	不伦瑞克
宾夕凡尼亚	宾夕法尼亚
宾顿	布兰普顿
宿雾	宿务
密尔瓦基	密尔沃基
密德兰	米德兰
密德瑟斯	米德尔塞克斯
密芝根	密歇根
密西根	密歇根
富咸	富勒姆
富图那	富图纳
富来顿	富勒顿
对朝政策	对北政策
对衡	达勒姆
小岩城	小石城
尚佩恩	香槟
尚吉巴	桑给巴尔
尚布赖莱都尔	尚布赖莱图尔
尚比亚	赞比亚
尤比亚	埃维亚
尼加拉	尼亚加拉
尼尔斯普鲁特	内尔斯普雷特
尼德宁	纳蒂灵
尼披盛	尼皮辛
尼日	尼日尔
尼柯西亚	尼科西亚
尼科平	尼雪平
尼维尔	讷韦尔
尼美根	奈梅亨
尼阿美	尼亚美
屈福特	沃特福德
屋仑	奥克兰
屋威老	奥克维尔
山景城	芒廷维尤
山静咸	桑德灵厄姆
岩哈拉	阿姆哈拉
峇里	峇厘
川斯凯	特兰斯凯
川斯瓦	德兰士瓦
己连加利	格伦加里
己连围	格伦维尔
己连拿奴	格莱内尔格
己连柯士文	格伦奥斯蒙德
巴伐利亚邦	巴伐利亚州
巴休敦	巴西尔登
巴佛士	巴瑟斯特
巴兆敦	巴西尔登
巴内特	巴尼特
巴利亚利	巴利阿里
巴利亚利群岛	巴利阿里群岛
巴勒摩	巴勒莫
巴卡	峇卡
巴卡尔	峇卡
巴厘	峇厘
巴域	伯立克
巴塞隆拿	巴塞罗那
巴塞隆纳	巴塞罗那
巴士地	巴斯特尔
巴富	珀斯
巴布亚新畿内亚	巴布亚新几内亚
巴布亚纽几内亚	巴布亚新几内亚
巴布烟	巴布延
巴拉福特	布拉德福德
巴拉马利波	帕拉马里博
巴摩卢	巴尔莫勒尔
巴摩拉	巴尔莫勒尔
巴斯提亚	巴斯蒂亚
巴斯通	巴斯托涅
巴林坦	巴林塘
巴比提	帕皮提
巴特溪	巴特尔克里克
巴符邦	巴符州
巴纽	巴新
巴美拉	巴尔米拉
巴芙	巴斯
巴萨尔	博瑟尔
巴贝多	巴巴多斯
巴赫姆特	巴赫穆特
巴达维	巴达威
巴顿鲁治	巴吞鲁日
巽德兰	桑德兰
巽德班	孙德尔本斯
布亨瓦德	布痕瓦尔德
布伦亨	布伦海姆
布伦来	布罗姆利
布兰岱	布兰太尔
布兰登堡	勃兰登堡
布兰登堡邦	勃兰登堡州
布力希斯	布莱克希斯
布力般	布莱克本
布吉纳法索	布基纳法索
布哥斯	布尔戈斯
布拉克本	布莱克本
布拉干	布拉卡
布拉提斯拉瓦	布拉迪斯拉发
布拉福	布拉德福德
布拉萨	布拉柴
布拉萨市	布拉柴维尔
布拉邦	布拉班特
布松布拉	布琼布拉
布林斯贝利	布卢姆茨伯里
布林格兰	布灵厄兰
布查	布恰
布根兰	布尔根兰
布根兰邦	布尔根兰州
布洛瓦利	布罗瓦里
布灵顿	伯灵顿
布莱斯河谷	布莱斯瓦利
布莱梅	不莱梅
布莱梅港	不来梅哈芬
布莱梅邦	不莱梅州
布莱顿	布赖顿
布蓝兹维	不伦瑞克
布里斯托	布里斯托尔
布里斯托路	布里斯托尔路
布里斯本	布里斯班
布隆泉	布隆方丹
布雷恩垂	布伦特里
布雷根兹	布雷根茨
布鲁姆斯伯里	布卢姆茨伯里
希斯凯	西斯凯
希斯洛	希思罗
希斯路	希思罗
希格堡	锡格堡
希梅	希迈
希沙慕丁	希山慕丁
帕勒莫	巴勒莫
帕拉纳	帕瑞纳
帕迈拉	巴尔米拉
帕里克尔	帕利基尔
帛琉	帕劳
席凡宁根	斯海弗宁恩
席根	锡根
席瑞丝	锡里斯
席车士打	奇切斯特
干河	德赖河
干诺	康乐 康诺特
干贡	甘冈
广萨	宽扎
庇里牛斯	比利牛斯
库夫斯坦	库夫施泰因
库德	库尔德
库赛埃	科斯雷
康乃狄克	康涅狄格
康伯威尔	坎伯韦尔
康兹	孔茨
康和	康沃尔
康埃克吕斯	戛纳埃克吕斯
康城	卡昂
康培拉	坎帕拉
康士坦兹	康斯坦茨
康山	康希尔
康比涅	贡比涅
康瓦尔	康沃尔
康瓦耳	康沃尔
康登	卡姆登
康西暗沙	莫迪礁
康诺特	康乐
延德纳岛	扬德纳岛
延文礼士	因弗内斯
开云	卡宴
弗威耶	韦尔维耶
弗次瓦夫	弗罗茨瓦夫
弗莱堡	弗赖堡
弹丸礁	拉央拉央岛
强斯顿	约翰斯顿
强斯顿岛	约翰斯顿岛
强斯顿环礁	约翰斯顿环礁
弼	比特
归融语	克里奥尔语
彼得堡	彼得伯勒
彼得波罗	彼得伯勒
彼德堡	彼得伯勒
律伦	拉特兰
德云	德文
德克萨斯	得克萨斯
德凯利亚	亚克罗提利
德勒斯登	德累斯顿
德古西加巴	特古西加尔巴
德基利亚	亚克罗提利
德尔班	德班
德州	得州
德拉瓦州	特拉华州
德梅因	得梅因
德罕	达勒姆
德芙灵	达弗林
德萨斯	得克萨斯
必列者窝打	布里奇沃特
必嘉岛	贝克岛
必嘉街	贝克街
忘忧宫	无忧宫
快富	法夫
怀特霍斯	白马市
怡朗	伊洛伊洛
恩加美纳	恩贾梅纳
恩荷芬	艾恩德霍芬
恩菲	恩菲尔德
恩菲特	恩菲尔德
惹化	嘉法 惹法 查化
慕森加柏	门兴格拉德巴赫
慕礼	莫里
慕豪森	米尔豪森
慕逊加柏	门兴格拉德巴赫
戎布鲁	让布卢
戛纳	康城
戴尔豪斯	达尔豪斯
扎因丁	再努丁
打比	德比
托列斯	托雷斯
托利斯	托雷斯
托彼卡	托皮卡
托斯卡尼	托斯卡纳
托雷多	托莱多
扶莲	弗林特
拉吉欧	拉齐奥
拉哥斯	拉各斯
拉夫伯勒	拉夫堡
拉希德	拉昔
拉惹加隆浅滩	艾肯礁
拉扎克	拉萨
拉曼查	拉曼恰
拉法叶	拉斐特
拉素	拉齐奥
拉维洛	拉韦洛
拉萨克	拉萨
拉赫曼	拉曼
拔林敦	普林普顿
拔林敦柏	普林普顿帕克
拜仁邦	拜仁州
拜律特	拜罗伊特
拜恩邦	拜恩州
拜洛特	拜罗伊特
拿坡里	拿波利 那不勒斯
拿索	拿骚
措必列治	特罗布里奇
提林斯	梯林斯
提比里斯	第比利斯
提洛	蒂罗尔
提洛邦	蒂罗尔州
提顿	蒂顿
摩保利	莫德伯里
摩加迪休	摩加迪沙
摩斯比	莫尔斯比
摩斯比港	莫尔斯比港
摩策尔	莫策尔
摩鹿加	马鲁古
敖得萨	敖德萨
敦克尔克	敦刻尔克
敦巴顿	邓巴顿
数位及交通部	数字化和交通部
数码及交通部	数字化和交通部
文莱	汶莱
文莱达鲁萨兰国	汶莱达鲁萨兰国
文西德	文西德尔
斯华坦尼奥	锡瓦塔内霍
斯塔弗洛	斯塔沃洛
斯塞新	什切青
斯泰尔	施泰尔
斯洛维尼亚	斯洛文尼亚
斯派尔	施派尔
斯温顿	斯温登
斯潘达勒姆	施庞达勒姆
斯潘道	施潘道
斯特里萨姆	斯特里汉姆
斯特雷特姆	斯特里汉姆
斯里巴卡旺	斯里巴加湾
新不伦瑞克	新布兰斯威
新佐治亚	新乔治亚
新南威尔士	新南威尔斯
新南威尔士州	新南威尔斯州
新堡	纽卡斯尔
新布蓝兹维	新不伦瑞克 新布兰斯威
新帕札	新帕扎尔
新斯科细亚	新斯科舍 诺瓦斯科舍
新斯科舍	诺瓦斯科舍
新沙德	诺维萨德
新港	波多诺伏 纽波特
新特兰	桑德兰
新畿内亚	新几内亚
新罕布夏	新罕布什尔
新莫斯科斯克	新莫斯科夫斯克
新西兰	纽西兰
新西敏	新威斯敏斯特
施他佛	斯塔福德
施威林	什未林
施普利特	斯普利特
施洛普	什罗普
施蒂利亚	施蒂里亚
施蒂利亚州	施蒂里亚州
日内普	热纳普
日耳曼邦联	德意志邦联
旺兹沃斯	旺兹沃思
旺阿芝莎	旺阿兹莎
昆士柏	女王公园
明尼亚波利斯	明尼阿波利斯
易卜拉欣	依布拉欣
昔得兰	设德兰
昔德兰	设德兰
春田市	斯普林菲尔德
晓伦	休伦
普利茅夫	普利茅斯
普勒托利亚	比勒陀利亚
普勒陀尼亚	比勒陀利亚
普法兹	普法尔茨
普法茨	普法尔茨
普里斯提纳	普里什蒂纳
普雷史考特	普雷斯科特
景隆	坎农
智利域	奇利瓦克
暗士党	阿姆斯特朗
曼克顿	曼哈顿
曼图亚	曼托瓦
曼尼托巴	曼尼多巴
曼岛	马恩岛
曼提加	曼特卡
曼斯菲尔	曼斯菲尔德
曼斯菲特	曼斯菲尔德
曼非斯	孟菲斯
曾母暗沙	詹姆士暗沙
朋札	奔萨
朝方	北韩方面
朝韩	南北韩
朝韩首脑会晤	南北韩首脑会晤
朝鲜	北韩
朝鲜与韩国	北韩与南韩
朝鲜以及韩国	北韩以及南韩
朝鲜及韩国	北韩及南韩
朝鲜同韩国	北韩同南韩
朝鲜和韩国	北韩和南韩
朝鲜战争	韩战
朝鲜独立运动	韩国独立运动
札格瑞布	萨格勒布
札法尔	嘉法 惹化
札法尔	惹法 查化
札波罗热	扎波罗热
朴茨茅夫	朴次茅斯
朴茨茅斯	朴次茅斯
李斯特	莱斯特
李治菲特	利奇菲尔德
杜哈	多哈
杜塞道夫	杜塞尔多夫
杜尚贝	杜尚别
杜斯多夫	杜塞尔多夫
杜林	都灵
杜根咸	达格纳姆
杜笃玛	多多马
杰佛逊城	杰斐逊城
杰克孙维	杰森维尔
杰克森	杰森
杰克逊	杰森
杰克逊维尔	杰森维尔
林兹	林茨
林吉特	令吉
林雪坪	林雪平
林雪平	林雪坪
柏世	帕克赛德
柏京	巴金
柏克莱	伯克利
柏卫	贝尔维尤
柏嘉	波基亚
柏本克	伯班克
柏林邦	柏林州
柏灵顿	帕丁顿
柏纳比	本拿比
柠檬林	莱蒙格罗韦
查令	查灵
查哥斯	查戈斯
查德	乍得
查洛顿	夏洛特顿
柯士甸	奥斯汀
柯罗	科罗尔
柯蒂纳戴比索	科尔蒂纳丹佩佐
柯那克里	科纳克里
根德	肯特
格兰坪	格兰扁
格列士敦	格拉德斯通
格域	盖特威克
