128位	128位元
光學異構物	旋光異構體
光標	游標
光盤	光碟
光盤驅動器	光碟機
光網絡終端	光纖網路終端
光縴分布式數據接口	光纖分散式數據介面
光纖分散式資料介面	光纖分散式數據介面
光面內質網	平滑內質網
克利福德	克里福
克卜勒	開普勒
克希荷夫	基爾霍夫
克耳文	開爾文
克里斯托費爾	克里斯多福
克隆	複製
入口網站	入門系統 入門網站
內存泄漏	記憶體漏失
內容分發網絡	內容傳遞網路
內容可尋址存儲器	可定址內容記憶體
內窺鏡	內視鏡
內置	內建
內聯	行內
內聯網	內部網路
內部網	內聯網
內部網絡	內聯網
內部網路	內聯網
全局	全域
全局唯一標識分區表	GUID磁碟分割表
全屏	全屏幕
全息	全像
全球暖化	全球變暖
全球移動通信系統協會	全球流動通訊系統協會
全球行動通訊系統協會	全球流動通訊系統協會
全球資訊網	萬維網
全球資訊網協會	萬維網聯盟
全細胞百白破疫苗	白喉破傷風全細胞性百日咳混合疫苗
全螢幕	全屏幕
全螢幕手機	全屏幕手機
全角	全形
全錄	施樂
全面屏手機	全屏幕手機
兩生綱	兩棲綱
八元樹	八叉樹
公共陸基移動網	公地流動網路
公用陸上行動網路	公地流動網路
共享	共用
共享文件夾	共用資料夾
共享軟件	共享軟體
共制	共製
共變異數	協方差
典型群	古典羣
兼容	相容
冒泡排序	泡沫排序
冷次	楞次
冷融合	冷聚變
准周期	準週期
凝聚態	凝聚體
几率	機率
凡得瓦	范德華
凡得瓦力	范德華引力
凡得瓦方程式	范德華方程式
凡得瓦鍵	范德華鍵
凡特荷夫	范特霍夫
凱氏帶	嘉氏帶
函式	函數
函數式編程	函式語言程式設計
函數編程語言	函式程式語言
刀片服務器	刀鋒伺服器
分割區	分區
分卷壓縮	分割壓縮
分圓域	分圓體
分層樹形視圖	多層次樹狀介面
分層視圖	多層次樹狀介面
分布	分佈
分布式	分散式
分形	碎形
分析器	剖析器
分組交換	封包交換
分組密碼	區塊加密法
分裂域	分裂體
分辨率	解像度
分配單元	單位配置
切叢	切線束
切比雪夫	柴比雪夫
切連科夫	切倫科夫
判據	準則
別搆	變構
利他林	利他能
到達域	對應域
制絨	製絨
制霜	製霜
刷新	重新整理
刷新率	重新整理頻率
刺渦蛛	棘渦蛛
刺突蛋白	棘蛋白
刺胳針	刺針
刺革菌	鏽革孔菌
刻錄	燒錄
前向糾錯	正向錯誤校正
前向鏈接	正向鏈結
前導鏈	領先股
前綴	字首
剖宮	剖腹
剪切	剪下
剪應力	切應力
剪貼板	剪貼簿
副甲狀腺	甲狀旁腺
副甲狀腺素	副甲狀腺激素
創建	建立
劉維爾	萊歐維爾
劉維爾定理	劉維定理
劊客	潰客
劍蟶屬	刀蟶屬
功能型手機	功能電話
功能手機	功能電話
加強針	加強劑
加護病房	深切治療部
加載	載入
助記符	輔助記憶碼
勒夏特列	勒沙特列
勒讓德	勒壤得
勒讓德變換	勒壤得轉換
動力系統	動態系統
動態綁定	動態繫結
動態類型	動態型別
勢能	位能
勻速圓周運動	等速率圓周運動
勻速直線運動	等速直線運動
勻速運動	等速運動
勾股定理	畢氏定理
勾股數	畢氏三元數
化學親和力	化學親合勢
化學親和勢	化學親合勢
北方墨點	北方印跡
匯編	組譯
區域網路	區域網絡
區塊鏈接	區塊鏈結
千層樹	白千層屬
千年健屬	扁葉芋屬
升糖素	胰高血糖素
升華	昇華
半角	半形
協作	協同運作
協議	協定
南方墨點	南方印跡
博客	網誌
博雷爾	鮑萊耳
卜瓦松	泊松
卟啉	紫質
占位符	預留位置
卡氏帶	嘉氏帶
卡那霉素	康黴素
印度簕竹	茨竹
即插即用	隨插即用
卷象科	捲葉象鼻蟲科
卸載	解除安裝
原生質絲	胞間連絲
原生質體內路徑	共質體途徑
原生質體內運輸	共質體運輸
原生質體外路徑	質體外途徑
原生質體外運輸	質體外運輸
原發性主動運輸	初級主動運輸
去氧	脱氧
去氧核糖	脱氧核糖
去氧羥四環黴素	脱氧羥四環黴素
去氫	脱氫
去碘	脱碘
參數列表	參數列
參數表	參數列
叉舌蟾科	叉舌蛙科
反曲點	拐點
反碼	一補碼
反規范化	解除規格化
反轉錄	逆轉錄
反鏈接	反鏈結
叔碳	三級碳
叔胺	三級胺
叔醇	三級醇
受質	基質
受質級燐酸化	基質水平燐酸化
古典	經典
句柄	控制代碼
叩甲	叩頭蟲
只寫	唯寫
只寫存儲器	唯寫記憶體
只讀	唯讀
只讀存儲器	唯讀記憶體
可執行文件	可執行檔
可擴展	可延伸
可擴展商業報告語言	可延伸商用報告語言
可擴展固件接口	可延伸韌體介面
可擴展置標語言	可延伸標示語言
可攜式軟體	可攜式軟件
可移動	抽取式
可移植文檔格式	可攜式文件格式
可編程	可程式化
可視化	視覺化
可變碼率	動態編碼率
可逆元	可逆元素
台式機	桌上電腦
台灣千年健	基隆扁葉芋
臺灣電鰩	台灣電鰩
史丹佛	史丹福
史諾登	斯諾登
史達	斯特爾
右矢	括量
司乃耳	斯涅耳
合力	凈力
合外力	凈外力
吉丁科	吉丁蟲科
吉字節	吉位元組
吉比特以太網	十億位元乙太網路
吉貝素	赤黴素
同中子異荷素	同中素
同分異搆體	同分異構體
同分異構物	同分異構體
同旁內角	同側內角
同旁外角	同側外角
同量異位素	同量素
后台流量	背景流量
后台運行	背景執行
后綴	字尾
后隨鏈	延遲股
后驗分布	後驗分布
后驗概率	後驗概率
向導	精靈
呋喃唑酮	富來頓
呋喃它酮	富來他頓
周期	週期
周期蛋白	週期素
命令式編程	指令式程式設計
命令行	命令列
命令鏈接	命令鏈結
品質	質素
哈伯	哈勃
哈龍	海龍
哌嗪	匹配拉淨
唯一性定理	唯一定理
唯若	僅當
商業模型	商業模式
啟動	開機
啟動切換	開機切換
啟動引導程序	啟動載入程式
啟動欄	啟動列
啟動盤	啟動磁碟
啟動轉換	開機切換
喜蟱蛛屬	菲蛛屬
喜鹽草	卵葉鹽藻
單位元	單位元素
單元格	儲存格
單參函數	一元函式
單李群	單純李氏羣
單核心	整塊性核心
單核球	單核白血球
單核細胞	單核白血球
單片機	單晶片
單純形	單體
單純復形	單體複形
單群	單純羣
單通道	單連結
單選按鈕	無線電鈕
單點登錄	單一登入
嗜中性球	嗜中性顆粒白血球
嗜堿性粒細胞	嗜鹼顆粒白血球
嗜酸性球	嗜曙紅顆粒白血球
嗜酸性粒細胞	嗜曙紅顆粒白血球
嗜鹼性球	嗜鹼顆粒白血球
噪聲	雜訊
嚴重急性呼吸系統綜合徵冠狀病毒2	嚴重急性呼吸綜合症冠狀病毒2型
嚴重急性呼吸綜合徵冠狀病毒2	嚴重急性呼吸綜合症冠狀病毒2型
嚴重急性呼吸道症候群	嚴重急性呼吸系統綜合症
嚴重急性呼吸道症候群冠狀病毒2型	嚴重急性呼吸綜合症冠狀病毒2型
嚴重急性呼吸道綜合徵	嚴重急性呼吸系統綜合症
嚴重特殊傳染性肺炎	2019冠狀病毒病
四元樹	四叉樹
四咪唑	左右四美素
回復	回覆
回收站	資源回收筒
回旋加速器	迴旋加速器
回歸	迴歸
回聲	回音
回調	回呼
回車符	回車字元
回車鍵	確認鍵
回饋	反饋
因果推斷	因果推論
因特網密鑰交換	互聯網金鑰交換
因變量	應變量
固件	韌體
固定碼率	固定位元速率
固實壓縮	結實壓縮
固有時	原時
固體物理學	固態物理學
圓飛蝨科	瓢蠟蟬科
圖像文件	圖檔
圖形學	圖學
圖形用戶界面	圖形化使用者介面
圖形計算器	繪圖計算機
圖標	圖示
圖片查看器	圖片檢視器
在地化	本地化
在線	線上
在線視頻	線上影片
地址欄	地址列
均值定理	中值定理
坍縮	塌縮
坡印亭	坡印廷
型一錯誤	第一型錯誤
型二錯誤	第二型錯誤
埃姆斯試驗	安姆氏試驗
埃拉托斯特尼	愛拉托散尼
埃爾德什	艾狄胥
城域網	都會網路
域擴張	體擴張
域論	體論
執行緒	線程
執行長	行政總裁
基因剔除	基因敲除
基因表現	基因表達
基因轉移	轉基因
基域	基體
基於原型的編程	原型程式設計
基於類	類別為基
基於類的編程	類別為基的程式設計
基頻	基帶
基類	基礎類別
基類型	基本類型
基體分離	間質隔離
堆排序	堆積排序
堆棧	堆疊
堆棧幀	堆疊幀
堆疊框	堆疊幀
堯字節	佑位元組
塑料	塑膠
增強現實	擴張實境
墨點	印跡
壁紙	桌布
壓強	壓力
壓縮包	壓縮檔
壞道	壞軌
外泌汗腺	滲泌汗腺
外置硬盤	外接硬碟
外鍵	外來鍵
多主體系統	多代理系統
多任務	多工
多元變量分析	多變量分析
多元變量統計	多變量統計
多元變量統計分析	多變量統計分析
多媒體簡訊	多媒體短訊
多宿主	內送流量備援容錯機制
多態	多型
多拉菌素	多滅蟲
多普勒	都卜勒
多樣化網際網路應用程式	多樣化互聯網應用程式
多白胺酸重複	富白氨酸重複
多西環素	脱氧羥四環黴素
多項式增長	多項式成長
多頻道網絡	多頻道聯播網
夜蛛屬	長嫵蛛屬
大型機	大型電腦
大數定律	大數法則
大桉	玫瑰桉
大統一理論	大一統理論
大葉慈	梁山慈
大霹靂	大爆炸
天門冬胺酸	天冬氨酸
天門冬醯胺	天冬酰胺
太字節	兆位元組
夫琅禾費衍射	夫朗和斐繞射
失智症	腦退化症
奇點	奇異點
契忍可夫	切倫科夫
套接字	通訊端
套接層	通訊層
奧本海默	歐本海默
姬蛛屬	球蛛屬
姬蛛科	球蛛科
威滕	維騰
威耳孫	威爾森
嬌生	強生
子例程	次常式
子域	子體
子網	子網絡
子網掩碼	子網絡遮罩
子網路	子網絡
子網路遮罩	子網絡遮罩
字段	欄位
字符	字元
字符串	字串
字符打印機	字元列印機
字符生成器	字元產生器
字節	位元組
字體	字型
存儲	儲存
存儲卡	記憶卡
存儲器	記憶體
存儲程序	儲存程序
存儲芯片	記憶晶片
孝順竹	蓬萊竹
季碳	四級碳
季銨	四級銨
守護進程	守護行程
安全套接層	安全通訊協定
安全軟件	保安軟件
安全軟體	保安軟件
安格曼症候群	天使綜合症
安格曼綜合徵	天使綜合症
安裝包	安裝套件
宏內核	整塊性核心
宏塊	大區塊
宏病毒	巨集病毒
宏觀量	巨觀量
官能團	官能基
定位框	定位域
定制	客製化
定序	測序
室間隔缺損	室房間隔缺損
寄存器	暫存器
密碼認證協議	通行碼鑑別協定
密鑰	金鑰
富亮氨酸重復	富白氨酸重複
實封閉域	實封閉體
實數軸	實軸
實模式	真實模式
實閉域	實閉體
寨卡病毒	茲卡病毒
審核	稽核
寫保護	防寫
寬屏	寬屏幕
寬帶	寬頻
寬螢幕	寬屏幕
尋址	定址
尋址模式	定址模式
對乙酰氨基酚	乙醯胺酚
對立假說	對立假設
對話框	對話方塊
對象	物件
導入	匯入
導出	匯出
導出代數	導來代數
導出函子	導來函子
導聯	導程
導航條	導覽列
導集	導來集
小帽桉	脂桉
小筆電	NetBook
小蕈甲	小蕈蟲
小頭飛蝨科	仄腹蠟蟬科
尖尾姑婆芋	尖尾芋
尼斯小體	尼氏體
尾注	章節附註
尾部遞歸	尾端遞迴
局域網	區域網絡
局部域	局部體
局限融合	約束聚變
居里	居禮
屏幕	熒幕
屏幕保護程序	熒幕保護裝置
屏蔽	封鎖 遮蔽
層次結搆	階層
岩芋屬	目賊芋屬
崖角藤屬	利牟芋屬
嵌套	巢狀
工作組	工作羣組
工具欄	工具列
左矢	包量
巨環內酯	大環內酯
布儒斯特角	布魯斯特角
布拉維	布拉菲
布拉開線系	布拉克系
布氏樹蛙	布氏泛樹蛙
布氏蚶	布氏魁蛤
布爾	布林
布爾邏輯	布林運算
布賴特	布萊特
布里淵	布里元
帕金森氏症	柏金遜症
帕金森病	柏金遜症
帕雷托	柏拉圖
帖子	貼文
帳戶	賬户
帳號	賬號
帶圈字符	圍繞字元
帶寬	頻寬
常態	正態
常量	常數
幀同步	框同步化
幀指針	框指標
幫助文檔	説明文件
幫助與支持	説明與支援
干姜	乾薑
平均碼率	平均位元速率
平均自由程	平均自由徑
并七苯	駢七苯
并五苯	駢五苯
并六苯	駢六苯
并四苯	駢四苯
并發	並行
并發計算	並行計算
并苯	並苯
并行	並列
并行端口	並列埠
并行計算	平行計算
并集	併集
幺元素	么元素
幺半	么半
幺正	么正
幾丁質	甲殼素
底物	基質
底物水平燐酸化	基質水平燐酸化
庫佛氏細胞	柯弗氏細胞
庫普弗細胞	柯弗氏細胞
康復治療	職業治療
康復醫學	復健醫學
廣告位	廣告區
廣域網	廣域網路
廣葉桉	山藍桉
弔絲球竹	南洋竹
引力波	重力波
引導	開機
引物	引子
引用	參照
弗廖羅夫	佛雷洛夫
弗羅貝尼烏斯	弗比尼斯
弗蘭克	法蘭克
弗里德曼	佛利民 傅里德曼
弱電相互作用	電弱相互作用
弱類型	弱型別
強力霉素	脱氧羥四環黴素
強化子	增強子
強直性脊柱炎	僵直性脊椎炎
強類型	強型別
彈出窗口	彈出式視窗
彈卡計	彈式熱量計
彈式量熱器	彈式熱量計
彩信	多媒體短訊
彭羅斯	潘洛斯
影格	幀
影格同步化	框同步化
影格指標	框指標
影格率	幀率
影片流	影片串流
影音流	影音串流
復代數	複代數
復值	複值
復共軛	複共軛
復几何	複幾何
復印	影印
復可微	複可微
復合物	複合物
復合粒子	複合粒子
復向量	複向量
復域	複域
復射影	複射影
復平面	複數平面
復形	複形
復指數	複指數
復新翅類	複新翅類
復根	複根
復矩陣	複矩陣
復空間	複空間
復系數	複系數
復結搆	複結構
復線叢	複線叢
復解析	複解析
復變量	複變數
復選按鈕	核取按鈕
復選框	核取方塊
復配邊	複配邊
復雜度類	複雜度類別
復雜度類似	複雜度類似
復雜性類	複雜性類別
復離子	複離子
循環	迴圈
循證	實證
循證實踐	實證應用
循證醫學	實證醫學
微型部落格	微型博客
微部落格	微博客
德維特	德威特
德魯德	德汝德
心室中隔缺損	室房間隔缺損
心房中隔缺損	心房間隔缺損
心房排鈉肽	心房利鈉肽
心房鈉尿肽	心房利鈉肽
心臟超音波	心臟超聲波
必理通	必理痛
快子	迅子
快捷工具欄	快捷列
快捷方式	捷徑
快捷鍵	快速鍵
思覺失調症	精神分裂症
性聯遺傳	性連鎖遺傳
性能	效能
恢復光盤	還原光碟
恢復記錄	修復記錄
恩諾沙星	恩氟奎林羧酸
情景模式	音訊設定檔
惠金斯原理	惠更斯原理
惰性氣體	貴氣體
憑證	證書
應用程序	應用程式
應用程序接口	應用程式介面
應變數	應變量
我的文檔	我的文件
截屏	熒幕擷取
房間隔缺損	心房間隔缺損
扁核木屬	假皂莢屬
扇區	磁區
扇角甲科	細櫛角蟲科
扎克伯格	朱克伯格
扒站	砍站
打印	列印
打印機	印表機
打印預覽	預覽列印
托管	寄存
托管代碼	受控代碼
扭力變矩器	扭矩轉換器
批處理	批次處理
批處理文件	批次檔
批處理程序	批次程式
批量	批次
抗痙攣	抗驚厥
抗發炎	抗炎
披衣菌	衣原體
披衣菌門	衣原體門
拉午耳	拉烏爾
拉塞福	盧瑟福
拉瓦錫	拉瓦節
拉薩熱	拉沙熱
拋出	投擲
拍字節	拍位元組
拒絕服務	阻斷服務
拖拽	拖曳
持久性	永續性
指針	指標
按位	按位元
捷威	桀威
掃描儀	掃描器
掃雷	踩地雷
排布	排佈
接入復用器	接取多工器
接入點	存取點
接口	介面
接近傳感器	鄰近感測器
接頭蛋白	轉接蛋白
控件	控制項
推送	推播
描述統計	敘述統計
插件	外掛程式
搆造函數	建構函式
搆造原理	構築原理
搜索	搜尋
搜索框	搜尋方塊
搜索關鍵字	搜尋鍵碼
摺積	卷積
撓率	扭率
撤銷	復原
播客	Podcast
操作對象	運算物件
操作數	運算元
操作系統	作業系統
擎爪泥甲科	角胸泥蟲科
擬南芥	阿拉伯芥
擬合優度	適合度
擬步甲科	擬步行蟲科
擴增實境	擴張實境
擴展	擴充
擴展A区	擴充A區
擴展B区	擴充B區
擴展C区	擴充C區
擴展D区	擴充D區
擴展E区	擴充E區
擴展F区	擴充F區
擴展G区	擴充G區
擴展區	擴充區
擴展名	副檔名
擴展漢字	擴充漢字
擴展現實	延展實境
擴張域	擴張體
擺動堿基對	搖擺鹼基對
擺動配對	搖擺配對
攝像機	攝像放像機
攝像頭	網絡攝影機
攝動	微擾
攝錄影機	攝像放像機
支持	支援
改寫	覆寫
散列	雜湊
整體域	大域體
數位化	數碼化
數位媒體	數碼媒體
數位廣播	數碼廣播
數位影像	數碼圖像
數位影片	數碼影片
數位憑證	數碼證書
數位模式	數碼模式
數位浮水印	數碼水印
數位無線電視	數碼地面電視
數位版權	數碼版權
數位發行	數碼發行
數位相機	數碼相機
數位相片	數碼相片
數位簽章	數碼簽章
數位行動	數碼流動
數位製圖	數碼製圖
數位資產	數碼資產
數位身分	數碼身份
數位電視	數碼電視
數域	數體
數字	數位
數字化	數碼化
數字圖像	數碼圖像
數字地面電視	數碼地面電視
數字媒體	數碼媒體
數字廣播	數碼廣播
數字模式	數碼模式
數字水印	數碼水印
數字測圖	數碼製圖
數字照片	數碼相片
數字版權	數碼版權
數字發行	數碼發行
數字相機	數碼相機
數字移動	數碼流動
數字簽名	數碼簽章
數字視頻	數碼影片
數字證書	數碼證書
數字資產	數碼資產
數字身份	數碼身份
數字電視	數碼電視
數據包	封包
數據報文	資料報
數據庫	資料庫
數據挖掘	數據探勘
數據清洗	資料淨化
數據鏈接	資料鏈結
數據集市	數據市集
數據類型	資料類型
數組	陣列
數量曲率	純量曲率
文件	檔案
文件主名	主檔名
文件名	檔名
文件名字	檔案名字
文件名稱	檔案名稱
文件命名空間	檔案命名空間
文件夾	資料夾
文件描述符	檔案描述子
文件擴展名	副檔名
文字方塊	文本框
文字處理	文書處理
文字處理器	文書處理器
文本文件	文字檔案
文本編輯器	文字編輯器
文檔對象模型	文件物件模型
文檔文件	文件檔案
文界面	文介面
斑木虱	斑木蝨
斑皮桉	斑桉
斑腿樹蛙	斑腿泛樹蛙
斑葉桉	灰桉
斯坦福	史丹福
斯塔克	史塔克
斯塔爾	斯特爾
斯涅爾	斯涅耳
斯特恩一革拉赫實驗	史頓一加立克實驗
斯特藩	斯特凡
斯盧茨基	史拉斯基
新帝	SanDisk
方程	方程式
施圖姆	史特姆
施特恩	斯特恩
施瓦玆	施瓦次
族群	種羣
日志	紀錄檔
日曆程序	行事曆程式
昇陽電腦	太陽電腦
易失性	揮發性
星球屬	有星屬
映像管	顯像管
映射	對映
時脈頻率	時鐘頻率
普拿疼	必理痛
晶體場	晶場
智慧	智能
智慧化	智能化
智慧卡	智能卡
智慧型	智能
智慧型喇叭	智能音箱
智慧型手機	智能手機
智慧型手錶	智能手錶
智慧型電視	智能電視
智慧財產權	知識產權
智能手表	智能手錶
替米考星	氨基泰黴素
最優化	最佳化
最小二乘	最小平方
最底層派生類	最末層衍生類別
最終用戶	終端使用者
最終用戶許可協議	終端使用者授權協定 終端使用者授權合約
會話	對談
會話劫持	連線劫持
會話標識	交談識別碼
有序域	有序體
有心力	連心力
有損壓縮	失真壓縮
有限不循環小數	有盡不循環小數
有限域	有限體
有限小數	有盡小數
有限循環小數	有盡循環小數
服務器	伺服器
服務器消息塊	伺服器訊息區塊
服務器陣列	伺服器陣列
服務框架	服務架構
服務端	伺服器端
朗繆爾	朗繆耳
本地的	原生的
本徵函數	固有函數
本機磁碟(A)	A磁碟機
本機磁碟(B)	B磁碟機
本機磁碟(C)	C磁碟機
本機磁碟(D)	D磁碟機
本機磁碟(E)	E磁碟機
本機磁碟(F)	F磁碟機
本機磁碟(G)	G磁碟機
本機磁碟(H)	H磁碟機
本機磁碟(I)	I磁碟機
本機磁碟(J)	J磁碟機
本機磁碟(K)	K磁碟機
本機磁碟(L)	L磁碟機
本機磁碟(M)	M磁碟機
本機磁碟(N)	N磁碟機
本機磁碟(O)	O磁碟機
本機磁碟(P)	P磁碟機
本機磁碟(Q)	Q磁碟機
本機磁碟(R)	R磁碟機
本機磁碟(S)	S磁碟機
本機磁碟(T)	T磁碟機
本機磁碟(U)	U磁碟機
本機磁碟(V)	V磁碟機
本機磁碟(W)	W磁碟機
本機磁碟(X)	X磁碟機
本機磁碟(Y)	Y磁碟機
本機磁碟(Z)	Z磁碟機
李屬	梅屬
李納	黎納
東亞夜蛛	東方長嫵蛛
東方長蟱蛛	東方長嫵蛛
析搆	解構
析搆函數	解構函式
枚舉	列舉
枚舉器	列舉元
枚舉成員	列舉元
果凍豆	啫喱豆
柏克萊軟體套件	柏克萊軟件套件
查依釆夫	柴瑟夫
查兌克	查德威克
查加夫	察卡夫
查戈夫	察卡夫
查找	尋找
查看	檢視
柳葉刀	刺針
柳葉桉	雪梨藍桉
校園網	校園網絡
校園網路	校園網絡
核磁共振波譜法	核磁共振譜學
核磁諧振譜學	核磁共振譜學
核素	核種
核融合	核聚變
核裂變	核分裂
核轉換	核嬗變
