一万二	一萬二
中仑站	中崙站
中价位	中價位
中台湾	中臺灣
中国制	中國製
中型钟	中型鐘
中央党	中央黨
中央台	中央台
中央面	中央面
中控台	中控台
中文台	中文台
中文系	中文系
中文里	中文裏
中暗箭	中暗箭
中止症	中止症
中港台	中港臺
中环杯	中環盃
中盘胜	中盤勝
中秋帖	中秋帖
中秋节	中秋節
中草药	中草藥
中药学	中藥學
中药店	中藥店
中药房	中藥房
中药材	中藥材
中药舖	中藥舖
中药铺	中藥鋪
中风后	中風後
丰丘明	豐丘明
丰乐亭	豐樂亭
丰产田	豐產田
丰南区	豐南區
丰原市	豐原市
丰台区	豐台區
丰城市	豐城市
丰宁县	豐寧縣
丰富性	豐富性
丰年玉	豐年玉
丰年祭	豐年祭
丰年节	豐年節
丰年虾	豐年蝦
丰收年	豐收年
丰水期	豐水期
丰泽区	豐澤區
丰润区	豐潤區
丰渔桥	豐漁橋
丰溪里	豐溪里
丰满区	豐滿區
丰滨乡	豐濱鄉
丰若晖	豐若暉
丰都县	豐都縣
丰镇市	豐鎮市
丰顺县	豐順縣
串亲戚	串親戚
串出来	串出來
临别时	臨別時
丸药盒	丸藥盒
丹布朗	丹布朗
为中台	爲中颱
为模范	爲模範
为规范	爲規範
主席台	主席臺
主席团	主席團
主干线	主幹綫
主控台	主控台
主播台	主播台
主教团	主教團
主普坛	主普壇
主机板	主機板
主画面	主畫面
主钟差	主鐘差
主题曲	主題曲
举出来	舉出來
举尾虫	舉尾蟲
举手表	舉手表
乃至于	乃至於
义和团	義和團
乌克兰	烏克蘭
乌冬面	烏冬面
乌干达	烏干達
乌当区	烏當區
乌托邦	烏托邦
乌梁海	烏梁海
乌沈沈	烏沈沈
乌涂水	烏塗水
乌苏市	烏蘇市
乌苏拉	烏蘇拉
乌龙面	烏龍麵
乐合彩	樂合彩
乐器钟	樂器鐘
乐坏了	樂壞了
乐意于	樂意於
乐游原	樂遊原
乐透彩	樂透彩
乔修亚	喬修亞
乔布斯	喬布斯
乔德里	喬德里
乔杰立	喬傑立
乘法表	乘法表
九万个	九萬個
九万人	九萬人
九万元	九萬元
九万块	九萬塊
九个人	九個人
九个月	九個月
九九表	九九表
九分钟	九分鐘
九十万	九十萬
九千万	九千萬
九千个	九千個
九千人	九千人
九千亿	九千億
九千元	九千元
九千块	九千塊
九千多	九千多
九千点	九千點
九台市	九臺市
九回肠	九迴腸
九天后	九天後
九宵云	九宵雲
九折臂	九折臂
九曲桥	九曲橋
九曲洞	九曲洞
九点钟	九點鐘
九百万	九百萬
九百个	九百個
九秒钟	九秒鐘
九里余	九里餘
九里区	九里區
九零后	九零後
九面体	九面體
九香虫	九香蟲
九龙杯	九龍杯
也克制	也剋制
也对于	也對於
也舍下	也舍下
习惯于	習慣於
乡愿意	鄉願意
书不尽	書不盡
书卷奖	書卷獎
书卷气	書卷氣
书呆子	書呆子
书虫子	書蟲子
书面上	書面上
书面纸	書面紙
书面语	書面語
买回去	買回去
买回家	買回家
买回来	買回來
买大彩	買大彩
买物历	買物歷
买闲钱	買閒錢
买面子	買面子
乱哄哄	亂哄哄
乱松松	亂鬆鬆
乱针绣	亂針繡
乱集团	亂集團
乳制品	乳製品
乾象历	乾象曆
乾象曆	乾象曆
了不得	了不得
了不成	了不成
了不起	了不起
了事环	了事環
了克制	了剋制
了得了	了得了
了望台	瞭望臺
了望塔	瞭望塔
了望山	瞭望山
了望所	瞭望所
了解到	瞭解到
了高儿	瞭高兒
争先后	爭先後
争闲气	爭閒氣
争面子	爭面子
事也干	事也幹
事发时	事發時
事可干	事可幹
事好干	事好幹
事情干	事情幹
事都干	事都幹
二丁挂	二丁掛
二万个	二萬個
二万人	二萬人
二万元	二萬元
二万块	二萬塊
二万多	二萬多
二个人	二個人
二个月	二個月
二人台	二人臺
二仑乡	二崙鄉
二党制	二黨制
二六板	二六板
二分钟	二分鐘
二十万	二十萬
二十几	二十幾
二千万	二千萬
二千个	二千個
二千人	二千人
二千亿	二千億
二千元	二千元
二千块	二千塊
二千多	二千多
二千年	二千年
二千石	二千石
二叠系	二疊系
二口虫	二口蟲
二叶松	二葉松
二合一	二合一
二吊六	二吊六
二和药	二和藥
二回熟	二回熟
二天后	二天後
二娘子	二娘子
二屋里	二屋裏
二年制	二年制
二恶英	二噁英
二手烟	二手菸
二撇胡	二撇鬍
二杆子	二桿子
二极体	二極體
二极管	二極管
二次曲	二次曲
二段制	二段制
二点钟	二點鐘
二班制	二班制
二田制	二田制
二百万	二百萬
二百个	二百個
二秒钟	二秒鐘
二老板	二老闆
二表哥	二表哥
二表妹	二表妹
二表姊	二表姊
二表姐	二表姐
二表嫂	二表嫂
二表弟	二表弟
二进制	二進制
二部制	二部制
二部曲	二部曲
二里头	二里頭
二面角	二面角
于一役	於一役
于仁泰	于仁泰
于从濂	于從濂
于会泳	于會泳
于伟国	于偉國
于佳卉	于佳卉
于光远	于光遠
于克制	於剋制
于克勒	于克勒
于凌奎	于凌奎
于凤桐	于鳳桐
于凤至	于鳳至
于化虎	于化虎
于占元	于占元
于双戈	于雙戈
于台烟	于台煙
于右任	于右任
于品海	于品海
于国桢	于國楨
于大宝	于大寶
于天仁	于天仁
于夫罗	於夫羅
于子千	于子千
于孔兼	于孔兼
于学忠	于學忠
于家堡	于家堡
于小伟	于小偉
于小彤	于小彤
于尔岑	于爾岑
于尔根	于爾根
于山国	于山國
于幼军	于幼軍
于幼华	於幼華
于广洲	于廣洲
于康震	于康震
于式枚	于式枚
于從濂	于從濂
于德海	于德海
于志宁	于志寧
于慎行	于慎行
于成龍	于成龍
于成龙	于成龍
于振武	于振武
于敏中	于敏中
于明涛	于明濤
于是之	於是之
于是乎	於是乎
于是就	於是就
于晨楠	于晨楠
于树洁	于樹潔
于根伟	于根偉
于梨华	於梨華
于欣源	于欣源
于正升	于正昇
于正昌	于正昌
于永波	于永波
于汉超	于漢超
于江震	于江震
于泽尔	于澤爾
于洪区	于洪區
于海洋	于海洋
于湘兰	于湘蘭
于潜县	於潛縣
于特森	于特森
于玉立	于玉立
于田县	于田縣
于秀敏	于秀敏
于素秋	于素秋
于美人	於美人
于若木	于若木
于荫霖	于蔭霖
于西翰	于西翰
于贝尔	于貝爾
于远伟	于遠偉
于道泉	于道泉
于都县	於都縣
于里察	于里察
于震寰	于震寰
于震环	于震環
于风政	于風政
于默奥	于默奧
亏不尽	虧不盡
云中君	雲中君
云南省	雲南省
云台山	雲臺山
云吞面	雲吞麵
云和县	雲和縣
云嘉南	雲嘉南
云城区	云城區
云天昊	雲天昊
云头儿	雲頭兒
云安县	雲安縣
云小啾	雲小啾
云岩区	雲岩區
云林人	雲林人
云林县	雲林縣
云林寺	雲林寺
云林讯	雲林訊
云梦县	雲夢縣
云梯车	雲梯車
云母片	雲母片
云母石	雲母石
云水僧	雲水僧
云浮市	雲浮市
云溪区	云溪區
云片糕	雲片糕
云科大	雲科大
云莽莽	雲莽莽
云西市	雲西市
云贵川	雲貴川
云遮月	雲遮月
云阳县	雲陽縣
云阳市	雲陽市
云霄县	雲霄縣
云龙区	雲龍區
云龙县	雲龍縣
互动台	互動臺
互生叶	互生葉
五万个	五萬個
五万人	五萬人
五万元	五萬元
五万块	五萬塊
五万多	五萬多
五万馀	五萬餘
五个人	五個人
五个月	五個月
五公里	五公里
五出戏	五齣戲
五分钟	五分鐘
五十万	五十萬
五十几	五十幾
五千万	五千萬
五千个	五千個
五千人	五千人
五千亿	五千億
五千元	五千元
五千吨	五千噸
五千块	五千塊
五千多	五千多
五千年	五千年
五千点	五千點
五台县	五臺縣
五台山	五臺山
五台市	五臺市
五周年	五週年
五天后	五天後
五斗柜	五斗櫃
五斗橱	五斗櫥
五斗米	五斗米
五点钟	五點鐘
五百万	五百萬
五百个	五百個
五种性	五種性
五秒钟	五秒鐘
五笔划	五筆劃
五脏庙	五臟廟
五脏神	五臟神
五里雾	五里霧
五面体	五面體
井田制	井田制
亚克力	亞克力
亚克朗	亞克朗
亚利叶	亞利葉
亚力克	亞力克
亚历桑	亞歷桑
亚当斯	亞當斯
亚松森	亞松森
亚洲杯	亞洲盃
亚青杯	亞青盃
亚麻布	亞麻布
些娘大	些娘大
交出去	交出去
交出来	交出來
交割价	交割價
交响曲	交響曲
交回去	交回去
交回来	交回來
交易价	交易價
交易台	交易臺
交杯盏	交杯盞
交杯酒	交杯酒
交汇处	交匯處
交流团	交流團
交白卷	交白卷
交货价	交貨價
亦对于	亦對於
亦舍下	亦捨下
产业别	產業別
产业链	產業鏈
产婆术	產婆術
产生出	產生出
亨塞克	亨塞克
京二胡	京二胡
亭彩店	亭彩店
亮光蜡	亮光蠟
亮星云	亮星雲
亲友团	親友團
亲子台	親子台
亲民党	親民黨
亲自干	親自幹
人云集	人云集
人出现	人出現
人别哭	人別哭
人参果	人蔘果
人参精	人蔘精
人团法	人團法
人才库	人才庫
人民党	人民黨
人物志	人物誌
人种学	人種學
人胜节	人勝節
人造板	人造板
人面上	人面上
亿多只	億多隻
亿天后	億天後
什不闲	什不閒
什叶派	什葉派
什锦面	什錦麵
仁布县	仁布縣
仁武厂	仁武廠
仅次于	僅次於
仆射姑	僕射姑
仇口儿	仇口兒
仇国论	仇國論
仇恨罪	仇恨罪
仇梓鸣	仇梓鳴
仇疙瘩	仇疙瘩
今儿个	今兒個
介壳虫	介殼蟲
介系词	介系詞
介面卡	介面卡
介面板	介面板
从事于	從事於
从价税	從價稅
从属于	從屬於
仑丰村	崙豐村
仑背乡	崙背鄉
他克制	他剋制
他出去	他出去
他出来	他出來
付出去	付出去
付出型	付出型
仙后座	仙后座
仙游县	仙遊縣
代工厂	代工廠
代码表	代碼表
代签人	代簽人
代表人	代表人
代表会	代表會
代表作	代表作
代表团	代表團
代表处	代表處
代表性	代表性
代表权	代表權
代表署	代表署
代表色	代表色
代表金	代表金
代表队	代表隊
代议制	代議制
令狐冲	令狐沖
以利于	以利於
以自制	以自制
以至于	以至於
以致于	以致於
仪器表	儀器表
仪征市	儀征市
仪表板	儀表板
仪表版	儀表版
仪表盘	儀表盤
们克制	們剋制
价值感	價值感
价值观	價值觀
价值论	價值論
价值量	價值量
价格战	價格戰
价格标	價格標
价格表	價格表
价电子	價電子
价目单	價目單
价目表	價目表
任一个	任一個
任何表	任何錶
任何钟	任何鐘
任务团	任務團
任教于	任教於
任期制	任期制
仿制品	仿製品
仿制药	仿製藥
企业团	企業團
企业系	企業系
企划书	企劃書
企划人	企劃人
企划厅	企劃廳
企划处	企劃處
企划案	企劃案
企划组	企劃組
企划部	企劃部
企管系	企管系
伊万诺	伊萬諾
伊吉克	伊吉克
伊府面	伊府麵
伊拉克	伊拉克
伊里奇	伊里奇
伊里布	伊里布
伍瑞克	伍瑞克
伍采克	伍采克
休仑湖	休崙湖
休闲区	休閒區
休闲服	休閒服
休闲组	休閒組
休闲裤	休閒褲
休闲鞋	休閒鞋
休闲风	休閒風
休闲馆	休閒館
优势种	優勢種
优惠价	優惠價
优胜奖	優勝獎
优胜者	優勝者
优胜队	優勝隊
伙伴国	夥伴國
伙伴龙	夥伴龍
伙食团	伙食團
伙食费	伙食費
会出去	會出去
会出来	會出來
会占卜	會佔卜
会合处	會合處
会合点	會合點
会同县	會同縣
会员价	會員價
会员制	會員制
会员团	會員團
会场价	會場價
会干净	會乾淨
会干扰	會干擾
会干政	會干政
会干杯	會乾杯
会干枯	會乾枯
会干涉	會干涉
会干涸	會乾涸
会干脆	會乾脆
会干裂	會乾裂
会干预	會干預
会计系	會計系
会里县	會裏縣
会长团	會長團
会面处	會面處
伟克适	偉克適
伟晶岩	偉晶岩
传习录	傳習錄
传出去	傳出去
传出来	傳出來
传制权	傳制權
传动链	傳動鏈
传回来	傳回來
传心术	傳心術
传教团	傳教團
传灯录	傳燈錄
传译出	傳譯出
传达出	傳達出
伤寒症	傷寒症
伤风克	傷風克
伯克利	伯克利
伯克来	伯克來
伯南克	伯南克
伯纳克	伯南克
估价单	估價單
估价行	估價行
估算出	估算出
伸出去	伸出去
伸出来	伸出來
伸回去	伸回去
伸回来	伸回來
伸展出	伸展出
低价位	低價位
低价团	低價團
低价格	低價格
低标准	低標準
体会出	體會出
体察出	體察出
体干班	體幹班
体温表	體溫表
体现出	體現出
体系化	體系化
体育台	體育台
体育系	體育系
体认出	體認出
体适能	體適能
体重表	體重表
体验出	體驗出
何小升	何小昇
何志钦	何志欽
何秋美	何秋美
何胜雄	何勝雄
何至于	何至於
何豪杰	何豪傑
余三勝	余三勝
余三胜	余三勝
余上沅	余上沅
余光中	余光中
余光生	余光生
余兰香	余蘭香
余发扬	余發揚
余吾镇	余吾鎮
余姚市	餘姚市
余威德	余威德
余子明	余子明
余宪宗	余憲宗
余干县	餘干縣
余庆县	餘慶縣
余思敏	余思敏
余政宪	余政憲
余文彬	余文彬
余杭区	餘杭區
余歌沧	余歌滄
余江县	餘江縣
余灿荣	余燦榮
余炳贤	余炳賢
余珮琳	余珮琳
余碧芬	余碧芬
余秀菁	余秀菁
余秉谚	余秉諺
余筱萍	余筱萍
余苑绮	余苑綺
余英时	余英時
余贤明	余賢明
余雪兰	余雪蘭
余雪明	余雪明
佛修根	佛修根
佛克斯	佛克斯
佛克纳	佛克納
佛布兹	佛布茲
佛瑞克	佛瑞克
佛科摆	佛科擺
佛舍利	佛舍利
佛蒙特	佛蒙特
佛里特	佛里特
佛雷克	佛雷克
作出来	作出來
作品里	作品裏
作废后	作廢後
作曲人	作曲人
作曲家	作曲家
作曲者	作曲者
你克制	你剋制
佳冬乡	佳冬鄉
佳里鎮	佳里鎮
佳里镇	佳里鎮
使其斗	使其鬥
使出来	使出來
使困扰	使困擾
使困窘	使困窘
使节团	使節團
使转向	使轉向
侏儒症	侏儒症
侏罗系	侏羅系
供应链	供應鏈
供给制	供給制
供给面	供給面
依个人	依個人
依附于	依附於
侦听台	偵聽台
侧面图	側面圖
侧面性	側面性
侯万户	侯萬戶
侯彩凤	侯彩鳳
侯胜茂	侯勝茂
侵入岩	侵入岩
侵占到	侵佔到
侵占罪	侵佔罪
便吃干	便吃乾
便当店	便當店
便当盒	便當盒
促销价	促銷價
俄文系	俄文系
俄语系	俄語系
保不准	保不準
保修期	保修期
保养厂	保養廠
保守党	保守黨
保安团	保安團
保暖杯	保暖杯
保温杯	保溫杯
保皇党	保皇黨
保险杆	保險桿
保险柜	保險櫃
信丰县	信豐縣
信号台	信號臺
信合社	信合社
信天游	信天游
修伊特	修伊特
修养成	修養成
修威特	修威特
修宪案	修憲案
修护站	修護站
修护队	修護隊
修指甲	修指甲
修改为	修改爲
修改后	修改後
修改成	修改成
修文县	修文縣
修曼德	修曼德
修杰楷	修杰楷
修正为	修正爲
修正期	修正期
修正案	修正案
修正档	修正檔
修正法	修正法
修正液	修正液
修武县	修武縣
修水利	修水利
修水县	修水縣
修理匠	修理匠
修理厂	修理廠
修理好	修理好
修理店	修理店
修理站	修理站
修理费	修理費
修理部	修理部
修缮费	修繕費
修胡刀	修鬍刀
修行人	修行人
修补匠	修補匠
修订本	修訂本
修订案	修訂案
修订版	修訂版
修词学	修詞學
修起来	修起來
修车厂	修車廠
修辞学	修辭學
修辞格	修辭格
修边幅	修邊幅
修造厂	修造廠
修道人	修道人
修道会	修道會
修道士	修道士
修道张	修道張
修道院	修道院
修配厂	修配廠
修鞋匠	修鞋匠
修饰句	修飾句
修饰字	修飾字
修饰词	修飾詞
修饰话	修飾話
修饰语	修飾語
俯冲点	俯衝點
俯冲角	俯衝角
俱舍师	俱舍師
俱舍论	俱舍論
倒了架	倒了架
倒了柴	倒了柴
倒出去	倒出去
倒出来	倒出來
倒回去	倒回去
倒回来	倒回來
倒杯水	倒杯水
倒杯茶	倒杯茶
借一步	借一步
借不到	借不到
借东风	借東風
借个火	借個火
